,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
NPC.TAK,0.024424406,0.0744928,-0.012309168,0.028664952,0.032669097,0.035961047,-0.026861023,0.019351432,0.056245357,0.09290955,0.03989463,0.040910073,0.052433632,0.08434691,0.08270102,0.053359006,0.0031497953,0.053154845,0.027304932,0.05838919,0.05440709,0.048282795,0.127907,0.08192386,0.04516034,0.0559656,0.13331054,0.08900065,0.06809396,0.030687843,0.12438021,0.14702561,0.12454066,0.05198257,0.06068549,0.022821628,-0.015002607,-0.002276671,0.02203194,-0.011842068,0.049732957,0.003722658,-0.006401209,0.020520385,0.040966257,-0.07501502,0.046175096,0.01996229,0.024208505,0.009258526,0.012672278,0.048301015
MNEU.E,0.06793227,0.07154276,0.002258209,0.042699594,0.054408487,0.052422732,0.0075155655,-0.011271928,0.09697575,0.17196919,0.026476748,0.051754303,0.049171165,0.07884616,0.08401461,0.06030766,0.01046906,0.071432635,0.059209216,0.07597906,0.052217748,0.11072535,0.100117,0.094197944,0.11842168,0.07165212,0.12625423,0.10898824,0.13694513,0.09059863,0.10056042,0.12930068,0.10024987,0.075903244,0.075810656,0.045330808,0.02044784,0.059056837,0.017903322,0.043017007,0.007496408,-0.013098375,0.0060231234,0.020901248,0.08139224,0.012596793,0.06284273,0.009690668,0.03417771,0.029074118,0.0062685176,0.05393338
HCC515,-0.00088618684,0.06234551,0.013245745,0.05768355,0.0006226678,0.0194022,-0.07511506,-0.025022104,0.05547569,0.10464351,0.061894715,0.07056614,0.099851966,0.07109812,0.096580066,0.046704013,0.06863421,0.081149325,0.056754038,0.06857579,0.015280388,0.07338107,0.11448343,0.07078642,0.06322168,0.059679613,0.086829856,0.13377063,0.048200622,0.071723744,0.13082318,0.15011522,0.1127718,0.10349069,0.033352062,0.017724749,-0.012882997,0.0026091542,0.009825973,0.027936606,0.020540737,-0.025448386,-0.043832313,0.004653872,0.056502778,-0.04766532,0.05724329,0.0007211625,0.037609432,0.014055471,0.0010959768,-0.0009002229
SKBR3,0.0024475865,0.065021686,0.0049860855,0.025788076,0.004388974,-0.024157727,-0.046350535,-0.050757416,0.029474208,0.055071548,0.05207526,0.09038241,0.11646094,0.09946966,0.07991836,0.062333744,0.049373467,0.07123066,0.04607656,0.07015112,0.053462338,0.0673191,0.06976665,0.07255535,0.07580534,0.05650188,0.09678796,0.13394897,0.12186741,0.06919529,0.13063937,0.15719928,0.11955434,0.10893775,0.073469624,0.009347123,0.002121768,-0.020393856,-0.004436896,0.02141348,0.02970106,-0.0043358156,-0.034411162,-0.008823661,0.046919633,-0.031954687,0.010485637,-0.0029242558,0.0064633633,0.0081950985,-0.026570305,0.025807183
CD34,0.032472767,0.050430458,0.019837704,0.02178831,-0.005416263,0.047989696,-0.017739136,-0.019706562,0.108190864,0.16973713,0.18054715,0.1444177,0.14583799,0.18899861,0.1460507,0.13565522,0.14995284,0.1394077,0.12258706,0.13698025,0.10714397,0.17341253,0.15428874,0.15166865,0.10018537,0.1331504,0.19455552,0.2012797,0.13812636,0.13604975,0.1337631,0.15162213,0.11704317,0.120054804,0.062352933,0.03653935,0.022583276,0.009972863,-0.008316648,0.043463994,0.012025853,0.021397144,-0.012746993,0.00018470798,0.0378257,-0.037421715,0.06754012,0.022567755,0.02406688,0.034746967,0.01992193,0.0046970923
YAPC,0.034432784,0.06953637,-0.0012081038,0.067209944,0.0342461,0.03301717,-0.023111664,0.0062072305,0.072035685,0.09543617,0.040314727,0.072901696,0.051738333,0.0862989,0.08044964,0.053231582,0.05013059,0.08874182,0.033616956,0.07056555,0.02564337,0.06716832,0.10159969,0.05521177,0.062331025,0.08191715,0.11962884,0.096108295,0.08706688,0.08733444,0.14931113,0.17278269,0.16033281,0.097907215,0.05758376,0.012663848,-0.0022988277,0.008627732,0.011363045,0.006965667,0.052485976,0.012247585,-0.013457963,0.014058996,0.034152832,-0.02571253,0.07402105,0.014204223,0.022071324,0.0069226297,-0.0036667376,0.033888154
HEPG2,-0.0045895264,0.05685135,0.016931772,0.044032678,0.0378197,0.04949602,-0.045548804,-0.042368624,0.03823037,0.09027592,0.045828246,0.045651782,0.08652922,0.0844079,0.0906761,0.054621156,0.0631088,0.07183394,0.030448712,0.07254255,0.025381606,0.07343862,0.09075159,0.07153973,0.015165738,0.058690783,0.08183276,0.117489345,0.060817666,0.06935217,0.12713836,0.1653578,0.114586756,0.11097725,0.050583698,0.027335398,-0.013231653,-0.029049326,0.0061147846,0.017152773,0.03660371,-0.0034968287,-0.0041442346,0.00742859,0.048850447,-0.033176415,0.052442275,0.020049047,0.007609997,0.0060041933,0.020386828,0.020040458
MCF7,0.033829723,0.065372884,0.01201415,0.03788354,0.028960485,0.011213565,-0.03221832,-0.030175908,0.058881473,0.1111045,0.052127596,0.08045673,0.0733804,0.08288672,0.063554175,0.06627234,0.031478062,0.063859284,0.04154027,0.06540589,0.015699334,0.06974277,0.08851928,0.046297062,0.07394719,0.07094137,0.08157712,0.11552418,0.10303578,0.07680742,0.11472605,0.1460381,0.1467772,0.10300852,0.04009709,0.015547834,-0.0074240365,-0.0018979243,-0.012163825,0.018346552,0.011086243,-0.019409357,-0.03573606,0.034289233,0.048218794,-0.057257026,0.060787473,-0.011999857,0.00031608422,0.023691684,-0.011087343,0.024987144
A549,0.015885936,0.06833382,0.018875828,0.051813345,0.008294406,0.039333187,-0.02604868,0.0031722724,0.05937808,0.08301748,0.0683185,0.08866679,0.09119504,0.10009841,0.1004545,0.08671729,0.07702726,0.09659771,0.06063264,0.08763375,0.057285726,0.103097685,0.14111157,0.075097345,0.05153818,0.07130639,0.11479291,0.13281013,0.078603484,0.083458684,0.16669798,0.16571684,0.1337022,0.12501682,0.05386635,0.022498583,-0.004535736,-0.019883495,0.013451856,0.015887236,0.013879963,-0.019255906,-0.014124431,0.027604543,0.051885772,-0.035654645,0.06644459,0.0030818891,0.0056574163,0.02376993,-0.0066134287,-0.00075973006
HT29,0.039730307,0.080282874,0.015588106,0.080001794,0.044163886,0.03488176,-0.01899253,-0.023304373,0.048200276,0.11859917,0.061269887,0.06915402,0.07796093,0.11083702,0.082038485,0.07611153,0.063100584,0.10302185,0.03158874,0.07031687,0.04553907,0.09403634,0.09711633,0.0731623,0.07344558,0.09857729,0.11561751,0.13159165,0.116484284,0.093693174,0.15413901,0.18824609,0.15771775,0.11187816,0.07386111,0.021566559,0.010820068,0.010154864,0.016187899,0.030120296,0.033725277,-0.013972094,-0.0063592535,0.018954752,0.063624196,-0.0072384044,0.06417926,0.008887399,0.019843794,0.037755318,0.021400303,0.048646692
