,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
NPC.TAK,0.014724023,0.06365247,-0.01717682,0.022810012,0.02813715,0.022125145,-0.0253569,0.020264762,0.057799704,0.08532217,0.020485338,0.03572964,0.040388852,0.075283274,0.07333397,0.045035955,0.01354644,0.05774969,0.028505968,0.06619262,0.05311018,0.05710572,0.119334586,0.07786496,0.05714577,0.061123744,0.12225959,0.087652296,0.06722389,0.037777282,0.11138481,0.12917683,0.12467177,0.053023282,0.04831112,0.019735942,-0.014517203,-0.0031305596,0.023958972,-0.0117270835,0.046164136,-0.0042421236,-0.013362322,0.017002156,0.040388875,-0.07385741,0.026878756,0.011629652,0.007982123,-0.0016077514,0.014018181,0.048641343
MNEU.E,0.058598068,0.06716074,0.0012995524,0.03040721,0.030604593,0.042555317,0.013773544,0.0006100311,0.09848106,0.17435892,0.019368105,0.053774793,0.04747868,0.07739954,0.08730344,0.05247961,0.014306573,0.063975126,0.05880949,0.075439714,0.051431753,0.11989388,0.08943811,0.082841046,0.109773085,0.067727126,0.12453768,0.10167551,0.13292451,0.08753532,0.09622844,0.10774391,0.096623614,0.06606605,0.064244546,0.03594917,0.027738854,0.060124002,0.021446161,0.048095204,0.0013090604,-0.03676355,-5.0044222e-05,0.011503405,0.07327197,0.014200832,0.055004645,0.0043765963,0.028799813,0.031971693,0.009844834,0.05464147
HCC515,-0.0069678286,0.05647367,0.009934892,0.051455133,-0.010342949,-0.0006709582,-0.0781453,-0.025890281,0.05261469,0.09213425,0.051603444,0.06674976,0.093713455,0.058061905,0.08447741,0.043166798,0.07938349,0.08057801,0.050900914,0.06031268,0.019910704,0.07433443,0.107642725,0.05782012,0.07130177,0.06754147,0.08059035,0.14830151,0.050037872,0.08148992,0.121270426,0.13747396,0.112016946,0.0950083,0.029390497,0.01685084,-0.013965388,0.0016996987,0.011153472,0.02559004,0.023787143,-0.04504384,-0.048273068,0.008910736,0.052682403,-0.0503945,0.055183224,0.0066521647,0.023007547,0.014298693,0.0060175643,0.0054681147
SKBR3,-0.0018939312,0.06748219,-0.00017948642,0.013747054,-0.009663735,-0.04115795,-0.04342334,-0.05172328,0.028000504,0.047701076,0.04129363,0.08610018,0.11065888,0.085963085,0.07099023,0.06032785,0.048080962,0.06809334,0.036324903,0.06559504,0.06325851,0.065614514,0.067602366,0.07408528,0.07119824,0.057052657,0.097228706,0.13537365,0.11610666,0.06339611,0.11617068,0.14484425,0.12126081,0.11649099,0.06792377,0.0104763005,-0.0006145317,-0.018873315,0.0035631242,0.029959347,0.021995373,-0.025832228,-0.039828837,-0.0061656544,0.042429507,-0.0337729,0.0069932193,-0.0026678424,-0.0062577245,0.0106022945,-0.025367575,0.032188382
CD34,0.028349254,0.044246353,0.020105444,0.019783773,-0.018898806,0.04519746,-0.021843566,-0.022005396,0.09002962,0.15305306,0.1707073,0.12846151,0.13634366,0.18792531,0.13397937,0.13109598,0.15586494,0.13529457,0.109072246,0.14081573,0.10228776,0.15974773,0.14360958,0.14932412,0.095473506,0.12619942,0.18521237,0.20460898,0.12266786,0.13545,0.12740737,0.14052632,0.11944007,0.116581276,0.05665483,0.043865222,0.038646474,0.0069107185,-0.0028703464,0.04288217,0.015300038,0.015356419,-0.010228667,-0.0029063206,0.026821898,-0.041996926,0.063631035,0.029528396,0.013794641,0.02563725,0.023052331,0.0085247755
YAPC,0.028184498,0.06845718,0.0064849355,0.06045259,0.028432084,0.014883587,-0.02300797,0.01266721,0.06557262,0.093421176,0.03335393,0.07189037,0.044091243,0.070275016,0.070557356,0.049498178,0.0589146,0.087331794,0.036729686,0.06655767,0.026401024,0.07659331,0.09928344,0.049270842,0.055127006,0.078537956,0.10352059,0.0997169,0.07360409,0.08529986,0.13789895,0.15773325,0.14879742,0.092541054,0.046421524,0.016374607,0.006248516,0.0063233213,0.01892369,0.0067656394,0.04718331,-0.0055887094,-0.020175396,0.008757009,0.029512974,-0.02870328,0.0661215,0.010101022,0.013093622,0.009005756,0.003258289,0.037755094
HEPG2,-0.0043707057,0.048562534,0.0076174666,0.03288467,0.013902917,0.03521171,-0.039615072,-0.039176848,0.03183221,0.08211841,0.031475052,0.035481133,0.074321456,0.06490573,0.07166401,0.04389487,0.07390015,0.06593949,0.033643503,0.065112665,0.027084745,0.076518305,0.08598208,0.060769033,0.022119263,0.06345858,0.075018905,0.12786967,0.056843624,0.07002223,0.11975427,0.14217553,0.1084357,0.103819676,0.042598747,0.027092127,-0.009758093,-0.031107454,0.0046796263,0.012588611,0.038962092,-0.025421437,-0.0077472623,0.001943745,0.037831727,-0.045172125,0.04491403,0.020543369,-0.0067814454,0.01015801,0.016410941,0.020146234
MCF7,0.02779174,0.056825016,0.0136830015,0.027603898,0.011270526,-0.005485787,-0.034913197,-0.029063474,0.056982145,0.10522262,0.040340167,0.07379325,0.06993097,0.06560803,0.054595605,0.057549883,0.027294062,0.056984466,0.034781873,0.05843565,0.015955368,0.07260071,0.090026625,0.040769823,0.0657868,0.07568516,0.06907879,0.11472425,0.09693376,0.07395025,0.09910083,0.13641171,0.14633395,0.10262098,0.032527324,0.01649212,-0.0018013924,-0.003917942,-0.002994712,0.019984819,0.0028778424,-0.04140228,-0.0476873,0.02680104,0.041615512,-0.06625532,0.052082974,-0.010196426,-0.016123772,0.01798169,-0.002938278,0.028691314
A549,0.01114507,0.07083556,0.025417289,0.044505727,-0.00211337,0.02194946,-0.027878158,0.0038558398,0.049228854,0.078735895,0.05309232,0.07692542,0.075593546,0.07214986,0.08073387,0.07503234,0.07614446,0.09211722,0.051759597,0.08439603,0.049703177,0.10408469,0.13469173,0.0666362,0.049824107,0.07146801,0.10006531,0.13480073,0.068596415,0.085393175,0.1490218,0.14538683,0.12366602,0.11432634,0.04033794,0.023447946,-0.0077872146,-0.02531293,0.01824678,0.018088492,0.0037230644,-0.042973932,-0.029586943,0.022466231,0.054787472,-0.042125385,0.0560823,0.001892326,-0.005793748,0.022087527,0.008466145,0.0044823065
HT29,0.03079037,0.073047675,0.02090559,0.08032602,0.033555806,0.022061208,-0.017390683,-0.022440596,0.04578501,0.12034917,0.048608355,0.070788175,0.06717085,0.096405685,0.06641212,0.07296156,0.06782792,0.1047158,0.029817993,0.06004651,0.045526136,0.09646705,0.09366928,0.06876076,0.0708202,0.09106468,0.10485412,0.14001587,0.106601454,0.09356556,0.14093189,0.1774098,0.15847275,0.10960394,0.06443893,0.021950727,0.016545452,0.008427552,0.021041231,0.031844553,0.03304069,-0.029107751,-0.013226398,0.02036151,0.06545057,-0.009672222,0.04958232,0.010716138,0.008683879,0.037921894,0.024854146,0.053323325
