significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
doconexent	0	1	2	3	Launched	PPAR receptor agonist	FFAR1|PTGS1|PTGS2		
dopamine	0	2	1	3	Launched	dopamine receptor agonist	DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4	cardiology|neurology/psychiatry	ventricular arrhythmias|depression|headache|tremors
doxepin	0	1	2	3	Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression|anxiety
doxercalciferol	0	1	2	3	Launched	vitamin D receptor agonist	VDR	nephrology|endocrinology	chronic kidney disease (CKD)|hyperparathyroidism
duloxetine	0	1	2	3	Launched	norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy
dydrogesterone	0	1	2	3	Launched	progesterone receptor agonist	PGR	obstetrics/gynecology	infertility
edaravone	0	1	2	3	Launched	nootropic agent	BCL2	neurology/psychiatry	stroke
ephedrine	0	1	2	3	Launched	adrenergic receptor agonist	ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2	cardiology|pulmonary|neurology/psychiatry|endocrinology	hypotension|asthma|narcolepsy|obesity
erlotinib	0	1	2	3	Launched	EGFR inhibitor	EGFR|NR1I2	oncology	non-small cell lung cancer (NSCLC)|pancreatic cancer
escitalopram	0	1	2	3	Launched	selective serotonin reuptake inhibitor (SSRI)	SLC6A4	neurology/psychiatry	depression|generalized anxiety disorder (GAD)
estradiol	0	1	2	3	Launched	estrogen receptor agonist	ESR1|ESR2|GPER1|KCNMA1|NR1I2	endocrinology	contraceptive
estriol	0	1	2	3	Launched	estrogen receptor agonist	ESR1|ESR2	endocrinology|obstetrics/gynecology|infectious disease	menopause|vaginal atrophy|urinary tract infections
estropipate	0	1	2	3	Launched	estrogen receptor agonist	ESR1|ESR2	orthopedics|endocrinology|obstetrics/gynecology	osteoporosis|menopause|vaginal atrophy|hypoestrogenism
etomidate	0	1	2	3	Launched	GABA receptor modulator	ADRA2B|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	neurology/psychiatry	general anaesthetic
fasudil	0	1	2	3	Launched	rho associated kinase inhibitor	PKIA|PRKACA|ROCK1|ROCK2	neurology/psychiatry	cerebral vasospasm
fenbendazole	0	1	2	3	Launched	tubulin polymerization inhibitor	TUBB	infectious disease	gastrointestinal parasites|gastrointestinal roundworms
fenofibrate	0	1	2	3	Launched	PPAR receptor agonist	MMP25|PPARA	endocrinology	hypercholesterolemia|hypertriglyceridemia
fenoldopam	0	1	2	3	Launched	dopamine receptor agonist	DRD1|DRD4	cardiology	hypertension
fipronil	0	1	2	3	Launched	chloride channel blocker|GABA gated chloride channel blocker		infectious disease	flea control
flumazenil	0	1	2	3	Launched	benzodiazepine receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	neurology/psychiatry	sedative
fluoxetine	0	1	2	3	Launched	selective serotonin reuptake inhibitor (SSRI)	ANO1|HTR2B|SLC6A4	neurology/psychiatry	depression|obsessive compulsive disorder (OCD)|bulimia nervosa|panic disorders|bipolar disorder
flupentixol	0	1	2	3	Launched	dopamine receptor antagonist	ADRA1A|CHRM1|DRD1|DRD2|DRD3|DRD5|HTR2A	neurology/psychiatry	schizophrenia|depression
fluphenazine	0	1	2	3	Launched	dopamine receptor antagonist	CALM1|DRD1|DRD2|DRD5|HRH1|HTR2A|HTR6|HTR7	neurology/psychiatry	schizophrenia
flupirtine	0	1	2	3	Launched	glutamate receptor antagonist	ADRA2A|KCNQ1|KCNQ2	neurology/psychiatry	pain relief
fluspirilene	0	1	2	3	Launched	dopamine receptor antagonist	CACNG1|DRD2|HRH1|HTR1A|HTR1D|HTR1E|HTR2A	neurology/psychiatry	schizophrenia
fluvastatin	0	1	2	3	Launched	HMGCR inhibitor	HMGCR	endocrinology|cardiology	hypercholesterolemia|congenital heart defects
fluvoxamine	0	1	2	3	Launched	selective serotonin reuptake inhibitor (SSRI)	SLC6A4	neurology/psychiatry	obsessive compulsive disorder (OCD)
fulvestrant	0	1	2	3	Launched	estrogen receptor antagonist	ESR1|ESR2|GPER1	oncology	breast cancer
gestrinone	0	1	2	3	Launched	progesterone receptor antagonist	AR|ESR1|PGR	obstetrics/gynecology	endometriosis
griseofulvin	0	1	2	3	Launched	tubulin polymerization inhibitor	KRT12	infectious disease	ringworm|tinea pedis
hesperidin	0	1	2	3	Launched	flavanone glycoside	AURKB|CACNA1B		
hexylresorcinol	0	1	2	3	Launched	local anesthetic	TYR	infectious disease	skin infections|first-aid antiseptic
hydrocortisone	0	1	2	3	Launched	glucocorticoid receptor agonist	ANXA1|NOS2|NR3C1|NR3C2	dermatology|neurology/psychiatry	eczema|psoriasis|seborrheic dermatitis|itching
hydroquinidine	0	1	2	3	Launched	antiarrhythmic		cardiology	cardiac arrythmia
icosapent	0	1	2	3	Launched	platelet aggregation inhibitor	ACSL3|ACSL4|FADS1|FFAR1|PPARD|PPARG|PTGS1|PTGS2|SLC8A1|TRPV1	endocrinology	hypertriglyceridemia
idebenone	0	1	2	3	Launched	calcium channel modulator		neurology/psychiatry|ophthalmology	Alzheimer's disease|Friedreich's ataxia|Leber hereditary optic neuropathy (LHON)
iloperidone	0	1	2	3	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR2A|HTR6|HTR7	neurology/psychiatry	schizophrenia
imatinib	0	1	2	3	Launched	Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET	hematologic malignancy|oncology	chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)|myelodysplastic diseases (MDS)|aggressive systemic mastocytosis (ASM)|hypereosinophilic syndrome (HES)|chronic eosinophilic leukemia (CEL)|dermatofibrosarcoma protuberans (DFSP)|gastrointestinal stromal tumors (GIST)
ipratropium	0	1	2	3	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	pulmonary	bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
isoxsuprine	0	1	2	3	Launched	adrenergic receptor agonist	ADRB2	rheumatology|cardiology	Raynaud's disease|arteriosclerosis|Buerger's disease
isradipine	0	1	2	3	Launched	calcium channel blocker	CACNA1D|CACNA1F|CACNA2D1	cardiology	hypertension
ketorolac	0	1	2	3	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry	pain relief
ketotifen	0	1	2	3	Launched	histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor	HRH1	neurology/psychiatry	itching
labetalol	0	1	2	3	Launched	adrenergic receptor antagonist	ADRA1D|ADRB1|ADRB2	cardiology	hypertension
lacidipine	0	1	2	3	Launched	calcium channel blocker	CACNA1C	cardiology	hypertension
lamivudine	0	1	2	3	Launched	nucleoside reverse transcriptase inhibitor		infectious disease	human immunodeficiency virus (HIV-1)|acquired immunodeficiency syndrome (AIDS)|hepatitis B
lansoprazole	0	1	2	3	Launched	ATPase inhibitor	ATP4A|ATP4B	gastroenterology	heartburn
leflunomide	0	1	2	3	Launched	dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor	AHR|DHODH|PTK2B	rheumatology	rheumatoid arthritis
lidoflazine	0	1	2	3	Launched	calcium channel blocker	SCN1A|SCN3A|SLC29A1	cardiology	coronary artery disease (CAD)
lomerizine	0	1	2	3	Launched	calcium channel blocker	CACNA1B|SCN5A	neurology/psychiatry	migraine headache
loperamide	0	1	2	3	Launched	opioid receptor agonist	CACNA1A|CALM1|OPRD1|OPRK1|OPRM1|POMC	gastroenterology	diarrhea
mebeverine	0	1	2	3	Launched	acetylcholine receptor antagonist	CHRM1	gastroenterology	irritable bowel syndrome
medroxyprogesterone	0	1	2	3	Launched	progesterone receptor agonist	PGR	endocrinology	contraceptive
medrysone	0	1	2	3	Launched	glucocorticoid receptor agonist	NR3C1	ophthalmology	conjunctivitis|episcleritis
megestrol	0	1	2	3	Launched	progesterone receptor agonist		oncology	breast cancer
mepyramine	0	1	2	3	Launched	histamine receptor antagonist	HRH1	otolaryngology|obstetrics/gynecology	common cold|menstrual pain
