,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
NPC.TAK,0.12594812,0.110914424,0.14514732,0.11051589,0.09540437,0.08049116,0.11251949,0.07530059,0.12529211,0.10047793,0.08742194,0.10281385,0.12002844,0.13667718,0.14250408,0.102772154,0.10812533,0.11206648,0.124268636,0.12168793,0.10694882,0.08446377,0.08823848,0.09613312,0.1133901,0.089291826,0.11117722,0.11191055,0.109862216,0.09564577,0.11275338,0.08815005,0.13148282,0.07042301,0.13945293,0.09161494,0.09591418,0.111474395,0.08647501,0.08210424,0.09886576,0.11941335,0.10598737,0.097333334,0.08530894,0.13033108,0.089085884,0.09968443,0.10850764,0.109567285,0.11766966,0.09536981,0.10478368,0.11639732,0.12273449,0.105116084,0.092407815,0.114671096,0.097109705,0.105829306,0.13752803,0.09938414,0.0987816,0.09145348,0.1074605,0.098915145,0.09133312,0.08014776,0.10006215,0.091332786,0.08015354,0.10006215,0.12531541,0.12188354,0.11163955,0.12113044,0.09835968,0.08419789,0.07471959,0.10899097,0.12108254,0.114863485,0.1116494,0.095705606,0.10937715,0.1348595,0.08367714,0.10725703,0.11273882,0.0961891,0.09641204,0.11517135,0.08784749,0.08633436,0.090889275,0.15940948,0.1392474,0.106453575,0.09904103,0.098333724,0.07246994,0.09824964,0.10030514,0.09183628,0.0978768,0.12902406,0.122088976,0.09091048,0.09497751,0.12679523,0.09303262,0.12153233,0.08431363,0.0801247,0.086351514,0.08832244,0.10380782,0.08171713,0.09495244,0.08303975,0.09589908,0.11993328,0.092443965,0.102912605,0.091051996,0.11286759,0.09822811,0.11006129,0.09916622,0.11575468,0.08646249,0.10022708,0.0988039,0.08955861,0.118570276,0.088630676,0.09350817,0.101972505,0.08744109,0.087763585,0.09966676,0.09685314,0.089392245,0.07495999,0.089250706,0.10408412,0.09748314,0.13700502,0.1122922,0.08535732,0.09812722,0.09117096,0.09392231,0.11291586,0.09342297,0.0771555,0.10306209,0.0828266,0.115558766,0.100118175,0.114300676,0.113781355,0.09276885,0.090112306,0.106644854,0.089133024,0.09187109
MNEU.E,0.119851075,0.10676692,0.15395913,0.112851165,0.08785887,0.08211216,0.10019596,0.1401926,0.1121787,0.08507656,0.10370621,0.11147878,0.0815999,0.11809615,0.12101899,0.093888246,0.07972421,0.098123536,0.12917136,0.10659528,0.114487186,0.10117797,0.098250814,0.09128559,0.12386237,0.09177819,0.1057276,0.08837062,0.101780325,0.11848655,0.1188771,0.11211854,0.08249186,0.09395469,0.1640495,0.090657294,0.09589941,0.115460485,0.09049947,0.1051539,0.10180684,0.115077734,0.10627657,0.099666886,0.10461071,0.1248189,0.091427885,0.10145374,0.10839912,0.09423996,0.099370874,0.104528174,0.09397974,0.11723486,0.11614659,0.10316977,0.095320955,0.11065731,0.09406372,0.10042279,0.11099522,0.09290784,0.111987315,0.099896125,0.09343148,0.082728505,0.113231905,0.090860315,0.081659354,0.113231614,0.09086798,0.081659354,0.12090026,0.11725642,0.10968446,0.120659165,0.107214555,0.09400623,0.07249169,0.103788756,0.15953831,0.13305488,0.105810165,0.087305866,0.09305822,0.11331144,0.0810023,0.10392599,0.11523426,0.0993009,0.10066772,0.13006854,0.08983244,0.09447825,0.107916676,0.115456365,0.14581023,0.10785308,0.102962434,0.09211177,0.092873715,0.0757314,0.110517345,0.083647974,0.13118856,0.07832,0.116593294,0.123872064,0.11140911,0.12199244,0.11043826,0.11535456,0.1325682,0.0870474,0.07773054,0.106054805,0.10181125,0.08387167,0.12098322,0.10846694,0.09880275,0.12112033,0.13958405,0.09738057,0.103741944,0.10916159,0.09457737,0.101879925,0.11665112,0.12837335,0.101760566,0.10440062,0.09424254,0.09742466,0.11832929,0.099736586,0.11220975,0.12199388,0.117730886,0.10570535,0.118424885,0.124764815,0.08869683,0.11109801,0.09812573,0.10454347,0.096627675,0.13842899,0.11110256,0.0938819,0.12603186,0.12712947,0.09458267,0.09976558,0.12129769,0.10695172,0.0985385,0.075287804,0.11600133,0.08720401,0.14046118,0.11528099,0.095403366,0.10335293,0.11998722,0.096425444,0.11377971
HCC515,0.10405674,0.107910834,0.14664699,0.12132511,0.08900059,0.08833972,0.1254621,0.08342757,0.10930797,0.0780382,0.1182375,0.111767285,0.091046765,0.1269623,0.12671126,0.10453616,0.072077036,0.12569681,0.10713446,0.14294475,0.10348973,0.08921657,0.102563664,0.103377044,0.12636209,0.11439553,0.12213207,0.09325614,0.10052766,0.08418145,0.09610301,0.086103655,0.13814203,0.08742665,0.13002428,0.11467157,0.12242546,0.0683181,0.1112545,0.08148036,0.080024116,0.1187232,0.1160828,0.09723771,0.092076726,0.090289444,0.09568132,0.14264086,0.08922473,0.09309785,0.13365118,0.11250338,0.12183133,0.11024914,0.1166453,0.11193473,0.09241956,0.116530426,0.09541268,0.110314116,0.12053641,0.091265246,0.09542035,0.08561747,0.10009068,0.098595284,0.114451505,0.093053676,0.10649808,0.11445148,0.09306207,0.10649808,0.10625494,0.10890629,0.10869431,0.14463611,0.12364489,0.087154254,0.089899525,0.107049115,0.10679191,0.10457684,0.102512464,0.10200046,0.094636016,0.10984406,0.08426175,0.12642282,0.11726421,0.09414124,0.08120278,0.12993689,0.0893268,0.090793304,0.08950141,0.11534985,0.11611132,0.085105345,0.09670282,0.09044713,0.08100825,0.098953776,0.08997589,0.0998183,0.092274025,0.09292142,0.11671523,0.10910047,0.09233666,0.10917056,0.09513529,0.122424155,0.108928524,0.076138236,0.087118834,0.08761542,0.10571787,0.077920675,0.09703224,0.07848924,0.09073504,0.11801794,0.11606072,0.104172334,0.095248185,0.14130205,0.115913704,0.1254881,0.09468273,0.14665514,0.09313074,0.105633,0.114699095,0.104644336,0.1084019,0.099164076,0.07907286,0.13831133,0.102850005,0.095881715,0.08482019,0.088256106,0.08791981,0.08385093,0.13350016,0.09464978,0.13606392,0.10208508,0.09074762,0.10364242,0.11160677,0.093812235,0.10820575,0.10397563,0.10908562,0.08502199,0.09164077,0.086898126,0.110417545,0.088010475,0.11644679,0.07555952,0.08987137,0.13395518,0.111589216,0.086903594,0.10010244
SKBR3,0.1344623,0.0877698,0.1481532,0.09634741,0.08417722,0.11137464,0.10542833,0.09039987,0.10507145,0.08038012,0.14028051,0.10050265,0.086753845,0.13158289,0.11946738,0.09071781,0.072761215,0.12527105,0.10415547,0.11569268,0.11052656,0.09470677,0.1309142,0.09694119,0.12782556,0.107282415,0.13119408,0.12356478,0.12741889,0.120316856,0.08435607,0.08112674,0.11277341,0.08004992,0.13133387,0.08713386,0.10254503,0.09554083,0.09497724,0.092804685,0.08692853,0.116460115,0.101313576,0.09294777,0.086567365,0.114187315,0.10300262,0.124915466,0.07941591,0.092407174,0.11960266,0.1041334,0.11224185,0.0909653,0.117790066,0.099371664,0.0862718,0.10592018,0.07851816,0.111702085,0.11777886,0.1177935,0.10995223,0.082899116,0.10951315,0.09483487,0.09866479,0.07957115,0.09310667,0.098664865,0.07958042,0.09310667,0.10812793,0.124270916,0.1258768,0.120649084,0.121452264,0.09862091,0.09337031,0.11714169,0.099611565,0.10258389,0.11270077,0.10039367,0.11826968,0.108207956,0.07970885,0.12001628,0.11791544,0.10564749,0.060193766,0.10633133,0.09956661,0.09700561,0.09878732,0.120027676,0.12692851,0.08973605,0.10396856,0.095987774,0.064575925,0.09795035,0.08709824,0.1097274,0.099456795,0.10363165,0.13740262,0.09636449,0.08298374,0.13082568,0.08456248,0.11078916,0.105651654,0.07530934,0.082220115,0.084410556,0.10836401,0.09383633,0.098969445,0.087646715,0.10311772,0.12829433,0.11590498,0.11463595,0.11567781,0.12225067,0.08959472,0.13755299,0.09423246,0.146157,0.09156008,0.124959774,0.11626033,0.12290055,0.13112022,0.094784334,0.082329005,0.15105727,0.09080639,0.093718156,0.09406978,0.1044811,0.09037598,0.09326188,0.1266303,0.11013255,0.12387081,0.086079344,0.085146524,0.09955113,0.105616,0.108578205,0.13308755,0.087097354,0.08703311,0.09976286,0.09700237,0.0827908,0.091842696,0.094595216,0.087316185,0.077070594,0.08581011,0.10503735,0.088302374,0.07848688,0.118597545
CD34,0.13464117,0.09530818,0.13757591,0.10558773,0.09827178,0.092515275,0.11454554,0.0901215,0.10157022,0.07660827,0.099451415,0.10065245,0.09905258,0.1251268,0.102762096,0.10155513,0.07565575,0.11508607,0.13135739,0.118193835,0.09129294,0.096703656,0.09943372,0.10057237,0.12375741,0.09218981,0.116253786,0.087053426,0.12315174,0.074766695,0.09705499,0.08517055,0.098086745,0.09411704,0.11445982,0.11948989,0.10039129,0.10411788,0.104505494,0.09408939,0.110300034,0.12336248,0.10175223,0.10839325,0.08750693,0.10399921,0.097259685,0.12069428,0.079768136,0.10502894,0.1139737,0.112531245,0.11492846,0.083170734,0.1345697,0.10488294,0.06560706,0.13407245,0.10434249,0.10878862,0.0912843,0.087302156,0.10170115,0.08585359,0.09943126,0.08454002,0.11664971,0.079678185,0.11857119,0.116649285,0.079687215,0.11857119,0.10237008,0.13682035,0.12259242,0.15783492,0.12925695,0.112353966,0.09931437,0.1135321,0.11453546,0.112200886,0.110242605,0.084270805,0.100576356,0.12283507,0.08149326,0.09992545,0.123176254,0.12718047,0.08322835,0.1183251,0.120361716,0.08506723,0.08707467,0.10303641,0.11971476,0.08930806,0.103999585,0.10585903,0.09716545,0.07105529,0.122288205,0.092498995,0.11399423,0.09660607,0.14481904,0.0928484,0.10795687,0.111893535,0.08843424,0.11487575,0.09923655,0.06854566,0.08725759,0.0904488,0.09315981,0.08169721,0.09848073,0.094892845,0.1047638,0.13178892,0.11900447,0.117064394,0.09929645,0.13015455,0.1282059,0.13541922,0.09733183,0.13980287,0.07397137,0.11903386,0.1471257,0.14717232,0.10777832,0.09434747,0.09637021,0.101084724,0.09902124,0.07990285,0.11985433,0.09293444,0.08876325,0.08211204,0.14296252,0.090917826,0.11752357,0.12295461,0.090860285,0.118828245,0.11385028,0.09813338,0.10224755,0.1035758,0.13527785,0.095161006,0.09022491,0.09682885,0.094019815,0.08300101,0.09707418,0.08900083,0.10262223,0.11043475,0.15772822,0.10462101,0.09853858
YAPC,0.11962378,0.10230049,0.13932253,0.11167712,0.08611019,0.08589417,0.1026599,0.08850264,0.10645327,0.07980702,0.11668167,0.09816766,0.09144028,0.14178616,0.10261663,0.1021853,0.08105564,0.14141072,0.1084826,0.096904255,0.11755917,0.076152354,0.12110039,0.08968774,0.11085835,0.1074228,0.12458074,0.106386505,0.11455917,0.08715117,0.124496005,0.08425194,0.09934839,0.081531994,0.12202966,0.09415644,0.08794391,0.0864028,0.09959964,0.09324943,0.10187065,0.1307596,0.12244839,0.0761721,0.10012509,0.10698687,0.10206913,0.10780319,0.08715043,0.07478621,0.11318769,0.1097242,0.09433743,0.10475344,0.09843875,0.10682764,0.08975583,0.11288899,0.09093074,0.112903,0.13282074,0.098980695,0.099160045,0.087761536,0.10605154,0.10136669,0.12147658,0.085037045,0.07765731,0.12147649,0.085044935,0.07765731,0.1177548,0.12342433,0.13695414,0.12727614,0.1251391,0.08523722,0.06595599,0.12347149,0.104336835,0.10305875,0.085130066,0.09997943,0.0889838,0.12248245,0.09118636,0.09068924,0.12035595,0.102727324,0.07871286,0.13482153,0.10317986,0.08737791,0.11837319,0.115228996,0.09604446,0.09000671,0.10126526,0.094968475,0.081236616,0.09831604,0.11056953,0.11267174,0.12975909,0.10333195,0.14673838,0.10441817,0.09358739,0.12483283,0.099488504,0.11643852,0.10622965,0.07771055,0.1021747,0.10447001,0.09914201,0.10011717,0.1039222,0.099446476,0.103031985,0.13368185,0.100802615,0.11326448,0.14151905,0.12825482,0.0829824,0.12990461,0.10576195,0.13650449,0.08384603,0.1286223,0.10772416,0.12091233,0.1318894,0.09905574,0.11345006,0.11317923,0.11041293,0.09139438,0.107674666,0.11034391,0.09004276,0.089326076,0.12174144,0.11221904,0.14389695,0.09880479,0.095941074,0.10272792,0.13149174,0.12402503,0.109906286,0.11319045,0.116769314,0.08258942,0.09617936,0.08454632,0.10093695,0.07610861,0.12390295,0.089330845,0.08152876,0.09948104,0.11013732,0.07421007,0.113249294
HEPG2,0.09544241,0.12472618,0.13907836,0.0986091,0.09331401,0.086379774,0.11336687,0.09153182,0.09735749,0.0834339,0.09443382,0.083006315,0.10526269,0.12285506,0.12384482,0.10486276,0.069214806,0.14318296,0.11134187,0.14561082,0.12015111,0.09777082,0.1021819,0.08620002,0.12153867,0.08523965,0.113462515,0.09106177,0.09796956,0.071045764,0.09172362,0.076684535,0.11610779,0.092240036,0.117036186,0.100797065,0.094828606,0.082338214,0.095319904,0.091963224,0.07551752,0.12849206,0.10175873,0.10114224,0.104547635,0.08716803,0.10684515,0.12708686,0.09098095,0.09233797,0.109519124,0.11986435,0.115922004,0.08153166,0.1240478,0.11677613,0.09136569,0.115337424,0.09017341,0.104288295,0.11535235,0.082911305,0.10459893,0.07416922,0.08506243,0.08630891,0.09749236,0.07039063,0.0996119,0.09749245,0.07039502,0.0996119,0.10863594,0.12522018,0.11398275,0.13448742,0.11836414,0.06633095,0.07980076,0.13679014,0.10784372,0.101896845,0.10310279,0.09693527,0.09006668,0.114773534,0.10511912,0.12942179,0.1240534,0.088504925,0.08421689,0.11610094,0.08422589,0.09343503,0.07946806,0.117766775,0.1073566,0.09942217,0.09975324,0.092028685,0.08195246,0.10883482,0.101115264,0.09646979,0.09285562,0.09383384,0.11925646,0.09689598,0.09537946,0.11667644,0.0842512,0.12868997,0.10400655,0.0858717,0.092630036,0.085580826,0.12023025,0.07149192,0.111401126,0.074997865,0.09882579,0.10204415,0.11853697,0.101901144,0.09612695,0.15286046,0.11195533,0.109330125,0.104264975,0.1247656,0.10442449,0.098705836,0.12831807,0.11452227,0.10133195,0.08722811,0.08860778,0.116878554,0.08989159,0.08154652,0.08835981,0.09535385,0.08749426,0.08027424,0.14459686,0.09730131,0.14288937,0.11904713,0.10544628,0.10788794,0.10656047,0.1098027,0.11835508,0.11679761,0.10667195,0.09196679,0.10415712,0.0899048,0.09494226,0.08981709,0.10580077,0.0773579,0.10934251,0.13252458,0.09267999,0.08692621,0.11104966
MCF7,0.13325626,0.11375965,0.14186981,0.0940824,0.09153826,0.11442267,0.12201681,0.08753316,0.107103646,0.08849449,0.12476657,0.099471085,0.0917,0.13940118,0.14517072,0.07969289,0.08289105,0.14700495,0.11504354,0.13189253,0.1124683,0.10014021,0.08924469,0.07859429,0.13660437,0.12022896,0.11056542,0.116174504,0.115275696,0.09860992,0.10232129,0.09033126,0.12266078,0.07104576,0.12639573,0.09664365,0.10168669,0.0939738,0.10236854,0.09336886,0.113353625,0.11858048,0.12850589,0.083580874,0.082662076,0.09989099,0.09312379,0.113694176,0.09492595,0.113540076,0.12857567,0.12647445,0.09609191,0.11465303,0.11672947,0.10340812,0.09387993,0.12158518,0.08650638,0.1378855,0.13174967,0.11510648,0.10812452,0.08630152,0.105566174,0.09495564,0.11525758,0.09570887,0.11722353,0.115257815,0.09571725,0.11722353,0.11274455,0.13000543,0.14669725,0.10818824,0.114447996,0.082230076,0.07747312,0.12630463,0.11977904,0.114132896,0.1021954,0.1022836,0.107186735,0.11445106,0.08062674,0.10479066,0.100426644,0.09861005,0.09060291,0.12856132,0.095592365,0.100748025,0.11167928,0.12682056,0.1289253,0.08843097,0.1113233,0.09782991,0.08536808,0.09079013,0.09923075,0.10914159,0.11619437,0.12618822,0.12685846,0.10079958,0.09063131,0.13358031,0.1001905,0.1298977,0.10688641,0.084537156,0.09317974,0.09824148,0.10265848,0.091345325,0.11731392,0.101825535,0.102233246,0.13289335,0.117316864,0.10667219,0.12310065,0.11492085,0.08575694,0.11172763,0.07875657,0.1388357,0.0828297,0.13503113,0.1034262,0.106296435,0.12204502,0.10964175,0.11105611,0.16290876,0.10481687,0.076944694,0.10116979,0.11260333,0.08509396,0.09335684,0.11055379,0.08976679,0.14601298,0.10547157,0.10294388,0.09591544,0.12142926,0.10577681,0.1502257,0.12729111,0.09039824,0.08083929,0.0826721,0.08595171,0.10613722,0.07807772,0.10403722,0.08834083,0.076648474,0.1093829,0.09912895,0.074459836,0.10142596
A549,0.11236149,0.095435515,0.13626389,0.1146326,0.08217991,0.10778295,0.12399928,0.0880129,0.09973092,0.08962659,0.10915677,0.098392904,0.09906239,0.14817783,0.1253777,0.0948821,0.07279542,0.12919791,0.117653675,0.1293415,0.11107175,0.0968929,0.11554346,0.10510223,0.11477604,0.12054531,0.123275705,0.10007708,0.11254649,0.089959346,0.11989288,0.08173765,0.1349962,0.07665047,0.13812464,0.1019566,0.11284783,0.10254158,0.11059416,0.08021045,0.097413,0.107273765,0.13877136,0.08358341,0.08318677,0.09406793,0.10261595,0.11025756,0.090809055,0.0913856,0.11993879,0.10296539,0.10173995,0.101455994,0.1236192,0.11840174,0.09521818,0.10979445,0.08115368,0.12610401,0.12860994,0.10476163,0.106919385,0.08749169,0.09486332,0.099713,0.102145776,0.09967033,0.11618952,0.10214597,0.09967415,0.11618952,0.11152788,0.115179755,0.12423746,0.12833804,0.13358432,0.10253577,0.09244399,0.1334516,0.11197513,0.11026114,0.10642235,0.106187224,0.09930815,0.12842675,0.08632039,0.13958777,0.10680217,0.090245396,0.07538143,0.13542812,0.08411406,0.091865435,0.1092671,0.119909465,0.12454189,0.09844735,0.11157328,0.101290055,0.068944365,0.088267274,0.09423243,0.09554894,0.08575305,0.105436735,0.12684909,0.102964796,0.096014574,0.11198574,0.08646631,0.124126285,0.109927066,0.08936194,0.09826496,0.10383964,0.10426996,0.07978609,0.10505307,0.09126184,0.083998546,0.12126307,0.11192929,0.11287558,0.11121488,0.1388748,0.10785996,0.13394779,0.109482765,0.12165061,0.09491747,0.13291325,0.13772762,0.13910706,0.10439776,0.108944684,0.09225049,0.13520941,0.1071445,0.09591103,0.12051349,0.08729067,0.0788572,0.0909662,0.12325677,0.122524135,0.12868716,0.12571865,0.10203467,0.10502246,0.10638851,0.09398472,0.12417751,0.107786536,0.09851425,0.10113309,0.10693107,0.073160514,0.10181994,0.09542925,0.12963784,0.09259932,0.0980112,0.109722786,0.11746172,0.09279718,0.10146126
HT29,0.12083999,0.09846932,0.1422466,0.11282416,0.09141444,0.09858811,0.12664819,0.10250342,0.115352206,0.0964709,0.10565938,0.098784916,0.101545796,0.16226202,0.12987645,0.0967297,0.07801695,0.1305858,0.11069273,0.108555496,0.107926756,0.107268676,0.113529645,0.0839572,0.10023772,0.10484491,0.12741469,0.12593903,0.105727874,0.09765134,0.11275243,0.07544546,0.116829924,0.090064384,0.1388837,0.092857786,0.0840066,0.0999435,0.09866293,0.095336914,0.09646207,0.11276872,0.10547264,0.07648846,0.10010778,0.09546171,0.10247711,0.11103596,0.07734312,0.07977739,0.12682,0.1201545,0.111630134,0.1213038,0.10702625,0.10947872,0.102305956,0.13102539,0.09002577,0.11179855,0.114480115,0.10089877,0.091410115,0.06921335,0.08999033,0.09725834,0.10224628,0.10079072,0.08876627,0.10224642,0.10080132,0.08876627,0.10538384,0.10842785,0.13965772,0.11493837,0.120087005,0.07524524,0.076154195,0.13036324,0.11064,0.11098684,0.08577195,0.08135718,0.09431873,0.12689827,0.077175535,0.10335735,0.11663148,0.104411036,0.08938939,0.11889307,0.08412277,0.0886983,0.09368217,0.123386785,0.11697543,0.09081314,0.1005635,0.10011209,0.082482144,0.093877606,0.10407526,0.09837917,0.1104468,0.10814318,0.12943855,0.1044547,0.11259662,0.1316814,0.099595144,0.13036734,0.11232967,0.083390534,0.09218522,0.10454494,0.10374989,0.0990764,0.10538675,0.08648645,0.09493617,0.11511883,0.11378734,0.12880813,0.12767476,0.12685049,0.09532066,0.10277118,0.09309429,0.11388359,0.08511537,0.12235423,0.09843718,0.106201254,0.1111594,0.10101548,0.078879826,0.12595963,0.09738578,0.08711922,0.09959435,0.08886403,0.079200834,0.08554926,0.12682244,0.10460393,0.11003956,0.11367008,0.08577632,0.094869636,0.11823715,0.10522927,0.115745865,0.11286176,0.111815006,0.09261008,0.10880294,0.06943643,0.09813358,0.09525068,0.13024724,0.093026236,0.10425306,0.103864044,0.11624387,0.07875546,0.09804104
