,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
NPC.TAK,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.023925938,-0.0,-0.0,-0.0,-0.00071308285,-0.009476138,-0.0,-0.0,-0.0,-0.07614499,-0.011518313,-0.03332884,-0.0,-0.0,-0.060370833,0.0,0.0,-0.0,-0.0,0.0,-0.02237697,-0.0,-0.077846,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0070355455,0.0,0.0,0.0,0.019323515
MNEU.E,0.019265322,0.0,-0.0,0.0,0.025760766,0.010212761,0.0063086557,0.0,0.002853495,0.10538834,-0.0115195755,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.05790862,0.0,0.024187116,0.024553157,-0.0,0.00072446687,0.0,0.03675344,0.012380636,-0.0,-0.0,-0.0,0.0,0.03841392,0.0,0.0,0.06903803,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.04546493,0.045683444,0.0,0.0,0.0,0.0010255375,0.0,0.024212766
HCC515,-0.001462906,0.0,0.0,0.0,-0.0,0.0,-0.0649958,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.008689502,-0.0,-0.05363668,0.0,-0.0,0.0,-0.0,-0.05601995,-0.0,0.0,-0.0,0.0,-0.0,-0.018854622,0.0,-0.094512165,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.006073142,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
SKBR3,-0.0,0.00016984725,0.0,-0.0,-0.0,-0.072983496,-0.0,-0.036179885,-0.0,-0.07542829,-0.0,0.0,0.067154735,-0.0,-0.0,-0.0077857063,-0.0,-0.0,-0.0,-0.0,0.0,-0.009709983,-0.06684272,0.0,0.0,-0.0,-0.0,0.0,0.048237916,-0.0,0.0,0.0,0.0,0.0,0.032233845,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
CD34,0.0,0.0,0.0,-0.0,-0.0,0.021026503,0.0,-0.0,0.09035504,0.13586405,0.23668925,0.14048342,0.12604848,0.19946426,0.07985205,0.11936686,0.17831174,0.08645784,0.12096052,0.11881164,0.10789441,0.17695965,0.09625709,0.15585291,0.054213334,0.108572766,0.15673336,0.17115861,0.092016175,0.11434553,0.029254917,0.028519826,0.006386738,0.06804467,0.0030694904,0.0,0.0,-0.0,-0.0,0.010775808,-0.0,0.0074534756,0.0,-0.0,0.0,-0.0,0.006538171,0.005136732,-0.0,0.01730445,0.0030216065,-0.0
YAPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020580636,0.0,-0.0016229404,-0.022847436,-0.0,-0.038240988,-0.0,-0.0,-0.04325801,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.005461404,-0.0,0.0,0.0,0.0,0.020736596,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.00041432667,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
HEPG2,-0.032443166,0.0,0.0,0.0,0.0030356604,0.045536622,-0.0,-0.013294951,-0.0,-0.0,-0.04378438,-0.033669803,0.0,-0.0,-0.0,-0.002820393,-0.0,-0.0,-0.019650878,-0.0,-0.004038499,-0.0,-0.0,-0.0,-0.08193157,-0.0,-0.0507948,-0.0,-0.0,-0.0,0.0,0.01996851,0.0,0.018417006,0.0,0.0,-0.0,-0.028996306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014397867,-0.0,-0.0,0.007418197,0.0
MCF7,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.04016082,-0.0,-0.0,-0.014867026,-0.0,-0.0,-0.04435609,-0.0,-0.015413027,-0.031844195,-0.0,-0.0,-0.05424022,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.026232611,0.0,-0.0069090724,0.0,-0.0,-0.0,0.0,-0.0,0.0
A549,-0.0,0.0,0.01150166,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03428707,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.06850663,0.0,0.0,0.011453814,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0054706465,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
HT29,0.0,0.0,0.0,0.07153017,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.055869676,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151016535,0.0,0.0,0.00066538353,0.0,0.0,0.0,0.0,0.006269179,0.0,-0.0,0.0,0.0,0.0,0.018282667,0.0,0.0,0.0,0.05288586,0.016521329,0.025498172
