,GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379
NPC.TAK,0.103893064,0.15315293,0.12178963,0.120795265,0.14520657,0.16397919,0.09316496,0.086686276,0.105911046,0.12021027,0.14299135,0.102743596,0.12867345,0.1123263,0.13278657,0.10411318,0.07091988,0.09870535,0.11655237,0.101006635,0.120267145,0.102918275,0.12393377,0.101377025,0.09231258,0.11659259,0.15182847,0.1032031,0.10103217,0.116066486,0.121328674,0.1156293,0.10097078,0.10031812,0.12320836,0.11640608,0.12372303,0.11887637,0.11988719,0.09045467,0.14705132,0.13269994,0.07471174,0.13673958,0.09476355,0.07192098,0.16434732,0.09120973,0.10257784,0.10612272,0.108317055,0.10493802
MNEU.E,0.10254758,0.13666353,0.08425683,0.12036657,0.12631832,0.1440739,0.08604519,0.096190766,0.10900026,0.13399422,0.12077148,0.09450277,0.10628401,0.09947895,0.10235091,0.09001693,0.07780929,0.09753327,0.106082365,0.108116925,0.10795089,0.114550844,0.10937626,0.10795414,0.11486932,0.10976097,0.1883295,0.1422508,0.13538066,0.13658975,0.10812799,0.12403674,0.09927198,0.117880665,0.1253195,0.114842325,0.10387052,0.12418517,0.13286577,0.117458664,0.11996779,0.11112685,0.09464762,0.10552868,0.09654572,0.077741385,0.1278337,0.08480674,0.09493896,0.089987464,0.09978723,0.11572252
HCC515,0.11052609,0.15170152,0.12010015,0.117898755,0.15816087,0.18367429,0.093240544,0.09086995,0.09639724,0.12203307,0.14369194,0.088126995,0.12550648,0.11564995,0.1371999,0.09061851,0.095482215,0.104455054,0.14293966,0.11297262,0.08512853,0.116015874,0.13478918,0.123427354,0.108369604,0.102195464,0.117881276,0.10380594,0.09540766,0.14342447,0.11914617,0.106841706,0.101124406,0.103015535,0.081187285,0.10122773,0.098323226,0.109858625,0.119412415,0.09971109,0.12202816,0.09873396,0.0671503,0.1439103,0.13586374,0.067584835,0.14217581,0.07870172,0.11892452,0.10729583,0.08650365,0.10516026
SKBR3,0.10785996,0.15101841,0.12698781,0.109469905,0.15301524,0.15588088,0.09845795,0.08784153,0.10225413,0.1127697,0.1346237,0.08885751,0.14013146,0.096657746,0.12819631,0.10140084,0.09603572,0.10573152,0.12235665,0.104944184,0.105628654,0.12698196,0.10461805,0.09679748,0.12429875,0.1080093,0.11241472,0.11694923,0.116557285,0.13142541,0.123495705,0.11986842,0.10085461,0.08598994,0.10937336,0.09860292,0.10872306,0.11062099,0.1128605,0.088577144,0.13284142,0.1303754,0.08441396,0.1499,0.11648804,0.07072097,0.12944639,0.08477723,0.11338093,0.0719801,0.08818414,0.10612615
CD34,0.11212886,0.13964681,0.125457,0.11407562,0.14055735,0.14539963,0.07908891,0.08675029,0.12783569,0.14374588,0.15796869,0.12239551,0.11038003,0.12186274,0.11916687,0.108756565,0.12244407,0.12388316,0.12051771,0.085873544,0.100807294,0.14588873,0.13955982,0.117187105,0.1007518,0.12265619,0.14250556,0.1266858,0.14323527,0.105978176,0.12349968,0.13229148,0.10463178,0.07856311,0.14910337,0.097293824,0.110554904,0.12820543,0.11483228,0.11424893,0.1236444,0.12606293,0.07014604,0.13127209,0.117029734,0.08767498,0.14538191,0.09256739,0.13173984,0.10668821,0.08680789,0.104512505
YAPC,0.12680665,0.12996778,0.088831425,0.12635598,0.14664486,0.20003873,0.08559612,0.096526936,0.10719843,0.107908726,0.1379143,0.09880582,0.105138175,0.1256037,0.11510842,0.094124176,0.09189755,0.102080904,0.105754636,0.09666357,0.09848681,0.117887735,0.12755646,0.10881335,0.099656366,0.12971751,0.13760568,0.110486984,0.09610112,0.13622876,0.12616488,0.12594205,0.10215151,0.085686296,0.10682174,0.08097924,0.09718314,0.104126304,0.075870335,0.088559486,0.14013202,0.14500366,0.08765592,0.13741696,0.0989557,0.07207007,0.16285947,0.08762252,0.10911197,0.09074626,0.09728098,0.11172007
HEPG2,0.09821296,0.16634154,0.12607698,0.11867714,0.16100831,0.1749317,0.081666335,0.08918942,0.09529871,0.11959512,0.12203257,0.098057576,0.11542335,0.11355457,0.12882589,0.10468179,0.08264742,0.10966012,0.09798864,0.117099285,0.09421811,0.12006032,0.10800755,0.10945839,0.09957301,0.11841974,0.15264796,0.114518836,0.10269226,0.14061007,0.124102786,0.14037876,0.10228354,0.097311825,0.0928412,0.124651656,0.10188418,0.090575516,0.12626675,0.11132933,0.1429939,0.12147687,0.08593331,0.15437375,0.13107018,0.07940307,0.12787205,0.07692569,0.09465361,0.08807008,0.079734676,0.11462466
MCF7,0.12199777,0.14055753,0.0962712,0.117732994,0.13768615,0.16933614,0.09629043,0.065481044,0.09297312,0.11708007,0.1455399,0.11951274,0.11010614,0.124347314,0.1105816,0.0890918,0.08904021,0.078141026,0.11373316,0.09673757,0.11840044,0.11301636,0.108152136,0.11521507,0.10762882,0.10370029,0.14496791,0.10703011,0.106647916,0.12777498,0.10713791,0.11737645,0.11085466,0.088939354,0.09913643,0.08797286,0.09601928,0.10849166,0.08039414,0.10279751,0.1358238,0.12204183,0.07916057,0.16187795,0.09213869,0.06382901,0.1495684,0.07366204,0.10371214,0.104845375,0.097726315,0.10310417
A549,0.114739545,0.14764628,0.100787744,0.12300274,0.15218304,0.20065014,0.10031019,0.0973511,0.1165261,0.11679051,0.1217786,0.10855703,0.12528965,0.12733625,0.12808987,0.101730265,0.094382145,0.08888129,0.09938259,0.09903416,0.102472804,0.11802896,0.13642636,0.1064304,0.10694353,0.1339567,0.14251484,0.10935907,0.09900514,0.13947919,0.1150431,0.10481915,0.10550159,0.09970842,0.12845816,0.09087349,0.103148766,0.104171224,0.09355471,0.100033455,0.14227808,0.14501603,0.085876636,0.1630451,0.117623486,0.07327397,0.16472556,0.07947586,0.111409694,0.09371989,0.08199864,0.103083745
HT29,0.11991301,0.12844466,0.10429959,0.12562323,0.16216989,0.17888609,0.09109534,0.09400767,0.10591832,0.11363768,0.14042534,0.0889709,0.11738142,0.14171349,0.12770432,0.083533995,0.08367897,0.09886763,0.107443936,0.09763067,0.10452377,0.11474538,0.10387537,0.11404534,0.095434226,0.1309057,0.13689499,0.09807869,0.10798528,0.1495823,0.12777044,0.119962126,0.095796525,0.099814534,0.112054065,0.09000639,0.10673421,0.106254965,0.09438031,0.10540281,0.13769722,0.116520524,0.073508814,0.1262863,0.0917408,0.07478482,0.1340318,0.07167213,0.096209824,0.09248676,0.08992816,0.12753187
MCF10A,0.13565975,0.16312952,0.11025182,0.10594465,0.15169728,0.15590279,0.10136669,0.08376955,0.09530364,0.11540035,0.14464924,0.0980458,0.12393057,0.103874356,0.12908615,0.108808294,0.10581584,0.08924309,0.12280146,0.12013552,0.10447349,0.12911125,0.12615895,0.11644182,0.11759053,0.11657147,0.12291345,0.1151045,0.09582369,0.12740879,0.11539459,0.10700837,0.11141172,0.104240336,0.127336,0.09387073,0.11664762,0.11403038,0.11519327,0.09584147,0.14730498,0.13642286,0.089985274,0.13749942,0.10453847,0.08024811,0.15570089,0.09710314,0.12241653,0.07801141,0.08458717,0.1146857
HUES3,0.11905819,0.15585208,0.096654065,0.12053373,0.12959884,0.1555082,0.09369648,0.088024415,0.08316681,0.11465676,0.1296259,0.09453014,0.1278102,0.09335752,0.12812467,0.116261154,0.08015211,0.10136244,0.10383792,0.10014854,0.12401117,0.11308811,0.11396223,0.09310273,0.08943414,0.11604146,0.15043707,0.12385677,0.104431674,0.14103097,0.11382611,0.11364246,0.10807893,0.1138992,0.122673824,0.112721056,0.10912844,0.094307445,0.101669855,0.08891646,0.15745002,0.12793963,0.09090122,0.12872176,0.11230444,0.08329956,0.16289224,0.09654426,0.11170869,0.09786832,0.103502475,0.11454296
