,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
NPC.TAK,0.08936736,0.11650433,0.09157368,0.09989026,0.033082716,0.04415812,0.11406333,0.020117814,0.037194986,0.098785914,0.10356803,0.045596603,0.10023124,0.07055801,0.059293892,0.027366519,0.04975329,0.067659594,0.14438805,0.14349237,0.14404498,0.08915233,0.08127554,0.09655433,0.1345782,0.055781875,0.1034086,0.0054629166,0.005295,0.044239856,0.042560164,-0.03861622,0.04088608,0.028481396,0.07447866,0.0005396008,0.006185759,0.03533545,0.04118231,0.056014854,0.04942308,0.039820936,0.081565365,0.04013429,0.023773389,0.040167537,0.011284648,0.05558795,0.05914567,0.0890711,0.08797603,0.068000816,0.039896697,0.103648655,0.07728937,0.056067497,-0.012615299,0.0501727,0.023334745,0.06913428,0.04318441,0.08205737,0.14184946,0.030990662,0.035135545,0.010167169,0.067556314,0.075342305,0.061623394,0.06728303,0.075684726,0.061623394,-0.00620221,0.06549513,0.056064498,0.027147245,0.009045832,-0.04220717,-0.036147755,-0.01991366,0.082350396,0.0016447558,0.08845246,0.05240119,0.014880778,0.14227027,-0.01156845,0.037820876,0.051372092,0.06948663,0.048870936,0.092265084,0.0061714444,0.064580806,0.033067632,0.082374245,0.04579127,-0.006851161,0.0070937923,0.02370182,-0.06765782,0.026298195,0.08492719,0.068143584,0.057762098,0.04892428,0.04345374,0.01990244,0.055560384,-0.021238284,0.03743943,0.034750637,0.032542177,0.013578674,0.019414313,0.06318873,0.025304709,0.09334191,0.073553376,-0.021434003,-0.061220907,0.009653883,-0.05600489,-0.03689251,0.057444382,-0.019675424,0.0014322865,-0.04332659,-0.020186285,0.0018666163,0.051868167,-0.0137357395,0.015836297,-0.010906076,-0.019429253,0.009500933,0.060892463,0.042941954,-0.04109345,-0.029668402,-0.030905267,0.062373366,0.04829616,-0.03442802,-0.066544876,-0.026150985,0.030550415,0.05050429,0.08675339,-0.019377891,-0.0061380174,-0.02721426,0.03818168,0.034083992,0.026168296,0.0045360946,0.04153484,-0.0156170055,0.025297303,-0.011840003,0.03921777,0.017411845,-0.025149215,-0.034249246,0.03903744,-0.021892464,0.039665297
MNEU.E,0.09695117,0.07676625,0.11730524,0.02368095,0.019820372,0.02160042,0.097919375,0.041897967,0.015629811,0.016901178,0.06577829,0.02355933,0.014275216,0.057317402,0.12738676,0.020311808,0.03380981,0.05184878,0.122089475,0.12925443,0.11536451,0.07721989,0.02396536,0.05382229,0.09106567,0.06233728,0.05581374,0.037886735,0.050605185,0.11342962,0.09673435,0.07816208,0.038603157,0.06157013,0.11721367,0.04399457,0.067007795,0.067628026,0.08569765,0.088124685,0.086287305,0.087724835,0.108606115,0.086027406,0.08106516,0.03498721,0.049838625,0.088097654,0.0809053,0.12872897,0.10055794,0.101204455,0.07321903,0.09210689,0.09515434,0.08738387,0.045505982,0.09336925,0.080063365,0.072224244,0.0499823,0.078181066,0.10424124,0.046138335,0.10754382,0.030988863,0.089109205,0.10718432,0.09416679,0.088668875,0.107958525,0.09416679,0.039258853,0.09517631,0.05139783,0.008983157,0.025467403,-0.05013863,-0.06588868,-0.035860483,0.14132686,0.026183868,0.02307952,0.015068441,-0.025440734,0.099640064,0.0068181446,-0.0029418727,0.070465505,0.08490069,0.07262499,0.08097514,0.08894933,0.08599499,0.09255427,0.0848012,0.0805211,0.020141054,-0.010430248,0.009118957,-0.044826087,0.019101597,0.0945945,0.06120993,0.06360344,0.051833794,0.03810571,0.047589768,0.068529546,-0.0023481327,0.09290328,0.010702261,0.045089565,0.0426031,0.044218034,0.10126669,0.066559695,0.08227071,0.08128537,-0.02265207,-0.056391664,-0.030219702,-0.010289386,-0.043959472,0.104543805,-0.033064894,-0.022599444,-0.072145976,-0.02072008,-0.012830087,0.059970096,-0.031933464,-0.0015703762,-0.06317399,-0.022003874,0.02398088,0.044996172,0.05278947,-0.030777987,0.0012489238,0.004686734,0.03290529,0.05592123,-0.008555947,-0.047889676,-0.008771829,0.0069136866,0.043739375,0.11274759,-0.025444932,0.015406936,0.017568594,0.021576475,-0.006479497,0.07446429,0.0038046467,-0.002303195,-0.045017697,0.038043723,-0.022674438,0.10400785,-0.017454661,-0.016513346,-0.0482182,0.04087003,-0.0591496,0.053606108
HCC515,0.0677017,0.15119936,0.11981317,0.09464229,0.089785054,0.069885924,0.1392932,0.068079166,0.0756669,0.06020783,0.11491762,0.06664762,0.09709811,0.1006645,0.11408808,0.0946059,0.04685184,0.078609206,0.10470055,0.15209016,0.10926949,0.0720931,0.056725018,0.08173951,0.14143437,0.06790996,0.11469029,0.01263587,-0.008591069,-0.0024000308,0.044266842,0.0034043805,0.032174762,0.031316914,0.06333192,0.014681914,0.03250027,-0.0387378,0.04509833,0.05801399,0.004575606,0.041573465,0.06343252,0.016735489,0.042212408,0.001965301,0.002155973,0.060081508,0.05329919,0.056902125,0.06323952,0.064664744,0.009355398,0.043348767,0.06651456,0.047936425,0.02279732,0.054651257,0.023707291,0.061280295,0.030835513,0.035632398,0.06792882,0.043455005,0.060382534,0.0019211025,0.06534433,0.06624674,0.066696316,0.065132864,0.06642948,0.066696316,-0.004930948,0.058286697,0.07408272,0.04315122,0.02490289,-0.06540614,-0.09261962,-0.035198696,0.087803796,0.019906329,0.055584658,0.04964189,-0.0035318409,0.1285621,0.04938105,0.0224526,0.05431333,0.06778824,0.04848024,0.098136306,0.021117305,0.01546642,0.045073543,0.052163396,0.087621056,0.018708697,-0.000639137,0.017604616,-0.06445917,0.005976176,0.09441808,0.05582905,0.05640972,0.045430385,0.06546466,0.021008447,0.081883155,0.0077641145,0.047061615,0.04550718,0.057733368,0.037890695,0.0077434205,0.066719174,0.020741548,0.08023134,0.07354833,-0.042625815,-0.09850206,-0.027003774,-0.03100298,-0.019723564,0.1315098,-0.022841584,-0.016987093,-0.05253326,-0.06982144,-0.010535191,0.058558345,-0.005022201,-0.01682589,-0.01428865,-0.030167932,-0.008075763,0.09334633,0.04541594,-0.040792726,-0.016009716,-0.027884087,0.072402395,0.056969408,-0.055477187,-0.015095566,-0.049715612,0.03257738,0.06570122,0.100084364,0.037498925,0.024222545,-0.016840564,0.02587267,0.017424466,0.054045204,-0.009446693,0.021197679,-0.0075915954,0.0051569296,-0.012735232,0.07236816,0.022072831,-0.039658897,-0.013043819,0.04314515,-0.01205585,0.07510828
SKBR3,0.07417974,0.13473664,0.11831016,0.07549348,0.08601246,0.10686875,0.15408945,0.05202358,0.06727438,0.07015599,0.12652095,0.08374288,0.09930912,0.10553828,0.104615636,0.07652789,0.025485571,0.11842427,0.09403248,0.13207798,0.1366668,0.10538429,0.12495412,0.10203827,0.13277623,0.083785996,0.10149063,0.061261646,0.022930035,0.063761346,0.081997976,0.023404764,-0.001856855,0.07024856,0.07963471,0.027033856,0.0746713,0.026423573,0.06781528,0.08742047,0.072023824,0.05518442,0.06808198,0.027144788,0.044670507,0.04667119,0.020100053,0.08150967,0.049244754,0.054680884,0.093372054,0.086379886,0.038444266,0.06880815,0.10128612,0.057305533,0.0071906536,0.046610516,0.035527058,0.08755881,0.047658965,0.086146265,0.09849413,0.020936025,0.07502305,0.03528126,0.09766569,0.070361406,0.084683515,0.09768954,0.07064225,0.084683515,-0.0007628274,0.064116366,0.10280701,0.02342336,0.036015697,-0.050769832,-0.0482227,-0.032760024,0.10583839,0.030578796,0.047725577,0.0609003,0.00783771,0.11874821,0.0047549615,0.071333475,0.091126345,0.05918821,0.03691334,0.09319442,0.025077477,0.010314295,0.060984857,0.07690501,0.13284974,-0.022947809,0.02451052,0.05231969,-0.096612334,0.027706064,0.07156776,0.062192515,0.06596776,0.07317369,0.054181766,-0.0012834884,0.059548818,0.027130043,0.051778078,0.033829037,0.08063264,0.023475092,0.04063077,0.05033203,0.028127475,0.0848783,0.092225604,-0.039047312,-0.07974609,0.0003079324,-0.023091914,-0.034516674,0.1263013,-0.0054270667,-0.046323843,-0.045399394,-0.0676768,-0.0127496105,0.0453375,0.0034952082,-0.0032918404,-0.0065750065,-0.011451771,-0.0016787779,0.078049116,0.06447547,-0.072286375,-0.032378685,-0.037348516,0.044088162,0.067441694,-0.035785094,-0.055182762,-0.054301668,0.040544573,0.0387039,0.081736326,-0.0052464926,0.0031049396,-0.018710509,0.0121382335,0.0056097843,0.029700933,0.013329162,0.059685707,-0.038129225,0.0005305223,0.012796256,0.051845334,0.001656219,-0.013346304,-0.005920758,0.031085119,-0.039780755,0.08103383
CD34,0.122474454,0.19528122,0.16479565,0.1415312,0.1578483,0.13053185,0.16886954,0.10702303,0.10892792,0.13187267,0.17451541,0.12394408,0.16381033,0.15125859,0.11653885,0.10438799,0.11399019,0.18849823,0.09860909,0.10511217,0.092713535,0.12545234,0.09375732,0.10070275,0.14628868,0.073930055,0.13556165,0.03340174,0.049572658,0.064576894,0.07671419,0.040512454,0.09297155,0.083943814,0.104007706,0.09426919,0.08948698,0.06405653,0.11702615,0.11614633,0.08357939,0.112290315,0.11614464,0.08430312,0.06305891,0.05961004,0.05249345,0.152596,0.120676346,0.13827623,0.13886178,0.17296755,0.07675913,0.10603127,0.117751785,0.09715093,0.07725969,0.17485832,0.10515497,0.11951144,0.10837987,0.10875603,0.14108667,0.062024508,0.096684754,0.028659254,0.1358445,0.11651404,0.10955426,0.13549936,0.11711598,0.10955426,0.054126892,0.12932344,0.13379301,0.039193977,0.052817088,-0.07996033,-0.06745555,-0.052131698,0.10570175,0.0073718084,0.057959624,0.033282254,-0.020093953,0.184844,-0.012418228,0.0064568683,0.08615658,0.09695755,0.10128366,0.08582663,0.06993527,0.074209556,0.08304611,0.1022638,0.13976137,0.0471959,0.025633102,0.05895773,-0.041829497,0.031236922,0.11547754,0.094268166,0.11906355,0.12999961,0.08793593,0.022519426,0.11783839,0.042941455,0.10676029,0.08193663,0.07723128,0.008842308,0.096108,0.08521822,0.08582419,0.12093341,0.13572022,-0.07256346,-0.074243404,-0.057657905,-0.05566165,-0.027523309,0.13362621,-0.037079904,-0.04675317,-0.076777674,-0.03954654,-0.031152038,0.056240615,0.0025035923,-0.019774431,0.009324424,-0.09018086,-0.023550447,0.08726807,0.047778305,-0.029394833,-0.02737361,-0.025670458,0.062167935,0.081114486,-0.07600438,-0.04517257,-0.05501482,0.012448838,0.043370444,0.11403792,-0.005551426,0.030994415,-0.011525894,-0.008512546,-0.020048393,0.100893505,-0.026702985,0.054472476,0.00042506965,-0.0118857995,-0.0062815445,0.10669638,-0.044860672,-0.028118746,0.0020144905,0.02531451,0.010118925,0.08605495
YAPC,0.0821494,0.12898229,0.08552436,0.05739921,0.064821325,0.060520567,0.10657306,0.026848156,0.061956223,0.056982413,0.11196937,0.053972706,0.094840564,0.098116376,0.09622815,0.06065474,0.03434898,0.11712275,0.13373184,0.12290644,0.1343522,0.0909242,0.07407619,0.06748294,0.12303531,0.06560595,0.098920055,0.037151605,0.043481972,0.047169924,0.082664855,0.015827637,-0.008990888,0.048555944,0.057760473,0.054342717,0.037351254,0.0023722672,0.07204084,0.07540769,0.02749933,0.06671515,0.06965821,0.021266617,0.049928043,0.016482964,0.0222836,0.08236747,0.082468085,0.065107554,0.07761488,0.06674125,0.024593703,0.07325602,0.08868782,0.048412524,0.03138054,0.06814192,0.020340998,0.06904674,0.03088118,0.061063226,0.09388765,0.042953193,0.088686906,0.009118826,0.10854895,0.083364785,0.077666536,0.10836403,0.08412964,0.077666536,0.010198804,0.06268992,0.099626854,0.033159338,0.04338085,-0.064372554,-0.09401178,-0.029707143,0.08854659,0.01263634,0.04953843,0.047862172,-0.0030124267,0.17279027,0.033171237,0.016898353,0.03651917,0.06063,0.042702433,0.08709978,0.0013430231,0.034642316,0.061444785,0.08127056,0.077177525,-0.011637471,-0.013930407,0.00072206755,-0.049891986,0.004648098,0.08967377,0.06025485,0.07431843,0.07903615,0.07404093,0.030931061,0.05985835,0.010488588,0.06583788,0.038912848,0.04250623,0.02778605,0.013486317,0.07137374,0.032329343,0.08193082,0.08551426,-0.042259257,-0.06751043,-0.010072352,-0.044567835,-0.04907691,0.1350101,-0.05140988,-0.03587279,-0.063386135,-0.0795178,-0.014592062,0.053243093,-0.034082416,-0.00903122,-0.021038724,-0.027024593,-0.017681725,0.0989387,0.035039473,-0.027663602,-0.029645713,-0.0048582335,0.017218433,0.06545167,-0.049407594,-0.043612756,-0.058947723,0.042306263,0.0380561,0.090116516,0.0037122595,0.021812826,0.00065475446,0.025351297,0.027084649,0.059189018,0.00044145228,0.05782475,-0.037110347,-0.010600671,-0.025496317,0.10366874,-0.013593234,-0.038186457,-0.06417159,0.060344297,-0.04614151,0.07549359
HEPG2,0.044905152,0.16650257,0.123269275,0.0820176,0.06891032,0.07316826,0.14782813,0.06463781,0.05579077,0.055704325,0.08395229,0.04728917,0.11340853,0.08176882,0.088535056,0.096101694,0.040978465,0.113180615,0.113305286,0.13157478,0.11635919,0.08354898,0.06852289,0.06716349,0.13082191,0.029756693,0.07901561,0.027674455,-0.01294645,-0.030744327,0.031166926,-0.01441027,0.0049836677,0.021237984,0.05023955,0.0036614593,0.036048885,-0.022872211,0.038697977,0.06235083,-0.013004018,0.041329235,0.0351288,-0.00016688337,0.0285463,-0.006001433,0.004462089,0.06171217,0.051096275,0.06311721,0.058480904,0.06862764,-0.00012532063,0.021900544,0.07199306,0.06382938,0.014633849,0.061822545,-0.007716071,0.049326193,0.023852099,0.04966707,0.101962775,0.010770345,0.016304947,-0.01202774,0.06359697,0.03360714,0.031468578,0.06338666,0.034139108,0.031468578,-0.014745893,0.05943238,0.076732084,0.029902885,0.03990651,-0.07367846,-0.08865673,-0.022686673,0.07539765,0.0039089774,0.052676465,0.036356535,-0.005759,0.13915329,0.04571487,0.036591787,0.049233798,0.050726105,0.073751464,0.11195285,0.010483685,0.03892509,0.028910998,0.06809237,0.072721235,0.00018642668,0.02252816,0.008066928,-0.08332485,0.026048543,0.090912506,0.047025636,0.06711198,0.06434371,0.07125119,0.013438493,0.06217193,0.018787567,0.04337723,0.055789173,0.041064534,0.033662677,0.0029596495,0.059870377,0.043633897,0.0597307,0.047800284,-0.0155248465,-0.106034525,-0.036391653,-0.026949482,-0.015920397,0.1147947,-0.017966496,-0.018342933,-0.0062977895,-0.024878526,-0.0100132,0.07265482,0.019920323,-0.0084052505,-0.00099641,0.0020170982,-0.00369851,0.084990785,0.07759034,-0.055761244,-0.014393868,-0.03124379,0.068642795,0.062330533,-0.047882058,0.00392662,-0.029045291,0.028538622,0.06628304,0.09956373,0.0057572923,0.022277333,-0.038903553,0.050189767,0.031537887,-0.0057257437,-0.0086897565,0.05642122,-0.017506758,-0.014006282,-0.006326689,0.009538281,0.013063704,-0.010013997,-0.015794393,0.019811003,-0.008072105,0.05809289
MCF7,0.06505736,0.13916498,0.095499456,0.07338273,0.053033214,0.06609065,0.11893191,0.032635957,0.051732894,0.041754927,0.115285136,0.07730542,0.07088722,0.08977443,0.09700591,0.05121039,0.044803955,0.12802413,0.12036997,0.15880075,0.10770145,0.09961938,0.0912717,0.071868494,0.12215758,0.08256839,0.08829314,0.05109919,0.047090374,0.075313754,0.06830673,0.028387062,0.007500011,0.06734436,0.08444786,0.04987887,0.08041688,0.025697641,0.08712363,0.10022313,0.07494157,0.0868224,0.08856783,0.03764535,0.07770587,0.019265145,0.010849406,0.09643228,0.062381852,0.08240515,0.09397085,0.095875144,0.02737993,0.08193562,0.13335492,0.04627106,0.023853097,0.08678023,0.033700477,0.096990116,0.050685234,0.09894274,0.1324964,0.04278951,0.07879542,0.009245028,0.10766449,0.09268495,0.109144986,0.10752445,0.09338321,0.109144986,0.027792247,0.0634004,0.09180765,0.0013357989,0.032861825,-0.083136156,-0.08159041,-0.034441657,0.08358319,0.027922776,0.051199622,0.059065282,-0.012056033,0.1214221,0.003179154,0.0140607655,0.02463663,0.055689912,0.05868925,0.071928695,0.010558177,0.03513823,0.06538293,0.07930247,0.09298299,-0.009500495,0.020211272,0.009062915,-0.06808639,0.033609632,0.06725167,0.056850523,0.041990124,0.08983433,0.039627235,0.015185537,0.051392965,0.02314616,0.04059813,0.039753422,0.06315824,0.011321865,0.032719415,0.060891554,0.042255204,0.08166157,0.11883558,-0.030921659,-0.079811126,-0.0146141555,-0.04239505,-0.03221404,0.11186542,-0.010249529,-0.011081318,-0.057032533,-0.07049192,0.007236635,0.03787232,-0.0021252995,-0.008204252,0.008924081,0.0014892806,-0.016297674,0.10925068,0.070107244,-0.05662646,-0.0032257726,0.009253414,0.05681534,0.06450094,-0.014501218,-0.043633517,-0.04324735,0.05894957,0.042780995,0.08844218,0.004808143,0.0045011146,-0.00816177,0.025294835,0.04793265,0.027994577,0.0042016627,0.048623696,-0.029856088,0.004688755,0.0021089967,0.07463518,0.0037173962,-0.032497533,-0.030893609,0.03594364,-0.03593376,0.05653216
A549,0.0746586,0.15013103,0.09397271,0.098798454,0.08752772,0.08486931,0.14486496,0.032964785,0.09498559,0.07005482,0.111072,0.048131987,0.107305355,0.13940899,0.105889596,0.08338109,0.056437355,0.12421277,0.13078073,0.1587995,0.1447607,0.10100415,0.08878058,0.09869228,0.1497384,0.07552077,0.1195599,0.021415547,0.032103255,0.01816188,0.06916809,-0.0027412917,0.007586555,0.01846306,0.05321756,0.023807252,0.042312745,-0.0075890385,0.066602685,0.04988372,0.032523308,0.044656064,0.07913994,0.0012062123,0.027757948,0.026269764,0.01015262,0.03526582,0.05116856,0.073314175,0.05543153,0.065439664,0.008309857,0.07958062,0.09305712,0.04461153,0.019318707,0.059483312,0.018894682,0.05381268,0.043525826,0.055761047,0.106426135,0.02220438,0.052628912,0.012092454,0.06989712,0.082646914,0.105261,0.06981062,0.08286171,0.105261,-0.008412168,0.06810845,0.10756814,0.024733862,0.036469232,-0.07987815,-0.08114207,-0.024005,0.08970929,0.02119335,0.04664676,0.04634909,0.0137260845,0.16355503,0.027506512,0.0356005,0.0146443155,0.06869427,0.022004513,0.11057014,0.021295791,0.032088645,0.068030715,0.058706157,0.0964528,0.016717147,0.024346642,0.042252265,-0.08781015,0.0077082673,0.08048428,0.06828134,0.0590574,0.07996148,0.08738008,0.017022327,0.09572846,0.016603334,0.05054924,0.047481418,0.085940614,0.021356411,0.019209228,0.05038588,0.04517177,0.059481245,0.08082356,-0.04364798,-0.090452746,-0.02535031,-0.043318,-0.04070432,0.13554604,-0.048123017,-0.025532175,-0.047806535,-0.07586349,-0.03917719,0.0551975,-0.013437559,-0.008431215,-0.017664412,-0.055079557,-0.02074221,0.10135514,0.047821246,-0.037240542,-0.015475428,-0.013901457,0.03907837,0.08699077,-0.052343514,-0.043794274,-0.04035753,0.023003351,0.07197615,0.091082945,0.019524476,0.013965183,-0.01626796,0.03667998,0.03244067,0.045617383,-0.0047868667,0.036482736,-0.025363082,-0.0076151327,0.018319262,0.096523814,0.016441857,-0.044894975,-0.012887544,0.039444223,0.0022789536,0.07184206
HT29,0.08717937,0.13861701,0.09571869,0.071794406,0.070723854,0.09869151,0.15375705,0.066237144,0.071218856,0.09530165,0.12712736,0.0691479,0.081295915,0.1262117,0.11151832,0.07178413,0.044284906,0.114038944,0.11682113,0.13227037,0.13139352,0.11307011,0.09541457,0.09050988,0.15562582,0.09421677,0.13361135,0.062388193,0.039088015,0.056425273,0.08666627,0.011983022,0.009418626,0.06171152,0.069660425,0.043752648,0.059016973,0.028275669,0.084927924,0.07906532,0.04955016,0.07618077,0.058667775,0.024470078,0.05151613,0.033907536,0.020372357,0.09831035,0.07148103,0.05024943,0.09125496,0.08369648,0.03968038,0.09142427,0.12198235,0.06788039,0.033096403,0.08749299,0.03689145,0.106576696,0.031522486,0.06760061,0.08303183,0.04295003,0.06034699,0.01589415,0.091964476,0.07879114,0.104358755,0.09185142,0.07924272,0.104358755,0.0026263816,0.061524622,0.09643649,0.044930853,0.039778534,-0.096110344,-0.08968934,-0.045522746,0.09564661,0.0236306,0.0715606,0.029739346,-0.005405037,0.1436588,0.02029363,0.012716465,0.053389836,0.07286697,0.047301624,0.074728206,0.010506632,0.041708604,0.047777902,0.092623375,0.078269795,-0.015985712,-0.007643507,0.012257595,-0.06499189,0.04521127,0.08494166,0.05796628,0.074363135,0.060490385,0.06661749,0.030249892,0.07241471,0.043342434,0.055404693,0.030900534,0.06301257,0.03999502,0.04974145,0.084485054,0.037704136,0.08225687,0.08440494,-0.020335322,-0.0858955,-0.012325323,-0.034235816,-0.026280167,0.10077542,-0.008867307,-0.026299335,-0.073871136,-0.06581355,-0.0067012333,0.069063306,0.0064160456,-0.01322831,-0.016531391,-0.014854924,-0.010576163,0.092751846,0.0585857,-0.037016362,-0.020456264,-0.0066536614,0.018497199,0.06290003,-0.04223041,-0.040375784,-0.031537507,0.04260354,0.0434748,0.0730491,-0.0016661737,0.01829079,-0.020095568,0.0407622,0.017150056,0.03823558,0.020870477,0.052346267,-0.043456085,-0.015959255,-0.02315161,0.08011002,-0.020315537,-0.021389168,-0.024801916,0.041285254,-0.04932946,0.04399917
