significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
panobinostat	1	3	0	4	Launched	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9	hematologic malignancy	multiple myeloma
sirolimus	1	1	2	4	Launched	mTOR inhibitor	FKBP1A|MTOR	transplant|pulmonary	organ rejection|lymphangioleiomyomatosis
varenicline	0	2	2	4	Launched	acetylcholine receptor agonist	CHRNA3|CHRNA4|CHRNA6|CHRNA7	neurology/psychiatry	smoking cessation
belinostat	1	2	0	3	Launched	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	hematologic malignancy	peripheral T-cell lymphoma (PTCL)
digitoxin	0	1	2	3	Launched	ATPase inhibitor	ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2	cardiology	congestive heart failure|cardiac arrythmia
doxylamine	0	1	2	3	Launched	histamine receptor antagonist	HRH1	neurology/psychiatry	sedative
equol	0	1	2	3	Launched	estrogen receptor agonist	ESR1|ESR2		
estradiol	1	1	1	3	Launched	estrogen receptor agonist	ESR1|ESR2|GPER1|KCNMA1|NR1I2	endocrinology	contraceptive
flutamide	0	1	2	3	Launched	androgen receptor antagonist	AHR|AR	oncology	prostate cancer
iloprost	0	1	2	3	Launched	platelet aggregation inhibitor|prostanoid receptor agonist	PTGDR|PTGER1|PTGER2|PTGER3|PTGER4|PTGFR|PTGIR|TBXA2R	pulmonary	pulmonary arterial hypertension (PAH)
lidoflazine	0	2	1	3	Launched	calcium channel blocker	SCN1A|SCN3A|SLC29A1	cardiology	coronary artery disease (CAD)
nicotine	0	2	1	3	Launched	acetylcholine receptor agonist	CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1	neurology/psychiatry	smoking cessation
nitrendipine	0	1	2	3	Launched	calcium channel blocker	CACNA1D|CACNA2D1|KCNN4	cardiology	hypertension
norgestimate	0	1	2	3	Launched	progesterone receptor agonist	ESR1|PGR	endocrinology	contraceptive
prazosin	0	1	2	3	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|KCNH2|KCNH6|KCNH7	cardiology	hypertension
probucol	0	1	2	3	Launched	atherogenesis inhibitor	ABCA1|ABCB11|CES1	cardiology	coronary artery disease (CAD)
risperidone	0	1	2	3	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|HTR7	neurology/psychiatry	schizophrenia|bipolar disorder|irritability
ticlopidine	0	1	2	3	Launched	purinergic receptor antagonist	P2RY12	hematology|neurology/psychiatry	thrombosis|stroke
vincristine	0	2	1	3	Launched	tubulin polymerization inhibitor	TUBA4A|TUBB	hematologic malignancy	acute lymphoblastic leukemia (ALL)
albendazole	1	1	0	2	Launched	tubulin polymerization inhibitor	TUBA1A|TUBB|TUBB4B	infectious disease	cystic hydatid disease|parenchymal neurocysticercosis
balsalazide	0	1	1	2	Launched	cyclooxygenase inhibitor	ALOX5|PPARG|PTGS1|PTGS2	gastroenterology	ulcerative colitis
benzylpenicillin	0	1	1	2	Launched	penicillin binding protein inhibitor		infectious disease	celluitis|meningitis|endocarditis|syphilis|pneumonia|bacterial septicemia
bezafibrate	0	1	1	2	Launched	PPAR receptor agonist	PPARA|PPARD|PPARG	cardiology	cholesterol
calcipotriol	0	1	1	2	Launched	vitamin D receptor agonist	VDR	dermatology	psoriasis
citalopram	0	1	1	2	Launched	selective serotonin reuptake inhibitor (SSRI)	ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
clomifene	0	1	1	2	Launched	estrogen receptor antagonist	ESR1	obstetrics/gynecology	infertility
diethylcarbamazine	0	1	1	2	Launched	lipoxygenase inhibitor	ALOX5|PTGS1	infectious disease	filariasis
dydrogesterone	0	1	1	2	Launched	progesterone receptor agonist	PGR	obstetrics/gynecology	infertility
esmolol	0	1	1	2	Launched	adrenergic receptor antagonist	ADRB1	cardiology	ventricular tachycardia (VT)|hypertension
estradiol-valerate	0	1	1	2	Launched	estrogen receptor agonist	ESR1	oncology|endocrinology|obstetrics/gynecology	prostate cancer|hypoestrogenism|menopause|vaginal atrophy
etomidate	0	1	1	2	Launched	GABA receptor modulator	ADRA2B|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ	neurology/psychiatry	general anaesthetic
fasudil	0	1	1	2	Launched	rho associated kinase inhibitor	PKIA|PRKACA|ROCK1|ROCK2	neurology/psychiatry	cerebral vasospasm
febuxostat	0	1	1	2	Launched	xanthine oxidase inhibitor	XDH	nephrology	hyperuricemia
fluphenazine	0	1	1	2	Launched	dopamine receptor antagonist	CALM1|DRD1|DRD2|DRD5|HRH1|HTR2A|HTR6|HTR7	neurology/psychiatry	schizophrenia
forskolin	0	1	1	2	Launched	adenylyl cyclase activator	ADCY2|ADCY5|GNAS		
imipramine	0	1	1	2	Launched	norepinephrine reputake inhibitor|serotonin reuptake inhibitor	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry|urology	depression|nocturnal enuresis
imiquimod	0	1	1	2	Launched	interferon inducer|toll-like receptor agonist	TLR7|TLR8	dermatology|infectious disease|oncology	actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
irbesartan	0	1	1	2	Launched	angiotensin receptor antagonist	AGTR1|JUN|SLC10A1	cardiology|nephrology	hypertension|diabetic nephropathy
