drug_name	drug_gene	type
thalidomide	MECOM	DGIdb
loperamide	TEK	DGIdb
minoxidil	SULT1A1	DGIdb
minoxidil	KCNJ1	DGIdb
mitotane	CYP11A1	DGIdb
mometasone	CD44	DGIdb
mometasone	CCL11	DGIdb
valsartan	AGTR1	DGIdb
simvastatin	HMGCR	DGIdb
simvastatin	ICMT	DGIdb
simvastatin	ZNF542P	DGIdb
simvastatin	SCAP	DGIdb
simvastatin	PON1	DGIdb
fostamatinib	SYK	DGIdb
propafenone	SCN5A	DGIdb
propafenone	COP 1	DGIdb
naltrexone	DBH	DGIdb
naltrexone	ANKK1	DGIdb
chlorpromazine	NTS	DGIdb
chlorpromazine	EPM2A	DGIdb
chlorpromazine	CCK	DGIdb
ramipril	CCN2	DGIdb
phenazopyridine	G6PD	DGIdb
mosapride	HTR4	DGIdb
ziprasidone	EHF	DGIdb
ziprasidone	CDH4	DGIdb
ziprasidone	CNTN4	DGIdb
meptazinol	BCHE	DGIdb
reserpine	LTF	DGIdb
temozolomide	MSH6	DGIdb
temozolomide	H2AX	DGIdb
rutin	AFP	DGIdb
rimexolone	ESRRA	DGIdb
rimexolone	SERPINA6	DGIdb
piperidolate	CYP2D6	DGIdb
cilostazol	THBD	DGIdb
nimodipine	CACNG1	DGIdb
procainamide	COP 1	DGIdb
salmeterol	CYP3A5	DGIdb
cilastatin	DPEP1	DGIdb
carbinoxamine	HRH1	DGIdb
pinacidil	ABCC9	DGIdb
fenbendazole	GLP1R	DGIdb
benazepril	SPTA1	DGIdb
benazepril	PRCP	DGIdb
aniracetam	HTR2A	DGIdb
thiocolchicoside	GLRA1	DGIdb
rilmenidine	NISCH	DGIdb
resveratrol	CEL	DGIdb
resveratrol	GDF15	DGIdb
resveratrol	RIPK1	DGIdb
resveratrol	PECAM1	DGIdb
resveratrol	SLC2A3	DGIdb
resveratrol	FOXO3	DGIdb
metergoline	HPSE	DGIdb
terguride	HTR2B	DGIdb
diethylcarbamazine	ALOX5	DGIdb
