drug_name	drug_gene	type
temozolomide	CHIC2	LINCS
rifabutin	TIMM9	LINCS
rizatriptan	TNFRSF21	LINCS
dextromethorphan	TNFRSF21	LINCS
felodipine	TNFRSF21	LINCS
etoposide	SESN1	LINCS
mitotane	GNA11	LINCS
trazodone	GNAI1	LINCS
aniracetam	GNAS	LINCS
thalidomide	GNAS	LINCS
varenicline	GNAS	LINCS
valsartan	GNAS	LINCS
tubocurarine	GNAS	LINCS
quinapril	GNAS	LINCS
nimodipine	GNAS	LINCS
amodiaquine	GNAS	LINCS
aniracetam	GRB7	LINCS
cilostazol	GRB10	LINCS
trazodone	GRN	LINCS
ropinirole	NR3C1	LINCS
metergoline	CHMP4A	LINCS
diethylcarbamazine	CHMP4A	LINCS
mitotane	CHMP4A	LINCS
valproic-acid	CHMP4A	LINCS
mycophenolic-acid	GTPBP8	LINCS
thiocolchicoside	CXCL2	LINCS
nilotinib	CXCL2	LINCS
chlorpromazine	HOOK2	LINCS
pyrvinium-pamoate	HADH	LINCS
naltrexone	HLA-DMA	LINCS
lapatinib	HLA-DMA	LINCS
tamoxifen	HMGCR	LINCS
raloxifene	HMGCR	LINCS
atorvastatin	HMGCR	LINCS
simvastatin	HMGCR	LINCS
raloxifene	HMGCS1	LINCS
bucladesine	HMGCS1	LINCS
nimodipine	HMGCS1	LINCS
thiothixene	HMGCS1	LINCS
chlorpromazine	HMGCS1	LINCS
bendroflumethiazide	HMGCS1	LINCS
rutin	HMGCS1	LINCS
salmeterol	HMGCS1	LINCS
azaperone	HMGCS1	LINCS
metergoline	HMGCS1	LINCS
tamoxifen	HMGCS1	LINCS
dipyridamole	HMGCS1	LINCS
cilastatin	HMGCS1	LINCS
dydrogesterone	HMGCS1	LINCS
rizatriptan	HMGCS1	LINCS
loperamide	HMGCS1	LINCS
menadione	HMOX1	LINCS
dopamine	HMOX1	LINCS
quinine	HMOX1	LINCS
curcumin	HMOX1	LINCS
reserpine	HMOX1	LINCS
homoharringtonine	HSPA8	LINCS
thiothixene	BIRC5	LINCS
fluvastatin	BIRC5	LINCS
etoposide	BIRC5	LINCS
nilotinib	BIRC5	LINCS
reserpine	BIRC5	LINCS
amlodipine	BIRC5	LINCS
thiothixene	HSPD1	LINCS
nilotinib	ICAM1	LINCS
dexamethasone	IGFBP3	LINCS
triamcinolone	IGFBP3	LINCS
betamethasone	IGFBP3	LINCS
fludroxycortide	IGFBP3	LINCS
econazole	IGHMBP2	LINCS
thiocolchicoside	APP	LINCS
valsartan	FAS	LINCS
mycophenolate-mofetil	FAS	LINCS
medetomidine	IL4R	LINCS
pyrvinium-pamoate	INPP1	LINCS
irinotecan	INPP1	LINCS
tamoxifen	INSIG1	LINCS
mitotane	INSIG1	LINCS
reserpine	INSIG1	LINCS
metergoline	INSIG1	LINCS
raloxifene	INSIG1	LINCS
chlorpromazine	INSIG1	LINCS
thiothixene	INSIG1	LINCS
panobinostat	INSIG1	LINCS
amlodipine	INSIG1	LINCS
loperamide	INSIG1	LINCS
salmeterol	INSIG1	LINCS
tamoxifen	ITGAE	LINCS
