Source	Target	Path
PARP1	DNM1L	PARP1,UBC,DNM1L
PARP1	KIF20A	PARP1,UBC,KIF20A
PARP1	ARL4C	PARP1,UBC,ARL4C
PARP1	TXNDC9	PARP1,UBC,TXNDC9
PARP1	CDK6	PARP1,UBC,CCND1,CDK6
PARP1	CDKN1A	PARP1,UBC,CDKN1A
PARP1	STUB1	PARP1,UBC,STUB1
PARP1	IKZF1	PARP1,UBC,HDAC1,IKZF1
PARP1	HMG20B	PARP1,UBC,HDAC1,KDM1A,HMG20B
PARP1	LYPLA1	PARP1,UBC,LYPLA1
PARP1	VAT1	PARP1,UBC,VAT1
PARP1	CNPY3	PARP1,UBC,EPRS,MARS,EEF1E1,NAT9,CNPY3
PARP1	YME1L1	PARP1,UBC,YME1L1
PARP1	TCFL5	PARP1,UBC,E2F1,TOPBP1,TCFL5
PARP1	MTHFD2	PARP1,UBC,ATIC,GART,MTHFD2
PARP1	PRSS23	PARP1,UBC,ELAVL1,PRSS23
PARP1	SLC2A6	PARP1,UBC,GALE,SLC2A6
PARP1	CHEK2	PARP1,UBC,TP53,CHEK2
PARP1	CLTC	PARP1,UBC,CLTC
PARP1	CANT1	PARP1,UBC,SGTA,CANT1
PARP1	CRK	PARP1,UBC,CBL,CRK
PARP1	CSRP1	PARP1,UBC,CSRP1
PARP1	ADRB2	PARP1,UBC,ADRB2
PARP1	DCTD	PARP1,UBC,PCNA,RFC4,DCTD
PARP1	GADD45A	PARP1,UBC,PCNA,GADD45A
PARP1	DLD	PARP1,UBC,DLST,DLD
PARP1	AGL	PARP1,UBC,AGL
PARP1	TSC22D3	PARP1,UBC,HSP90AA1,RAF1,TSC22D3
PARP1	DUSP3	PARP1,UBC,HSP90AA1,RAF1,MAP2K1,MAPK1,DUSP3
PARP1	DUSP4	PARP1,UBC,HSP90AA1,RAF1,MAP2K1,MAPK3,DUSP4
PARP1	E2F2	PARP1,UBC,E2F1,TFDP1,E2F2
PARP1	EGR1	PARP1,UBC,TP53,EGR1
PARP1	EIF4EBP1	PARP1,UBC,AKT1,MTOR,EIF4EBP1
PARP1	EIF5	PARP1,UBC,EIF3A,EIF3B,EIF5
PARP1	EPHB2	PARP1,UBC,ESR1,SRC,EPHB2
PARP1	ERBB3	PARP1,UBC,ERBB2,ERBB3
PARP1	ALAS1	PARP1,UBC,ALAS1
PARP1	COG2	PARP1,UBC,RAB1A,USO1,SCFD1,COG4,COG3,COG2
PARP1	PUF60	PARP1,UBC,RPS3,MAGOH,SRRM2,PUF60
PARP1	RAB11FIP2	PARP1,UBC,OPTN,RAB8A,RAB1B,RAB11A,RAB11FIP2
PARP1	RPIA	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,RRS1,EBNA1BP2,BRIX1,RPIA
PARP1	ALDOC	PARP1,UBC,ALDOC
PARP1	RBM34	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,RRS1,EBNA1BP2,BRIX1,RBM34
PARP1	GPATCH8	PARP1,UBC,GPATCH8
PARP1	RRS1	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,RRS1
PARP1	RRP12	PARP1,UBC,RPS3,RPL27A,RPL5,MRTO4,MKI67IP,NOP2,RBM28,RRP12
PARP1	SIRT3	PARP1,UBC,SIRT3
PARP1	FOS	PARP1,UBC,JUN,FOS
PARP1	LSM5	PARP1,UBC,HSPA8,BCAS2,CDC5L,SNRPD2,SNRPD1,SNRPE,LSM3,LSM5
PARP1	PLA2G15	PARP1,UBC,ESR1,SRC,PEMT,PLA2G15
PARP1	EML3	PARP1,UBC,EML3
PARP1	TIPARP	PARP1,UBC,TP53,ATM,TIPARP
PARP1	PHGDH	PARP1,UBC,PHGDH
