gene1,gene2,weight
ESRRA,HIF1A,0.576
ESRRA,UBC,0.567
FKBP4,EIF4E2,0.24780100000000002
FKBP4,SIRT7,0.313
FKBP4,FOXO3,0.92
FKBP4,UBC,0.925
FKBP4,FKBP1A,0.5908399999999999
FKBP4,EIF4E,0.24780100000000002
SLC2A3,UBC,0.76
TBX21,UBC,0.576
SIRT4,HMGCR,0.23
SIRT4,SIRT7,0.164
SIRT4,HDAC6,0.276
SIRT4,SIRT6,0.161
SIRT4,UBC,0.576
CBX5,TBP,0.576
CBX5,TRIM28,0.999
CBX5,TUBA1A,0.457
CBX5,DNMT3B,0.961
CBX5,UBC,0.849
CBX5,CHD4,0.573
CBX5,MKI67,0.576
CBX5,SUV39H1,0.983
CBX5,ACTL6A,0.298
PAPOLA,YAP1,0.414
PAPOLA,UBC,0.88
PAPOLA,CDK5,0.467
HMOX2,UBC,0.752
FDFT1,CYP3A5,0.289647
FDFT1,CYP11A1,0.289647
FDFT1,HMGCR,0.2728
FDFT1,COQ2,0.284
FDFT1,HMGCS1,0.252
FDFT1,CYP2A13,0.289647
FDFT1,CYP3A7,0.289647
FDFT1,UBC,0.988
FDFT1,CYP2D6,0.289647
CYP3A5,FDFT1,0.289647
CYP3A5,HMGCS1,0.173768
CYP3A5,CYP2A13,0.178
CYP3A5,CYP2D6,0.182
BMPR1A,BMP4,0.966
BMPR1A,SMAD2,0.248
BMPR1A,UBC,0.908
BMPR1A,FKBP1A,0.566
BIRC2,RIPK1,0.967
BIRC2,CCK,0.556
BIRC2,UBC,0.999
TBP,CBX5,0.576
TBP,SMARCB1,0.22766999999999998
TBP,TP53,0.992
TBP,HMGCR,0.498
TBP,PGR,0.576
TBP,TUBB4B,0.163
TBP,UBC,0.945307
TBP,ERCC6,0.614
TBP,CHD4,0.247
TBP,TEAD1,0.566
TBP,ACTL6A,0.39858699999999997
TBP,HSF1,0.606
LTF,APOB,0.337988
LTF,SIRT7,0.313
LTF,UBC,0.867
LTF,CEL,0.576
LTF,CNTN4,0.165
APOB,LTF,0.337988
APOB,CANX,0.812
APOB,LIPC,0.6048319999999999
APOB,UBC,0.979
MSH6,TP53,0.57
MSH6,SIRT7,0.344
MSH6,HDAC6,0.254345
MSH6,UBC,0.985
MSH6,CHD4,0.200828
MSH6,CDK5,0.202576
EGR1,TP53,0.963
EGR1,ACTC1,0.15176800000000001
EGR1,MELK,0.18212
CDKN1A,APC,0.273
CDKN1A,CCND2,0.998
CDKN1A,RBL2,0.238
CDKN1A,EEF2K,0.551
CDKN1A,STAT3,0.937
CDKN1A,TP53,0.999
CDKN1A,PRPF8,0.238
CDKN1A,CDK5R1,0.571
CDKN1A,PGR,0.567
CDKN1A,UBC,0.999
CDKN1A,PARP1,0.912
CDKN1A,CDK5,0.912
BMP4,BMPR1A,0.966
BMP4,SMAD2,0.428
BMP4,NF2,0.213
BMP4,UBC,0.296
CANX,APOB,0.812
CANX,EDEM1,0.914
CANX,LPA,0.917
CANX,SIRT7,0.313
CANX,UBC,0.986
CANX,EIF4E,0.159
GFER,SMAD2,0.158
GFER,UBC,0.345
GDF15,UBC,0.296
ASS1,SDS,0.175
ASS1,UBC,0.889
ASS1,EIF4E,0.501
TRIM28,CBX5,0.999
TRIM28,STAT3,0.569
TRIM28,TP53,0.875
TRIM28,DNMT3B,0.57
TRIM28,HIF1A,0.564
TRIM28,UBC,0.999
TRIM28,UBE2C,0.376
TRIM28,PARP1,0.615008
PDE6A,RRAS2,0.194
PDE6A,PDE6H,0.2839
PDE6A,YAP1,0.200773
PDE6A,ACTC1,0.15456199999999998
PDE6A,PDE6G,0.59638
PDE6A,PLSCR1,0.27
RRAS2,PDE6A,0.194
RRAS2,PKN3,0.157
RRAS2,PKN1,0.157
RRAS2,ICMT,0.229
RRAS2,UBC,0.362
RRAS2,SREBF1,0.295
RRAS2,TEAD1,0.301
RRAS2,PDE6C,0.194
RRAS2,PDE6B,0.194
EDEM1,CANX,0.914
EDEM1,UBC,0.594
EDEM1,FMO1,0.249
APC,CDKN1A,0.273
APC,SMAD2,0.167
APC,TP53,0.364
APC,UBC,0.954
APC,KRT19,0.167
SDS,ASS1,0.175
HNF1A,STAT3,0.576
HTR2B,AGTR1,0.576
EIF4E2,FKBP4,0.24780100000000002
EIF4E2,TP53,0.175
EIF4E2,GNPDA1,0.328
EIF4E2,EIF4EBP1,0.633
EIF4E2,UBC,0.562912
EIF4E2,KRT19,0.224
EIF4E2,FKBP1A,0.24780100000000002
RIPK1,BIRC2,0.967
RIPK1,EIF4EBP1,0.213
RIPK1,UBC,0.999
ABCC9,COQ2,0.20438499999999998
ABCC9,UBC,0.36
CCND2,CDKN1A,0.998
CCND2,RBL2,0.45
CCND2,UBC,0.829
CCND2,UBE2C,0.298
CCND2,CDK5,0.985
RBL2,CDKN1A,0.238
RBL2,CCND2,0.45
RBL2,SMARCB1,0.20822399999999996
RBL2,HDAC6,0.24
RBL2,UBC,0.858
RBL2,SUV39H1,0.601
RBL2,CDK5,0.325
SMAD2,BMPR1A,0.248
SMAD2,BMP4,0.428
SMAD2,GFER,0.158
SMAD2,APC,0.167
SMAD2,MECOM,0.566
SMAD2,CYP11A1,0.192
SMAD2,TP53,0.987
SMAD2,YAP1,0.244
SMAD2,INSR,0.576
SMAD2,FOXO3,0.573
SMAD2,UBC,0.999
SMAD2,HRH1,0.353
SMAD2,CAMK2A,0.867
ZNF423,ACTC1,0.15176800000000001
ZNF423,MELK,0.18212
ZNF423,PARP1,0.805
EEF2K,CDKN1A,0.551
EEF2K,UBC,0.961
EEF2K,ACTR2,0.388
PLD2,CHKA,0.378
PLD2,SPG7,0.298
PLD2,UBC,0.918
PLD2,ERCC6,0.169
SMARCB1,TBP,0.22766999999999998
SMARCB1,RBL2,0.20822399999999996
SMARCB1,TP53,0.576
SMARCB1,ACTC1,0.345
SMARCB1,UBC,0.893
SMARCB1,CHD4,0.339
SMARCB1,SUV39H1,0.157
SMARCB1,ACTR2,0.306
SMARCB1,ACTL6A,0.9605319999999999
SMARCB1,CDK5,0.343197
STAT3,CDKN1A,0.937
STAT3,TRIM28,0.569
STAT3,HNF1A,0.576
STAT3,EPHA5,0.6514340000000001
STAT3,ADRB2,0.16
STAT3,PGR,0.805
STAT3,HIF1A,0.808
STAT3,UBC,0.997
STAT3,SYK,0.963
STAT3,EPHA6,0.213312
STAT3,CD44,0.567
MECOM,SMAD2,0.566
MECOM,ACTC1,0.15176800000000001
MECOM,MELK,0.18212
MECOM,SUV39H1,0.825724
SCAP,UBC,0.647
SCAP,SREBF1,0.576
CHKA,PLD2,0.378
CHKA,PLD1,0.378
CHKA,UBC,0.448
MAD1L1,ACTC1,0.252
MAD1L1,PKN3,0.228
MAD1L1,TUBA1A,0.597
MAD1L1,TSC22D3,0.341
MAD1L1,FOXO3,0.164
MAD1L1,TUBB4B,0.304
MAD1L1,PKN1,0.228
MAD1L1,UBC,0.797
MAD1L1,KIF14,0.232
MAD1L1,ACTR2,0.252
MAD1L1,ACTL6A,0.624502
SLIT1,PRPF6,0.167
SLIT1,PRPF8,0.244
PRPF6,SLIT1,0.167
PRPF6,PRPF8,0.999115
PRPF6,CD2BP2,0.993
PRPF6,SIRT7,0.313
PRPF6,UBC,0.859
PDE6H,PDE6A,0.2839
PDE6H,AGTR1,0.612
PDE6H,PDE6C,0.2839
PDE6H,PDE6B,0.2839
CYP11A1,FDFT1,0.289647
CYP11A1,SMAD2,0.192
SPG7,PLD2,0.298
SPG7,HMGCR,0.347
SPG7,PLD1,0.298
SPG7,PLSCR1,0.423
TP53,TBP,0.992
TP53,MSH6,0.57
TP53,EGR1,0.963
TP53,CDKN1A,0.999
TP53,TRIM28,0.875
TP53,APC,0.364
TP53,EIF4E2,0.175
TP53,SMAD2,0.987
TP53,SMARCB1,0.576
TP53,TSC22D3,0.566
TP53,CDC25C,0.576
TP53,SIRT7,0.313
TP53,HIF1A,0.963
TP53,FOXO3,0.857
TP53,TUBB4B,0.397
TP53,UBC,0.999
TP53,SREBF1,0.576
TP53,ERCC6,0.913
TP53,PARP1,0.983
TP53,ACTL6A,0.576
TP53,CD44,0.576
TP53,EWSR1,0.576
TP53,CDK5,0.807
SULT1C4,SLC12A3,0.257
AGTR1,HTR2B,0.576
AGTR1,PDE6H,0.612
EPHA5,STAT3,0.6514340000000001
EPHA5,PKN3,0.17741500000000002
EPHA5,PKN1,0.17741500000000002
EPHA5,UBC,0.603
EPHA5,PARP1,0.264
EPHA5,CAMK2A,0.183
EPHA5,HSF1,0.18930999999999998
PDCD4,UBC,0.981
YAP1,PAPOLA,0.414
YAP1,PDE6A,0.200773
YAP1,SMAD2,0.244
YAP1,USP24,0.228088
YAP1,PRPF8,0.18576600000000001
YAP1,ALAS1,0.157
YAP1,NFE2,0.567
YAP1,SULT1A1,0.644
YAP1,NF2,0.667
YAP1,UBC,0.984
YAP1,UBE2C,0.907
YAP1,TEAD1,0.997
YAP1,PDE6C,0.200773
YAP1,ACTR2,0.328
YAP1,EWSR1,0.248
YAP1,PDE6B,0.200773
PDE6D,UBC,0.483
FZD1,UBC,0.495
HMGCR,SIRT4,0.23
HMGCR,FDFT1,0.2728
HMGCR,TBP,0.498
HMGCR,SPG7,0.347
HMGCR,HMGCS1,0.5921960000000001
HMGCR,SIRT7,0.23
HMGCR,SIRT6,0.23
HMGCR,UBC,0.999
KIT,UBC,0.964
