Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_PBMC	GSE34151_GPL10558_MTB_control_blood_dendritic_cells	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE132283_MTB_control_2h_blood_macrophage	GSE132283_MTB_control_48h_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_blood_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	GSE148731_MTB_control_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_blood_THP1	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_4control_48h_HEPG2_HepG2	GSE256184_MTB_control_0h_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
antigen processing and presentation of peptide antigen via MHC class II	1.550275543081117	0	0.5711642821811606	1.3297463733139965	0.6816728715055714	0.3686393571188631	0.2758124549299161	0.35166480291649355	0.2522655655748323	0	0	0	0.841427367601255	1.833909912984111	0	1.069812313380346	0	1.6350837043486743	0	0.3101960822849473	0.792795623168136	0	0	0.6241632478956967	0.2900570185698697	1.1268287689267429	1.092302553611555	0	1.385823839129417	0.817720238806868
cytoplasmic translation	0.4154963690342778	1.722921816840687	0.7339410720998321	0.9740301794574756	0.76260734523434	0.5456300576469661	0	1.6044537687435791	0.09672997049423528	0	0	0.07943893338296001	1.4043898350775192	1.9855077606149816	0	0	0	0.0780574382147653	0	0.17870821588442695	0.16614829316600818	0.4400629153987184	0.11486900995745516	0.8671101547118842	0.11154229007218423	1.6922194446042778	0.06279379530695027	0	1.4646106721432293	0.844040503769711
microtubule depolymerization	0	0	0.7779962147562676	0.626214790531395	0	0.6660394193031047	0.9241485730776984	1.303378411689763	1.4153840698639406	2.2942620371238065	0	0	1.9897005900634863	1.785295650051094	0	0.5780576522565668	1.0898486484181704	1.2290658047963547	0	0.5678555727048927	0	1.202879652720275	1.571249333453378	0.5962500234204927	0.5332367246420624	0.7898440608555215	1.3910149135269916	0	0.8015276602072186	0.8216786384147652
positive regulation of DNA-directed DNA polymerase activity	0	0	0.5996298284514189	0	0	0	0	0.6993757513310718	1.5099992329156562	2.397704633499902	0	1.3343835688677297	1.9157798726597255	1.5069903648137104	0	0	0	0	0	0.6241000024874399	0	0.764739567558895	1.4066727961875043	1.140836586622168	0.586719050941235	1.1710196005790383	0.6511646324516186	0	1.185622408336108	0.8949089843363194
proton motive force-driven ATP synthesis	1.835374749913427	2.2808426605655576	1.3699315696918992	1.15605663219937	0.8802830741094673	0.4916563378561348	0	0.6776646976153063	0.33944676510963495	0	0	0	0.41515061890975896	0.33836324902942805	0	2.076736613985665	0	0	0	0	0	0	0	0.22391442028302624	0	1.947933688588392	0	0	1.5401110131945557	0.8949089843363195
proton motive force-driven mitochondrial ATP synthesis	1.9828741752611612	2.4322397371359155	1.4020173065618144	1.2854485545271217	0.9932864854342328	0.5662412208343459	0	0.5414967177489515	0.3934410031743918	0	0	0	0.4797583678455421	0.3922005513170419	0	2.226758638520198	0	0	0	0	0	0	0	0	0	1.903350506324348	0	0	1.5401110131945557	0.8949089843363195
regulation of mitotic cell cycle spindle assembly checkpoint	0	2.091555750821507	0	0	0.7499560560154066	1.056440420404448	0	0.7345231500401714	0.2812223076223653	2.0223968057072543	0.5753209449665281	0.452208870084934	1.7580463454511743	0.9743470323421164	0	0	0.7136215297580819	0	0	0.34536938118654753	0	0	0.8924881843947002	0.6881633555946333	0.6174956172401919	1.0699661575619972	0	0	0.9143828556195596	0.8522845352826146
