Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray_0	aggregated_microarray_0-6	aggregated_microarray_0-65	aggregated_microarray_0-7	aggregated_microarray_0-75	aggregated_microarray_0-8	aggregated_microarray_0-85	aggregated_microarray_0-9	aggregated_microarray_0-95	aggregated_RNAseq_0	aggregated_RNAseq_0-6	aggregated_RNAseq_0-65	aggregated_RNAseq_0-7	aggregated_RNAseq_0-75	aggregated_RNAseq_0-8	aggregated_RNAseq_0-85	aggregated_RNAseq_0-9	aggregated_RNAseq_0-95
'de novo' AMP biosynthetic process	0	0	1.7831759030266243	1.1077764285415526	0	0	0	0.6432475781930815	0	1.1470839542766242	0	0	0	0	1.7942845449436966	0	0	0	0	1.0218355644512205	0	0	0	0.9693242784244512	1.0640412828899748	0.7961179937357965	0	0	1.5487874542369806	1.929119115720288	2.057771140792019	2.2076351216131043	2.386286267109871	2.606396575011453	2.490049328651512	2.2076351216131043	0	0.9017092771456214	0.49411560390627746	0	0	0	0	0	0	0
'de novo' post-translational protein folding	0	0	0.3158666197616161	0	0	0	0	0.3737557833944832	0	0	0	0	0	0	0	0.6404502158695888	0	0	0	0	0	0	0	0.5917502561594178	0.6601601851597968	0.472709003696914	0	0	1.046422090829353	0.5892144230328191	0.663311451678022	0.7573635561401589	0.8801335576704923	1.0462234974650328	1.282291595812713	1.645602390663344	2.3107180332838873	0.9017092771456214	0	0	0	0	0	0	0	0
'de novo' protein folding	1.2804363350649346	0	0.6254175427322038	0	0	0.5310189257756058	0	0.5075653511396151	0	0	0	0	0	0	0	0.8445974315311187	0	0	0	0	0	0	0	0.4214196091263238	0.6822658871911123	1.1135265114290884	0	0	1.022182525552075	0.7817676649690749	0.8723486430699292	0.9847622077001658	1.127585411819644	0.7817676649690749	0.9847622077001658	1.3147981595240987	1.9534148512328875	0.9017092771456215	0	0	0	0	0	0	0	0
10-formyltetrahydrofolate metabolic process	0	0	0	1.1077764285415526	1.760730247595409	0	0	0.6432475781930815	0	0	0	1.2519681711576007	0	0	0.8634564778236554	0	0	1.2370826530561772	0	1.0218355644512205	0.9659864532428112	1.2108229702265068	0	0.9693242784244512	1.4048475674843326	1.3337306171006027	0	0	0.8078639373356092	0.965748857333864	0	0	0	0	0	0	0	0.9017092771456214	0.901688378573506	1.000487362054428	0.6410429899828236	0.7505510584806461	0	0	0	0
2'-deoxyribonucleotide biosynthetic process	0	0	1.2520144939002105	0.6925528975784789	1.2318951074165574	1.252779286401628	0	1.2113306178923513	0.9413939723163212	2.078222170164602	0	1.342665110659843	0	1.1036182039370388	1.262002543074929	0.6404502158695888	0	0.7912798843811464	0	0.6293826941626878	0	0	0	0	0.9257412203512428	1.4265319676964254	0	0	1.324595685517412	1.3847466302627445	1.5041672000384845	1.6456023906633437	1.4420665353966795	1.0462234974650328	1.282291595812713	1.645602390663344	0	0.9017092771456214	1.1547691511354634	0.8671327547429037	0.7027713208693256	0.8195897690395979	0.979029223377322	1.208074133157016	0	0
2'-deoxyribonucleotide metabolic process	0	1.6598985431835411	0.6047490536899409	0.24722627271057543	0.5013901252327293	0.512934500712055	0.38713243244766943	1.0631540192648374	1.1661246354990815	1.367403757090538	0.37720046761297427	1.0091451050673048	0	0.6286197042827341	1.1633948163416794	0.4422063856832234	0	0.5553312718251602	0	0.2220915930479543	0.20656224627220168	0	1.415109891570926	0	1.0043629469953808	1.498413444930789	0.6566229803969915	0	0.9379872754893248	1.0462234974650328	1.0085189396298329	1.1300834715936665	1.0972091832976083	0.757363556140159	0.956496899276416	1.2822915958127132	1.2822915958127132	0.8748943141728117	1.0404115714424695	0.9428228721133558	0.8927030442815339	1.0282729305087104	1.0987806275004797	1.060093353177993	0.3723674345405587	0
2-oxoglutarate metabolic process	0	0	0	0.6925528975784789	0	0	0	0.9819614179465564	0.5196605454864307	0.722099523235397	0	0	0	1.1036182039370388	1.262002543074929	1.120585276991394	0	0.7912798843811464	0	0.6293826941626878	0.5893828311723013	0	1.415109891570926	0.5917502561594178	0.6601601851597968	1.4265319676964254	0.6566229803969915	0	0.8803133594903332	0.5892144230328191	0.663311451678022	0	0	0	0	0	0	0.8197077651338385	1.1547691511354634	1.2664848666874549	1.208074133157016	0.8195897690395979	0.979029223377322	1.208074133157016	1.5647603087901532	0
3'-UTR-mediated mRNA destabilization	0	0	0.5183997394637009	0.40988338819001024	0	0.8118632920583256	0.8846156890526758	0	0.3010748429703977	0.429120017961873	0	0	0	0.3689252785803176	0.3001063042602777	0	0	0.47495851740296097	0	0	0	0	0.6741459980036913	0.6569681711570389	0.5674177107868442	0.5270793252133902	1.009175186115654	0	0.8692299330071771	1.3282427270485688	1.0180484125304083	1.1401800580138912	0.965748857333864	1.1401800580138912	0.8352824982986056	0	0	0.9017092771456215	0.6054182568709856	0.6810804773585031	0.776807217341368	0.9015838992842188	1.0698768393773268	1.0698768393773268	1.0698768393773268	1.0698768393773268
3'-UTR-mediated mRNA stabilization	0	0	0.9039968581696044	0	0	0.496002312167431	0	0.24349166364487643	0.6515315266760908	0	0	0.5459190326409753	0	0	0.3414750966238725	0.7945980639914944	0	0	0	0.41944183769683846	0	0.9451221102369172	0.4039961161430178	0.3928231605220499	0.9768116538263156	0.31032404142874503	0	0	1.1634415230285424	1.251273717929881	1.1234448497270713	1.251273717929881	1.0683263309302118	1.251273717929881	0.9297082256809216	1.251273717929881	0	0.9017092771456215	0.18272045033689463	0.20847820141204673	0.2425638568477179	0.28986322286549643	0.35962240549136376	0.4721590051252324	0	0
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0	0	0.9394499216385916	0.7658292203482878	0	0	0	0.7793436167448666	0.3010748429703977	0	0	0.88386346969106655	0	0.9717376550268564	0.8191588442727653	1.217600251498295	0.7575444058100249	1.4310760523793256	0	0.3694088692067765	1.3285191237625609	0	0.3556464019531772	0	0.5674177107868442	1.2780240519591393	1.009175186115654	0	1.2931751690411375	0.91824709689601	1.0180484125304083	0.4523437005086364	0	0	0	0	0	0.8561604162127228	1.069991858898929	0.9519981973333264	1.0698768393773268	1.2184799388753196	1.0698768393773268	1.0698768393773268	0.6053394536394354	0
5S class rRNA transcription by RNA polymerase III	0	3.129062460522026	0	0	0	0	0	0	0.7443778490183032	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8589305794297992	1.3889669972939358	1.246662540457231	0	0	0	1.193515470973852	0.8352824982986056	0.9297082256809216	0	0	0	0	0	0	0.9017092771456215	0	0	0	0	0	0	0	0
7-methylguanosine RNA capping	0	3.129062460522026	0.8552811280841871	0.9663192707188856	0	0	0.8036317992640066	0.5462100346043883	0	0	0	0	0	0	0	0	0	1.0873914728060063	0	1.825677504791642	0	0	0	0.8385544928145762	1.246662540457231	0	1.493701410376611	0	0.965938925340152	0.8352824982986056	0.9297082256809216	1.0462234974650328	1.1933038325093133	0	0	0	0	0.9017092771456215	0	0	0	0	0	0	0	0
7-methylguanosine mRNA capping	0	3.129062460522026	0.8552811280841871	0.9663192707188856	0	0	0.8036317992640066	0.5462100346043883	0	0	0	0	0	0	0	0	0	1.0873914728060063	0	1.825677504791642	0	0	0	0.8385544928145762	1.246662540457231	0	1.493701410376611	0	0.965938925340152	0.8352824982986056	0.9297082256809216	1.0462234974650328	1.1933038325093133	0	0	0	0	0.9017092771456215	0	0	0	0	0	0	0	0
