Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE132283_MTB_control_2h_blood_macrophage	GSE132283_MTB_control_48h_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_blood_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_4control_48h_HEPG2_HepG2	GSE256184_MTB_control_0h_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
'de novo' pyrimidine nucleobase biosynthetic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0
(R)-carnitine transmembrane transport	0	0	1.1561461018058292	0	0	0	0	1.3033784116897635	1.6178750194228504	0	0	0	0	0	0	0	0	2.071865853392054	0	0	1.7471224399439438	0	0	0	1.751324620691086	1.5240273009077694	1.8623445302560315	0	1.5401110131945557	0.8949089843363195
(R)-carnitine transport	0	0	1.1561461018058292	0	0	0	0	1.3033784116897635	1.6178750194228504	0	0	0	0	0	0	0	0	2.071865853392054	0	0	1.7471224399439438	0	0	0	1.751324620691086	1.5240273009077694	1.8623445302560315	0	1.5401110131945557	0.8949089843363195
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	0	0	0.8487029104969763	1.5405754623004606	0	1.6047955807623675	1.335307660927698	1.5596209207439968	2.2813850799244277	2.246502005352261	0	1.7018081715385234	2.091555750821507	1.885415765553913	0	0	0	2.352645663567436	0	1.4419494960109152	0	1.6562807357719145	1.406672796187505	0.918831588586954	0	1.1710196005790383	0	0	1.1856224083361082	0.8949089843363195
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	0	0	0.8487029104969763	1.5405754623004606	0	1.6047955807623675	1.335307660927698	1.5596209207439968	2.2813850799244277	2.246502005352261	0	1.7018081715385234	2.091555750821507	1.885415765553913	0	0	0	2.352645663567436	0	1.4419494960109152	0	1.6562807357719145	1.406672796187505	0.918831588586954	0	1.1710196005790383	0	0	1.1856224083361082	0.8949089843363195
10-formyltetrahydrofolate biosynthetic process	0	0	0	1.9207424413730747	0	0	0	1.3033784116897635	0	0	0	2.088905810152462	0	1.614808340999161	0	0	0	0	0	0	0	2.041638965218701	0	1.8681847951886632	0	2.1813855145971632	0	0	0.9588547228312186	0.8949089843363195
10-formyltetrahydrofolate catabolic process	0	0	0	0	2.2433705218443216	0	0	0	0	0	0	0	0	0	0	0	0	1.685377993657717	0	1.4419494960109152	1.3766523266834618	0	0	0.918831588586954	1.3805837667353649	0	0	0	0.6865676846785199	0.8949089843363195
10-formyltetrahydrofolate metabolic process	0	0	0	1.1001544994106287	1.7517760959952018	0	0	0.6378748088019338	0	0	0	1.243911059602252	0	0.8568381045368817	0	0	0	1.2290658047963547	0	1.0145253374088532	0.9589020503837546	1.202879652720275	0	1.3964313205151315	0.9622258405453792	1.325469660509503	0	0	0.8015276602072186	0.8949089843363195
2'-deoxyribonucleotide biosynthetic process	0	0	1.2439572586205945	0.6868710809840828	1.2238925296268055	1.2447200098239055	0	1.2033858480839053	0.934415139208136	2.0690133589007536	0	1.3343835688677297	1.0960104044751815	1.2539188558249104	0	0.635095508416387	0	0.7850319123347238	0	0.6241000024874399	0	0	0	0.918831588586954	0	1.4180721092736888	0	0	1.3163561083134994	0.8949089843363194
2'-deoxyribonucleotide metabolic process	0	1.6510629839052808	0.5996298284514189	0.2449334833449551	0.4970038990092249	0.5084626957138605	0.3836406769046606	1.055688695447776	1.158314105039921	1.3590668600343163	0.3737903291462456	1.0018845291876426	0.6233420099878572	1.1555927166423712	0	0.4382729810519118	0	0.5505531069510075	0	0.22002410099097447	0.2046351952596238	0	1.4066727961875047	0.9971213317227324	0	1.4898205078454567	0.6511646324516185	0	0.931023369504186	0.8682205191678052
