Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE132283_MTB_control_2h_blood_macrophage	GSE132283_MTB_control_48h_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_blood_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_4control_48h_HEPG2_HepG2	GSE256184_MTB_control_0h_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
definitive hemopoiesis	0	0	0	2.5977511041621124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
dehydroascorbic acid transport	0	0	0.6655149405380599	1.2854485545271217	0	0	0	0	1.0230032145194168	0	0	0	0	1.020446018271141	0	1.2096376462519098	0	1.42260726564969	0	0	1.1327094722870397	0	1.1604559465504891	0.7250490065614568	1.136336983666837	0	0	0	0.9588547228312186	0.7046477269402593
delamination	0	0	0	0	0	0	0	0.9748104709139136	0	0	0	0	1.4407257221797447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6357827085586837
deltoid tuberosity development	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
demethylation	2.5575485657407735	0	0.5451822657846138	0	0	1.1568847211630893	0	0	0	0	0	1.603914361802088	0	0	0	0	0	0.7180523497615653	0	0.5678555727048927	1.5401690542302988	0	0	1.2386196640832814	0.5332367246420624	0.42442650950286354	0	0	1.3408335410904202	0.8949089843363195
dendrite arborization	0	0	1.7741982677948471	2.5977511041621124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
dendrite development	0	0	0.6655149405380599	0.7597205350176189	0.7891532196400894	1.1045332982835714	0.3258962221883553	0.4143078098963026	0.8149926995230447	0	0	0	0	0.5718233331710416	0	0.3730336264639691	0	0.864808180373771	0	1.1931949767463008	0.9116007879244702	0.4572384076649385	0.6685774959566962	0.5625545225339488	0.342554084099478	0	0.38326679988365353	0	1.1326578076416165	0.7046477269402593
dendrite extension	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0
dendrite morphogenesis	0	0	0.7466548829215022	1.4019206324548217	0	0	0	0.4696956025625056	0.6461056021076166	0	0	0	0	0	0	0.7883322691807402	0	0.961226449678732	0	1.3064129142913086	0	0	0	0.8112145169197332	0.7314057050772139	0	0.8071146029959516	0	1.2434338591255123	0.7891367848831007
dendritic cell antigen processing and presentation	0	0	0.6655149405380599	1.2854485545271217	0	0	0	0.7731603989669533	1.0230032145194168	0	0	0	1.1920568636954505	1.614808340999161	0	0	0	2.071865853392054	0	0	0	0	0	0	0	0.9457722949790932	0	0	0.9588547228312186	0.7046477269402593
dendritic cell chemotaxis	1.3414107358817755	0	0.8487029104969763	0.9592334652900322	1.5820711072435558	1.346045408989779	1.0946759035060667	0.7731603989669533	1.256738894853283	0.9957181137846304	0	0.6218312817404822	1.1920568636954505	0.3922005513170419	0.7661362051762634	0	0	1.685377993657717	0	0.8800410804425091	0.4484648859501228	0	0.4629583201571412	0.2604667640998821	0	1.3610839160725237	1.4851166808931504	0	1.461350306562016	0.83414399040472
dendritic cell differentiation	0	0	0.31297292776681246	0.6868710809840828	0	1.2447200098239055	0.559956601212421	0.6993757513310718	0.5151393027875841	0	0	0	0.6233420099878572	0.93198566055442	0	0.635095508416387	0	1.685377993657717	0	0.6241000024874399	0.5843677872628787	0	0.6024547328410493	0.3443815344581034	0	0.4685393108577738	0.6511646324516186	0	1.4338035583321425	0.8133095999513574
dendritic cell migration	1.3414107358817755	0	0.8487029104969763	0.9592334652900322	1.5820711072435558	1.346045408989779	1.0946759035060667	0.7731603989669533	1.256738894853283	0.9957181137846304	0	0.6218312817404822	1.1920568636954505	0.3922005513170419	0.7661362051762634	0	0	1.685377993657717	0	0.8800410804425091	0.4484648859501228	0	0.4629583201571412	0.2604667640998821	0	1.3610839160725237	1.4851166808931504	0	1.461350306562016	0.83414399040472
dendritic spine development	0	0	0.6655149405380599	0.7597205350176189	0	0	0.6224179563691128	0.4143078098963026	0.5735401235130946	0	0	0	0	0.5718233331710416	0	0	0	1.42260726564969	0	1.1931949767463008	1.1327094722870397	0	0.6685774959566962	1.0065918718143545	0.6515076317687156	0	0	0	1.1326578076416165	0.802781774307629
dendritic spine maintenance	0	0	0	0	0	0	0	1.3033784116897635	0	0	0	2.088905810152462	0	0	0	0	0	0	0	0	1.7471224399439438	0	0	0	1.751324620691086	1.5240273009077694	0	0	1.5401110131945557	0.8949089843363195
dendritic spine morphogenesis	0	0	0.6655149405380599	1.2854485545271217	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42260726564969	0	1.1931949767463008	0	0	0	1.2386196640832816	1.136336983666837	0	0	0	1.2850117560590957	0.7046477269402593
dendritic spine organization	0	0	0.46069137057086096	0.9592334652900322	0	0	0	0.5414967177489515	0	0	0	1.0938282544251363	0	0	0	0	0	1.0798397155782946	0	0.8800410804425091	0.829020716241828	0	0	0.918831588586954	1.3805837667353649	0.6761066507108594	0	0	1.3765963187219914	0.7707510692263532
dense core granule cytoskeletal transport	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
dense core granule localization	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
dense core granule maturation	0	0	0	1.5405754623004606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.918831588586954	1.3805837667353649	0	0	0	1.1856224083361082	0.8949089843363195
dense core granule transport	0	0	0	0	0	0	0	1.9407256635203816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
dentinogenesis	0	0	1.1561461018058292	0	0	0	0	0	1.6178750194228504	0	0	0	0	0	0	0	0	0	0	0	0	2.041638965218701	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
deoxyadenosine catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0
deoxyadenosine metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0
deoxyinosine catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7471224399439438	0	0	0	0	0	0	0	1.5401110131945557	0.48979700374826735
deoxyinosine metabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7471224399439438	0	0	0	0	0	0	0	1.5401110131945557	0.48979700374826735
deoxynucleotide transport	0	0	0	0	0	0	0	0	2.2813850799244277	0	0	0	0	0	0	2.509369721333792	0	0	0	0	0	0	2.450866973901892	1.8681847951886632	0	0	0	0	0	0.8949089843363195
deoxyribonucleoside biosynthetic process	0	0	1.4020173065618144	0	0	0	1.335307660927698	1.5596209207439968	1.256738894853283	2.246502005352261	0	1.7018081715385234	1.4407257221797447	1.2539188558249104	0	0	0	0	0	1.4419494960109152	0	0	0	1.49064918215423	0	0	0	0	1.1856224083361082	0.8949089843363195
deoxyribonucleoside catabolic process	0	0	0	0	0	0	0	0.7731603989669533	0	0	0	0	0	0	0	1.835374749913427	0	0	0	0	1.1327094722870397	0	0	0	0	0.9457722949790932	1.2334463072563284	0	1.2850117560590957	0.7046477269402593
deoxyribonucleoside diphosphate biosynthetic process	0	0	0.8487029104969763	0	0	1.6047955807623675	0	0.9748104709139136	0	1.58501475515684	0	1.7018081715385234	0	0	0	1.459609742178747	0	1.685377993657717	0	1.4419494960109152	0	0	0	1.49064918215423	0	1.1710196005790383	0	0	1.1856224083361082	0.8949089843363195
deoxyribonucleoside diphosphate catabolic process	0	0	0	0	0	0	2.370958921644102	0	2.2813850799244277	0	0	0	0	0	0	0	0	0	0	0	0	0	2.450866973901892	0	0	0	0	0	0	0.8949089843363195
deoxyribonucleoside diphosphate metabolic process	0	0	0.6655149405380599	0	0	1.346045408989779	1.0946759035060667	0.7731603989669533	1.0230032145194168	1.3273391288594816	0	1.4382841962968689	0	0	0	1.2096376462519098	0	1.42260726564969	0	1.1931949767463008	0	0	1.1604559465504891	1.2386196640832816	0	0.9457722949790932	0	0	0.9588547228312186	0.8949089843363195
deoxyribonucleoside metabolic process	0	0	0.9324795976780272	0	0	0	0.6224179563691128	1.0654512812370325	0.5735401235130946	1.3273391288594816	0	0.8771468300346058	0.6911966560276837	0.5718233331710416	0	1.2096376462519098	0	0	0	0.692016660391663	0.6489548374755101	0	0	0.7250490065614568	0	0.9457722949790932	0.7212571130655779	0	1.2850117560590957	0.802781774307629
deoxyribonucleoside monophosphate biosynthetic process	0	0	1.7741982677948471	1.5405754623004606	0	0	0	1.5596209207439968	0	2.246502005352261	0	1.7018081715385234	1.4407257221797447	1.885415765553913	0	0	0	0	0	0	0	0	0	0	0	1.7912930335444877	0	0	1.5401110131945557	0.8949089843363195
deoxyribonucleoside monophosphate catabolic process	0	0	0.6655149405380599	0	0	0	0	0	0	0	0	1.4382841962968689	0	1.020446018271141	0	1.2096376462519098	0	0	0	0	1.1327094722870397	0	0	0.7250490065614568	0	0.9457722949790932	1.2334463072563284	0	0.9588547228312186	0.7046477269402593
deoxyribonucleoside monophosphate metabolic process	0	0	1.1561461018058292	0.7597205350176189	0	0	0	0.7731603989669533	0	1.3273391288594816	0	1.4382841962968689	0.6911966560276837	1.355527853561641	0	0.7039051272965559	0	0	0	0	0.6489548374755101	0	0	0.3855125137021933	0	1.2698988596583944	0.7212571130655779	0	1.1326578076416165	0.802781774307629
deoxyribonucleoside triphosphate catabolic process	0	0	0	0	0	0	0	0	1.6178750194228504	0	0	0	0	0	0	1.835374749913427	0	2.071865853392054	0	0	0	0	1.7791586813730886	0	0	1.5240273009077694	1.8623445302560315	0	0	0.8949089843363195
deoxyribonucleoside triphosphate metabolic process	0	0	0	0	0	0	0	0	1.6178750194228504	0	0	0	0	0	0	1.835374749913427	0	2.071865853392054	0	0	0	0	1.7791586813730886	0	0	1.5240273009077694	1.8623445302560315	0	0	0.8949089843363195
deoxyribonucleotide biosynthetic process	0	0	1.2439572586205945	0.6868710809840828	1.2238925296268055	1.2447200098239055	0	1.2033858480839053	0.934415139208136	2.0690133589007536	0	1.3343835688677297	1.0960104044751815	1.2539188558249104	0	0.635095508416387	0	0.7850319123347238	0	0.6241000024874399	0	0	0	0.918831588586954	0	1.4180721092736888	0	0	1.3163561083134994	0.8949089843363194
deoxyribonucleotide catabolic process	0	2.091555750821507	0.16762372267419373	0	0	0	0.5896080757315618	1.0182535211020722	1.3057092910149133	0.7519920204987538	0.5753209449665281	0.8350651103577835	0.3449148154163138	1.1495513377917084	0	0.35197715522762557	0	0.4448136123366388	0	0	0.32170408184023264	0	1.833311792912693	1.0794348325877772	0	1.5762568238068246	0.9562897927755564	0	0.7212478652529647	0.8522845352826146
deoxyribonucleotide metabolic process	0	1.6510629839052808	0.5996298284514189	0.2449334833449551	0.4970038990092249	0.5084626957138605	0.3836406769046606	1.055688695447776	1.158314105039921	1.3590668600343163	0.3737903291462456	1.0018845291876426	0.6233420099878572	1.1555927166423712	0	0.4382729810519118	0	0.5505531069510075	0	0.22002410099097447	0.2046351952596238	0	1.4066727961875047	0.9971213317227324	0	1.4898205078454567	0.6511646324516185	0	0.931023369504186	0.8682205191678052
deoxyribose phosphate biosynthetic process	0	0	1.2439572586205945	0.6868710809840828	1.2238925296268055	1.2447200098239055	0	1.2033858480839053	0.934415139208136	2.0690133589007536	0	1.3343835688677297	1.0960104044751815	1.2539188558249104	0	0.635095508416387	0	0.7850319123347238	0	0.6241000024874399	0	0	0	0.918831588586954	0	1.4180721092736888	0	0	1.3163561083134994	0.8949089843363194
deoxyribose phosphate catabolic process	0	2.091555750821507	0.16762372267419373	0	0	0	0.5896080757315618	1.0182535211020722	1.3057092910149133	0.7519920204987538	0.5753209449665281	0.8350651103577835	0.3449148154163138	1.1495513377917084	0	0.35197715522762557	0	0.4448136123366388	0	0	0.32170408184023264	0	1.833311792912693	1.0794348325877772	0	1.5762568238068246	0.9562897927755564	0	0.7212478652529647	0.8522845352826146
deoxyribose phosphate metabolic process	0	1.6510629839052808	0.5996298284514189	0.2449334833449551	0.4970038990092249	0.5084626957138605	0.3836406769046606	1.055688695447776	1.158314105039921	1.3590668600343163	0.3737903291462456	1.0018845291876426	0.6233420099878572	1.1555927166423712	0	0.4382729810519118	0	0.5505531069510075	0	0.22002410099097447	0.2046351952596238	0	1.4066727961875047	0.9971213317227324	0	1.4898205078454567	0.6511646324516185	0	0.931023369504186	0.8682205191678052
dephosphorylation	0.3828321928013029	0.5874504985738442	0.5723478969612489	0.6313033599655516	0.708637900017672	0.44521069255259454	0.5128089295338837	0.6686192910485657	0.5496350228959207	0.12830143274161282	0.09462023195862884	0.3571413629578154	0.6635050059033417	0.3887740020751745	0.09270926216638156	0.2766382304748433	0	0.5459520903130007	0	0.6643002896501474	0.4446027095234748	0.34077036085392937	0.7265050683580053	0.7864142395048035	0.49256304077394825	0.7958717044424746	0.49798276663784247	0.16643347494409674	1.1894201636509676	0.8140793687908404
depurination	0	3.5239758267270056	1.1561461018058292	0	1.964237106093554	1.346045408989779	1.0946759035060667	1.3033784116897635	1.6178750194228504	1.9673164622415584	0	0	1.1920568636954505	1.614808340999161	0	1.2096376462519098	0	0	0	1.1931949767463008	0	0	1.7791586813730886	1.2386196640832816	0	1.5240273009077694	1.2334463072563284	0	1.2850117560590957	0.8949089843363195
depyrimidination	0	2.83342382726835	0.35064133763088534	0	0	0	0.6224179563691128	1.5008642741978808	1.6178750194228504	1.3273391288594816	1.0730283838360628	1.4382841962968689	0.6911966560276837	1.614808340999161	0	0	0	0	0	0	0	0	2.168875443025519	1.2386196640832816	0	1.903350506324348	1.2334463072563284	0	1.1326578076416165	0.8949089843363195
dermatan sulfate catabolic process	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2781352451196755	0	0	0	0	0	0	0	0	0	1.8681847951886632	0	2.1813855145971632	2.537348063808142	0	1.5401110131945557	0.8949089843363195
dermatan sulfate proteoglycan biosynthetic process	0	0	0	0	0	0	0	0.4696956025625056	1.4771243443196211	0	0	1.5590855962637276	0	0.6442193039079495	0	0	0	0	0	1.3064129142913086	0.7286241208146669	0	1.63486578002219	1.1113913654839498	1.8779334993602823	1.0472080017747405	0	0	0.3127855477082611	0.8949089843363195
dermatan sulfate proteoglycan metabolic process	0	0	0	0	0	0	0	0.4143078098963026	1.3584339097178115	0	0	1.4382841962968689	0	1.020446018271141	0	0	0	0	0	1.1931949767463008	0.6489548374755101	0	1.512366284295839	1.2386196640832816	1.751324620691086	1.2698988596583944	0.7212571130655779	0	0.531031579541147	0.8949089843363195
desensitization of G protein-coupled receptor signaling pathway	0	0	0.39837417067563335	0	0	0.8978301865660823	0	0.86309420781263	1.4771243443196211	0	0	0	1.6704048752971437	1.125965955124144	0	0.7883322691807402	0	0.961226449678732	0	0	0	0.9381270265321996	1.63486578002219	0.43749045707144263	0.7314057050772139	0	0	0	1.5401110131945557	0.8949089843363195
desmosome assembly	0	3.119594497166968	1.1561461018058292	0.9592334652900322	0	0	0	0	0.7383901380179234	0	0	1.0938282544251363	0.8790743484321163	0.7363075905765241	0	0.8940360842438495	0	1.685377993657717	0	0.8800410804425091	0.829020716241828	1.0552132445911224	0.8523343804105395	0	0.8320598525384845	1.5240273009077694	0.914393683659035	0	1.5401110131945557	0.7707510692263532
desmosome disassembly	0	0	1.7741982677948471	0	0	0	0	0	0	0	0	0	0	0	0	0	3.273872409156763	0	0	0	0	0	0	0	0	0	0	0	1.5401110131945557	0.8949089843363195
desmosome organization	0	2.83342382726835	1.1561461018058292	0.7597205350176189	0	0	0	0	0.5735401235130946	0	0	1.4382841962968689	0.6911966560276837	0.5718233331710416	0	0.7039051272965559	1.2743972887911217	1.42260726564969	0	1.1931949767463008	1.1327094722870397	0.8431608344266927	0.6685774959566962	0	0.6515076317687156	1.2698988596583944	0.7212571130655779	0	1.5401110131945557	0.802781774307629
detection of UV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8949089843363195
detection of abiotic stimulus	0.911328113264283	1.2768195795388873	0.5930721616467161	0.32032442062314487	0.6377539655785224	0.5027386264871476	0	0.3268424474939207	0.560865826212564	0.1701925058605207	0	0.37879114457147495	0.2877447992039491	0.5591800035745559	0.24438432326163584	0.2937067883437304	0	0.7029657440242011	0	0.28812841942008127	0.8455116522928304	0.3615087642896698	0.5355931974338995	0.7098554139767759	0.7465512375072733	0.6904113282733241	0.44494171182309106	0	1.3193691589784533	0.7864599604295535
detection of bacterial lipopeptide	0	0	0	0	0	0	1.335307660927698	0.9748104709139136	1.256738894853283	0	0	0	1.4407257221797447	0	0	0	0	0	0	0	0	0	1.406672796187505	0.918831588586954	0	1.1710196005790383	0	0	1.5401110131945557	0.8949089843363195
detection of bacterial lipoprotein	0	0	0	0	0	0	1.335307660927698	0.9748104709139136	1.256738894853283	0	0	0	1.4407257221797447	0	0	0	0	0	0	0	0	0	1.406672796187505	0.918831588586954	0	1.1710196005790383	0	0	1.5401110131945557	0.8949089843363195
detection of bacterium	0	2.2808426605655576	0.5803604284541481	0.46064437156530297	0	0	0.9751684941794506	0.4696956025625056	1.3159399591526908	0	0	0	1.0671435576892474	0.33836324902942805	0	0	0	0.5325826640781343	0	0	0.3876329811883956	0	0.4003671343788774	0.6340293390680144	0	0.5898823886087141	0.4349751239197275	0	0.9588547228312184	0.8949089843363195
detection of biotic stimulus	0	1.6173630958148142	0.5803604284541481	0.6654514206608579	0	0	0.6996637681282091	0.5764814574404463	1.1286543305952663	0.24786932495279737	0	0	0.9286130483881146	0.4966185272820183	0	0.6149272753484181	0	0.961226449678732	0	0.21228408368049873	0.1974219415228635	0	0.749985921373805	0.6340293390680144	0.1982938871863616	0.9457722949790932	0.9651015303591725	0	0.9046627368529228	0.7614752668840064
detection of calcium ion	0	0	0.620160867631283	0.49352937586345086	0	0.5264149082333146	0	1.2350649323182366	0.36449413996086105	0.5161330821390131	0	0.5788415493599177	1.126370578087439	0.9598337118329094	0	0.8380723759009046	0	1.3519720589176545	0	0	0.7757780602599154	0.5538213452455363	1.095605689544218	1.3018901494969557	0	0	0	0	1.2170993174552376	0.7806784822869195
detection of cell density	0	0	0.8487029104969763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.685377993657717	0	0	0	0	1.406672796187505	0.918831588586954	0	1.1710196005790383	0	0	1.1856224083361082	0.3335266412118745
detection of chemical stimulus	0.3383118225570114	0	0.317858633235981	0.7802585063351154	0.22359069326050549	0.34004734165230543	0.4933369784899885	0.709088583397905	0.590175889892717	0.22429613246044333	0	0.3758730186703204	0.6322465735399881	0.3801331586033131	0	0.3845144611742835	0	0.9731861770962542	0	0	0.4348574486397836	0.24193636128953275	0.6873139897858155	0.859076278527891	0.43668840679879434	0.4755771128793018	0.6603733503986348	0	0.8593651836564218	0.7623753504875205
detection of chemical stimulus involved in sensory perception	0.5635238813807502	0	0.15839059601260314	0.8293236929734703	0.3791404449890299	0.38817087535131184	0.559956601212421	0.2804829911813283	0.13415402270191867	0	0	0.42855290361551274	0	0	0	0	0	0.6121793962513066	0	0	0.44846488595012274	0.2088508413977487	0.15921781911188146	0.7924796555099106	0.3056989304717436	0.12117113448323616	0.5022427346018257	0	0.5310315795411468	0.7269872697209936
detection of chemical stimulus involved in sensory perception of bitter taste	0.6093877278172047	0	0.17265406154821367	0.8898682190308537	0.4118465276763155	0.421574907996861	0.6055886670920174	0.2052291017873928	0.14626712214617388	0	0	0.4650135716756787	0	0	0	0	0	0.4574353588545301	0	0	0.4863928718682778	0.2275289623462367	0.17355436713013184	0.7804355175424821	0.16855487300040656	0.13212564101343904	0.543997003676237	0	0.5747501698986285	0.7350348423593621
detection of chemical stimulus involved in sensory perception of sweet taste	0	0	0	0	0	0	0	1.3033784116897635	0	0	0	0	0	0	0	0	0	2.071865853392054	0	0	0	0	0	1.2386196640832816	1.751324620691086	0	0	0	0	0.48979700374826735
detection of chemical stimulus involved in sensory perception of taste	0.5780576522565668	0	0.16287697753398772	0.8486275629918452	0.389462714194721	0.3987153306782564	0.5744157203090012	0.2882846514005971	0.13796318804578386	0	0	0.44007187392585606	0	0	0	0	0	0.6277032907411	0	0	0.46045255551711134	0.21472914514358107	0.16372722471083218	0.8112145169197332	0.3141601926505049	0.12461559999802366	0.5154555471157961	0	0.5448751008650375	0.7219081051478096
detection of diacyl bacterial lipopeptide	0	0	0	0	0	0	1.7028015554173423	1.3033784116897635	1.6178750194228504	0	0	0	1.815359697178268	0	0	0	0	0	0	0	0	0	1.7791586813730886	1.2386196640832816	0	1.5240273009077694	0	0	1.5401110131945557	0.8949089843363195
detection of external biotic stimulus	0	1.888056318408456	0.6375760758481169	0.5995712456129787	0	0	0.8890476309758589	0.7419560884367977	1.372255024953794	0.3279754018835651	0	0	1.1518128259296314	0.6442193039079493	0	0.5530760545920422	0	0.961226449678732	0	0	0.2619369201645714	0	0.749985921373805	0.43749045707144263	0.26308264133076625	1.0472080017747405	1.013960425806271	0	0.9938105583529008	0.8605022713884125
detection of external stimulus	0.5364672637274167	1.3424775719683508	0.5711642821811606	0.34468797294119446	0.6816728715055714	0.3686393571188631	0	0.35166480291649355	0.4900485435651318	0	0	0.20777164940459597	0.30978481820064274	0.488543043278467	0.26325888223959465	0.3161756816487107	0	0.7501352818051134	0	0.3101960822849473	0.792795623168136	0.38873554963280454	0.5738810772163728	0.7573528506365965	0.6813887604103359	0.7369757707914456	0.4776906898687904	0	1.299964674912901	0.7775504311351104
detection of fungus	0	0	0	0	0	0	0	0	2.2813850799244277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1813855145971632	0	0	0	0.8949089843363195
detection of hypoxia	0	0	0	1.9207424413730747	0	0	0	1.3033784116897635	1.6178750194228504	0	0	0	1.815359697178268	0	0	0	0	2.071865853392054	0	0	0	0	1.7791586813730886	1.2386196640832816	2.421801283521651	1.5240273009077694	0	0	1.5401110131945557	0.8949089843363195
detection of light stimulus	0.8019678753813544	0	0.46069137057086096	0.5312791680194644	0.9932864854342328	0.5662412208343459	0	0.5414967177489515	0.2004893340429981	0	0	0.325562143717777	0.24667839437366432	0.3922005513170419	0	0	0	0	0	0.24700960545185952	0.9895392697971512	0.31054324530308897	0.23759530918814856	0.618382982346342	0.8320598525384845	0.522503916193985	0.2589104213539296	0	1.331715420191235	0.7707510692263532
detection of light stimulus involved in sensory perception	1.503605557136511	0	0	0	0	0	0	1.1169017997492547	0	0	0	0	0.567152596756976	0.4657746071283654	0	0	0	0	0	0.5678555727048927	1.2850663404952685	0.6990095090359213	0	0.8443533685032962	0.5332367246420624	0.42442650950286354	0.5929829342133912	0	1.2263829977623382	0.8216786384147652
detection of light stimulus involved in visual perception	1.503605557136511	0	0	0	0	0	0	1.1169017997492547	0	0	0	0	0.567152596756976	0.4657746071283654	0	0	0	0	0	0.5678555727048927	1.2850663404952685	0.6990095090359213	0	0.8443533685032962	0.5332367246420624	0.42442650950286354	0.5929829342133912	0	1.2263829977623382	0.8216786384147652
detection of lipopolysaccharide	0	0	1.4020173065618144	0	0	0	1.335307660927698	1.5596209207439968	1.8885853831458332	1.58501475515684	0	0	2.091555750821507	1.885415765553913	0	2.112017464347483	0	2.352645663567436	0	0	0	0	2.054500947166391	0	1.3805837667353649	2.1813855145971632	2.5373480638081416	0	1.1856224083361082	0.8949089843363195
detection of mechanical stimulus	0	2.518025920573038	0.910124427339838	0	0	0	0	0	0.7944788719785659	0	0	0	0	0.7922875391993385	0.8236451522793005	0.9574133226081134	0	1.7670412961541666	0	0.5205916871068105	0.48639287186827784	0.6432130931525057	1.2328908275250052	0.9832232039784105	0.488411408771821	1.2437378420947065	0.9786065626852418	0	1.3604792995495167	0.8284910060074426
detection of mechanical stimulus involved in sensory perception	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.685377993657717	0	0	1.3766523266834618	0	0	1.49064918215423	0	0	0	0	0.6865676846785199	0.8949089843363195
detection of mechanical stimulus involved in sensory perception of sound	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.071865853392054	0	0	1.7471224399439438	0	0	1.8681847951886632	0	0	0	0	0.9588547228312186	0.8949089843363195
detection of mechanical stimulus involved in sensory perception of touch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8949089843363195
detection of molecule of bacterial origin	0	0	0.5451822657846138	0.626214790531395	0	0	0.9241485730776984	1.1169017997492547	1.4153840698639406	0.6536189011462374	0	0	1.3475970954799603	0.8568381045368817	0	1.0297189829836373	0	1.2290658047963547	0	0	0	0	1.3143429651230294	0.3110654276388348	0.5332367246420624	1.325469660509503	1.6521973523012554	0	1.2263829977623382	0.8216786384147652
detection of molecule of fungal origin	0	0	0	0	0	0	0	0	2.2813850799244277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1813855145971632	0	0	0	0.8949089843363195
detection of muramyl dipeptide	0	0	0	0	0	0	0	0	2.2813850799244277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.537348063808142	0	0	0.8949089843363195
detection of muscle stretch	0	0	0.8487029104969763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0798397155782946	0	0	0	0	0.8523343804105395	0.918831588586954	0.8320598525384845	1.1710196005790383	0	0	1.5401110131945557	0.7707510692263532
detection of other organism	0	2.2133756940519653	0.5451822657846138	0.43176148021249583	0	0	0.9241485730776984	0.4403138883387353	1.4153840698639408	0	0	0	1.01347480833014	0.3165530757543089	0	0	0	0.49983701664421776	0	0	0.36290135953731184	0	0.37489565528838104	0.5962500234204927	0	0.7898440608555217	0.4075262593100799	0	0.90834278936527	0.8949089843363195
detection of oxygen	0	0	0	1.9207424413730747	0	0	0	1.3033784116897635	1.6178750194228504	0	0	0	1.815359697178268	0	0	0	0	2.071865853392054	0	0	0	0	1.7791586813730886	1.2386196640832816	2.421801283521651	1.5240273009077694	0	0	1.5401110131945557	0.8949089843363195
detection of peptidoglycan	0	0	0	0	0	0	0	0	2.2813850799244277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.537348063808142	0	0	0.8949089843363195
