series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num
GSE84076	GSE84076_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE84076.tsv	1	233	76
GSE148171	GSE148171_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1	2589	880
GSE198557	GSE198557_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1	2852	2409
GSE100897	GSE100897_MTB_control_24h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	1495	1503
GSE100897	GSE100897_MTB_control_6h_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE100897.tsv	1	1495	1503
GSE112482	GSE112482_MTB_control_lung_ILC1	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112482	GSE112482_MTB_control_lung_ILC2	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112482	GSE112482_MTB_control_lung_ILC3neg	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112482	GSE112482_MTB_control_lung_ILC3pos	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112482	GSE112482_MTB_control_lung_NK	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112482	GSE112482_MTB_control_lung_susp	data/RNAseq_data_forDE/expression_matrices/GSE112482.tsv	1	42	8
GSE112483	GSE112483_MTB_control_lung_AM	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_endo	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_gd	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_mait	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_NK	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_NKT	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE112483	GSE112483_MTB_control_lung_epi	data/RNAseq_data_forDE/expression_matrices/GSE112483.tsv	1	1	25
GSE132283	GSE132283_MTB_control_blood_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1	1881	698
GSE143627	GSE143627_MTB_control_PBMC_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	1098	732
GSE148731	GSE148731_MTB_control_blood_monocytes	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	2104	1358
GSE174566	GSE174566_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	2327	1603
GSE193777	GSE193777_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	2548	2210
GSE223863	GSE223863_MTB_control_2h_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE223863.tsv	1	9	2
GSE223863	GSE223863_MTB_control_24h_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE223863.tsv	1	9	2
GSE223863	GSE223863_MTB_control_72h_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE223863.tsv	1	9	2
GSE256184	GSE256184_MTB_control_HEPG2_HepG2	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1	3566	2098
GSE64179	GSE64179_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	3973	4210
GSE64182	GSE64182_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	2673	1330
GSE110564	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	823	331
GSE121049	GSE121049_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE121049.tsv	0	0	0
GSE141656	GSE141656_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	803	261
GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	103	82
GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	928	1323
GSE165708	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	281	17
GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	214	20
GSE211974	GSE211974_MTB_control_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	1287	1005
GSE211974	GSE211974_MTB_control_48h_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	1287	1005
GSE236156	GSE236156_MTB_control_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	987	1265
GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	987	1265
