series_id	SIGNATURE_NAME	SIGNATURE_FULL_NAME	experimental_platform	tb_status	time_point	tissue_category	tissue_cell_type	sample_origin	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	control_samples	disease_samples	technology	source	cell_name	signature_ID	number	dataset_ID	dataset_signature_ID
GSE148731	GSE148731_s11_d10	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF1	NA	MTB	24h	circulating	blood_CD14plus_monocyte_derived_macrophages_MF1	primary	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1.0	212	147	3	3.0	RNAseq	blood	M1 macrophage	s11	11	d10	s11_d10
GSE148731	GSE148731_s12_d10	GSE148731_MTB_control_4h_blood_CD14plus_monocyte_derived_macrophages_MF1	NA	MTB	4h	circulating	blood_CD14plus_monocyte_derived_macrophages_MF1	primary	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1.0	50	7	3	3.0	RNAseq	blood	M1 macrophage	s12	12	d10	s12_d10
GSE148731	GSE148731_s13_d10	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF2	NA	MTB	24h	circulating	blood_CD14plus_monocyte_derived_macrophages_MF2	primary	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1.0	286	219	4	3.0	RNAseq	blood	M2 macrophage	s13	13	d10	s13_d10
GSE148171	GSE148171_s14_d11	GSE148171_MTB_control_blood_PBMC	NA	MTB	NA	circulating	blood_PBMC	primary	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1.0	176	52	4	5.0	RNAseq	blood	peripheral blood mononuclear cell	s14	14	d11	s14_d11
GSE174566	GSE174566_s15_d12	GSE174566_MTB_control_blood_PBMC	NA	MTxjB	NA	circulating	blood_PBMC	primary	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1.0	209	95	18	18.0	RNAseq	blood	peripheral blood mononuclear cell	s15	15	d12	s15_d12
GSE198557	GSE198557_s16_d13	GSE198557_MTB_control_blood_PBMC	NA	MTB	NA	circulating	blood_PBMC	primary	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1.0	156	48	6	6.0	RNAseq	blood	peripheral blood mononuclear cell	s16	16	d13	s16_d13
GSE143627	GSE143627_s17_d14	GSE143627_MTB_control_blood_PBMC_macrophage	NA	MTB	NA	circulating	blood_PBMC_macrophage	primary	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1.0	102	83	3	3.0	RNAseq	blood	mononuclear leukocyte	s17	17	d14	s17_d14
GSE64179	GSE64179_s18_d15	GSE64179_MTB_control_blood_dendritic_cells	NA	MTB	NA	circulating	blood_dendritic_cells	primary	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1.0	271	243	6	6.0	RNAseq	blood	dendritic cell	s18	18	d15	s18_d15
GSE64182	GSE64182_s19_d16	GSE64182_MTB_control_blood_dendritic_cells	NA	MTB	NA	circulating	blood_dendritic_cells	primary	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1.0	235	88	3	3.0	RNAseq	blood	dendritic cell	s19	19	d16	s19_d16
GSE132283	GSE132283_s20_d17	GSE132283_MTB_control_2h_blood_macrophage	NA	MTB	2h	circulating	blood_macrophage	primary	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1.0	170	54	3	3.0	RNAseq	blood	macrophage	s20	20	d17	s20_d17
GSE132283	GSE132283_s21_d17	GSE132283_MTB_control_48h_blood_macrophage	NA	MTB	48h	circulating	blood_macrophage	primary	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1.0	336	243	3	3.0	RNAseq	blood	macrophage	s21	21	d17	s21_d17
GSE183912	GSE183912_s22_d18	GSE183912_MTB_control_blood_macrophages	NA	MTB	NA	circulating	blood_macrophage	primary	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1.0	25	2	4	4.0	RNAseq	blood	macrophage	s22	22	d18	s22_d18
GSE143731	GSE143731_s23_d19	GSE143731_MTB_control_blood_monocyte_derived_macrophages	NA	MTB	NA	circulating	blood_monocyte_derived_macrophages	primary	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1.0	6	7	4	4.0	RNAseq	blood	macrophage	s23	23	d19	s23_d19
GSE164287	GSE164287_s24_d20	GSE164287_MTB_control_blood_monocyte_derived_macrophages	NA	MTB	NA	circulating	blood_monocyte_derived_macrophages	primary	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1.0	81	84	4	4.0	RNAseq	blood	macrophage	s24	24	d20	s24_d20
GSE236156	GSE236156_s25_d21	GSE236156_MTB_control_blood_monocyte_derived_macrophage	NA	MTB	NA	circulating	blood_monocyte_derived_macrophages	primary	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1.0	213	161	11	6.0	RNAseq	blood	macrophage	s25	25	d21	s25_d21
GSE256184	GSE256184_s26_d22	GSE256184_MTB_control_48h_HEPG2_HepG2	NA	MTB	48h	other	HepG2	cell line	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1.0	410	277	4	4.0	RNAseq	HepG2	hepatocyte	s26	26	d22	s26_d22
GSE256184	GSE256184_s27_d22	GSE256184_MTB_control_0h_HEPG2_HepG2	NA	MTB	0h	other	HepG2	cell line	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1.0	167	124	4	4.0	RNAseq	HepG2	hepatocyte	s27	27	d22	s27_d22
GSE165708	GSE165708_s28_d23	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	NA	MTB	NA	other	BAL_bronchoalveolar_lavage	primary	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1.0	23	2	16	16.0	RNAseq	BALF	alveolar system	s28	28	d23	s28_d23
NA	microarray_aggregated_signature	microarray_aggregated_signature	NA	NA	NA	NA	NA	NA	NA	NA	1	98	98	NA	NA	microarray	s29	29	d24	s29_d24	NA
NA	RNAseq_aggregated_signature	RNAseq_aggregated_signature	NA	NA	NA	NA	NA	NA	NA	NA	1	98	98	NA	NA	RNAseq	s30	30	d24	s30_d24	NA
 
