drug_name	rank_score
atorvastatin	1.2396583922746882
fostamatinib	1.2240596948053521
simvastatin	1.1620134292572606
rosuvastatin	1.1273662849206025
sirolimus	1.1224590399789127
minoxidil	1.0728407311414099
vemurafenib	1.0689686828593188
phenazopyridine	1.0675273725731478
dopamine	1.0264999416093277
resveratrol	1.0118672258812338
paroxetine	0.9781106628789324
chloroquine	0.815266305085745
lapatinib	0.7907804569842203
dasatinib	0.7641862718491546
verapamil	0.762249493666983
valproic-acid	0.7356933310527403
metergoline	0.62982784765313
amoxapine	0.62581834528295055
ketorolac	0.6082307242560882
valsartan	0.6032589910749517
estrone	0.6017409888840801
trazodone	0.5760441730384533
nimodipine	0.5646909977238945
tetrabenazine	0.5481045452971598
bendroflumethiazide	0.5384571726238419
fenbendazole	0.5350451982526838
tranilast	0.5209657701445622
ketotifen	0.5153628931710026
fipronil	0.5115974226193665
carbenoxolone	0.5109875279466408
butoconazole	0.49701996832768724
zuclopenthixol	0.4909583071523944
chlorphenamine	0.42621865376157003
mirtazapine	0.42126943288932395
cilostazol	0.39776538180973836
rizatriptan	0.37742126778684815
pyrimethamine	0.37635952565553943
dienestrol	0.37259353644598187
loperamide	0.34311498792261463
aniracetam	0.3325917747537745
brompheniramine	0.30187522027401864
mebendazole	0.2683564802229707
chenodeoxycholic-acid	0.2651085933222155
isradipine	0.21209119636163082
naftifine	0.19128124434951715
azaperone	0.17677666870622874
benzthiazide	0.1713935805023742
clomifene	0.1712291889603387
ziprasidone	0.16060792974298588
enalapril	0.14970559158315996
dydrogesterone	0.12698200451773475
vinpocetine	0.12651087003253772
decitabine	0.09916954706501425
thiethylperazine	0.09452703351632002
pinacidil	0.08673315891756335
biperiden	0.08599181786530141
quinidine	0.07832811999724386
estropipate	0.05248821101334561
anagrelide	-0.020460244812273428
buphenine	-0.02649232020207136
doxercalciferol	-0.03128528402485985
acamprosate	-0.05596490560233349
altrenogest	-0.06604490566019194
tubocurarine	-0.07104308228953048
proxymetacaine	-0.07854754274693389
trimipramine	-0.08706987764383539
aminoglutethimide	-0.10241535057516374
coumarin	-0.10264147379191738
temozolomide	-0.10496297143703008
ropinirole	-0.10794418220296909
norgestimate	-0.11270624378704097
noscapine	-0.11410265143489581
levocabastine	-0.12909105268467166
dihydroergocristine	-0.13212097857040236
rutin	-0.1329753085500866
pizotifen	-0.15188258827540232
ruxolitinib	-0.16696966930753013
naloxone	-0.17734124853861688
loxapine	-0.25681696586672653
bucladesine	-0.26254035509173457
physostigmine	-0.27752051070862394
amodiaquine	-0.28668744624832854
alimemazine	-0.2869358678761375
hydroquinidine	-0.2993112988697086
diethylcarbamazine	-0.30061781129326487
vincristine	-0.3086340033388671
pravastatin	-0.31921867943556087
carteolol	-0.3320024193299206
prednisolone	-0.3394153742667158
warfarin	-0.3561098192211962
carbinoxamine	-0.3631715591034216
nateglinide	-0.3749767336923628
metoprolol	-0.3878780390640682
doxepin	-0.4100760683110097
bisoprolol	-0.4149513798442206
cyclopentolate	-0.42898130646526045
meptazinol	-0.4335092482629771
methantheline	-0.4422720970312356
propafenone	-0.44240490878587824
chlorpromazine	-0.459138415193322
metyrapone	-0.49146479163566403
sitagliptin	-0.5059055077857034
raltitrexed	-0.5208440207844047
acetyl-farnesyl-cysteine	-0.5409053946086441
idebenone	-0.5548250855211808
procainamide	-0.5883003741957886
cholic-acid	-0.5935486844615558
sildenafil	-0.6253288692583393
lansoprazole	-0.6319616123287617
montelukast	-0.6528685961767874
bupropion	-0.6558930575330693
metoclopramide	-0.6639846896263722
aprepitant	-0.6678168267121114
flunarizine	-0.6770261247499211
mycophenolate-mofetil	-0.7339178144035994
dihydroergotamine	-0.773883274781263
risperidone	-0.8558035639556354
lidocaine	-0.8704109540326552
levomepromazine	-0.8858629129780025
vinblastine	-0.9295624579029287
spironolactone	-1.013126417717322
podophyllotoxin	-1.0948236610752877
lonidamine	-1.1582888256214345
ambroxol	-1.3598029857690412
doxycycline	-1.4683639579613246
perhexiline	-1.675956270064638
