organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TIME_POINT	SAMPLE_CONDITION	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	library_source	library_strategy	cell.type.ch1	tissue.ch1	time.ch1
Homo sapiens	GSE84076	GSM2226808	healthy control without treatment	Ctrl_Unvac_3	primary_sample		blood		blood	Whole blood	clinical information: Control - BCG - Unvaccinated	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226809	disease without treatment	ATB_5	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226817	disease without treatment	ATB_4	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226825	healthy control without treatment	Ctrl_Unvac_2	primary_sample		blood		blood	Whole blood	clinical information: Control - BCG - Unvaccinated	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226829	healthy control without treatment	Ctrl_Unvac_1	primary_sample		blood		blood	Whole blood	clinical information: Control - BCG - Unvaccinated	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226832	healthy control without treatment	Ctrl_Unvac_0	primary_sample		blood		blood	Whole blood	clinical information: Control - BCG - Unvaccinated	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226840	disease without treatment	ATB_3	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226841	disease without treatment	ATB_2	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226842	disease without treatment	ATB_1	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE84076	GSM2226843	disease without treatment	ATB_0	primary_sample		blood		blood	Whole blood	clinical information: Active Tuberculosis	tissue: whole blood		polyA RNA	GPL16791	transcriptomic	RNA-Seq		whole blood	
Homo sapiens	GSE148171	GSM4455458	disease without treatment	PBMCs, Tuberculosis patient_1	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	cell type: PBMC	disease state: tuberculosis		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455459	disease without treatment	PBMCs, Tuberculosis patient_2	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	cell type: PBMC	disease state: tuberculosis		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455460	disease without treatment	PBMCs, Tuberculosis patient_3	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	cell type: PBMC	disease state: tuberculosis		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455461	disease without treatment	PBMCs, Tuberculosis patient_4	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	cell type: PBMC	disease state: tuberculosis		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455462	disease without treatment	PBMCs, Tuberculosis patient_5	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	cell type: PBMC	disease state: tuberculosis		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455463	healthy control without treatment	PBMCs, Healthy indivudual_1	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	cell type: PBMC	disease state: control		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455464	healthy control without treatment	PBMCs, Healthy indivudual_2	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	cell type: PBMC	disease state: control		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455465	healthy control without treatment	PBMCs, Healthy indivudual_3	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	cell type: PBMC	disease state: control		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE148171	GSM4455466	healthy control without treatment	PBMCs, Healthy indivudual_4	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	cell type: PBMC	disease state: control		total RNA	GPL16791	transcriptomic	RNA-Seq	PBMC		
Homo sapiens	GSE198557	GSM5952180	disease without treatment	Tuberculosis patient_1	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952181	disease without treatment	Tuberculosis patient_2	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952182	disease without treatment	Tuberculosis patient_3	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952183	disease without treatment	Tuberculosis patient_4	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952184	disease without treatment	Tuberculosis patient_5	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952185	disease without treatment	Tuberculosis patient_6	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from naïve active tuberculosis patients	subject status: Tuberculosis patient	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952186	healthy control without treatment	Healthy indivudual_1	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952187	healthy control without treatment	Healthy indivudual_2	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
Homo sapiens	GSE198557	GSM5952188	healthy control without treatment	Healthy indivudual_3	primary_sample	PBMC	blood		blood_PBMC	PBMCs isolated from Healthy individuals	subject status: Healthy individual	cell type: PBMCs	molecule type: rRNA-depleted RNA	total RNA	GPL16791	transcriptomic	RNA-Seq	PBMCs		
