SIGNATURE_NAME	disease	control
GSE112482_MTB_control_lung_ILC1	8	8
GSE112482_MTB_control_lung_ILC2	8	8
GSE112482_MTB_control_lung_ILC3neg	8	8
GSE112482_MTB_control_lung_ILC3pos	7	9
GSE112482_MTB_control_lung_NK	8	8
GSE112482_MTB_control_lung_susp	8	8
GSE112483_MTB_control_lung_AM	8	8
GSE112483_MTB_control_lung_NK	7	7
GSE112483_MTB_control_lung_NKT	8	8
GSE112483_MTB_control_lung_endo	5	5
GSE112483_MTB_control_lung_epi	5	5
GSE112483_MTB_control_lung_gd	7	7
GSE112483_MTB_control_lung_mait	6	6
GSE121049_MTB_control_blood_blood	3	3
GSE132283_MTB_control_2h_blood_macrophage	3	3
GSE132283_MTB_control_48h_blood_macrophage	3	3
GSE141656_MTB_control_blood_blood	3	3
GSE143627_MTB_control_PBMC_macrophage	3	3
GSE143731_MTB_control_blood_monocyte_derived_macrophages	4	4
GSE148171_MTB_control_blood_PBMC	5	4
GSE148731_MTB_control_blood_monocytes	12	12
GSE164287_MTB_control_blood_monocyte_derived_macrophages	4	4
GSE165708_MTB_control_BAL_bronchoalveolar_lavage	16	16
GSE174566_MTB_control_blood_PBMC	18	18
GSE183912_MTB_control_blood_marcophages	4	4
GSE193777_MTB_control_blood	11	39
GSE198557_MTB_control_blood_PBMC	6	6
GSE211974_MTB_control_blood_THP-1	3	3
GSE223863_MTB_control_24h_BALF_alveolar_macrophage	5	5
GSE223863_MTB_control_2h_BALF_alveolar_macrophage	8	4
GSE223863_MTB_control_72h_BALF_alveolar_macrophage	4	4
GSE236156_MTB_control_BALF_alveolar_macrophage	9	9
GSE236156_MTB_control_blood_monocyte_derived_macrophage	6	11
GSE256184_MTB_4control_48h_HEPG2_HepG2	4	4
GSE256184_MTB_control_0h_HEPG2_HepG2	4	4
GSE64179_MTB_control_blood_dendritic_cells	6	6
GSE64182_MTB_control_blood_dendritic_cells	3	3
GSE84076_MTB_control_blood	6	4
