ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0031397	negative regulation of protein ubiquitination	0.011644832605531296	81/16075	0.0012126319438039031	0.033986468262828314	0.03213560898018025	AKT1/SPRY2/MAD2L2/CHP1/RPS7/RPL23/PARK7/CDK5/RPS3/ARRB1/RPL5/SOX4/MAD2L1/PRR7/BUB1B/CDC20	16	42	-0.7214784839046472
GO:0031570	DNA integrity checkpoint signaling	0.019650655021834062	130/16075	1.1913662867085018e-5	6.229143727647309e-4	5.88991258417852e-4	PTPN11/BABAM1/RPL26/TOPBP1/CHEK1/FANCD2/MSH2/TIMELESS/PRKDC/ORC1/PLK1/BLM/DNA2/BRCA1/RAD51/FBXO4/EME1/DTL/CLSPN/CDT1/GTSE1/CDC6/WDR76/E2F1/TICRR/CDC45/CDK1	27	NA	NA
GO:0031577	spindle checkpoint signaling	0.017467248908296942	47/16075	4.478647675719176e-14	1.3933072919162357e-11	1.3174295715576038e-11	MAD2L2/GEN1/XRCC3/TRIP13/INCENP/KNTC1/ZWILCH/ANAPC15/PLK1/CCNB1/BUB1/AURKB/CENPF/MAD2L1/CDT1/TTK/ZWINT/NDC80/SPC24/CDCA8/BUB1B/BIRC5/NUF2/CDC20	24	NA	NA
GO:0032070	regulation of deoxyribonuclease activity	0.00363901018922853	10/16075	7.915926599849988e-4	0.023679276588589725	0.022389733687531166	AKT1/HMGB1/RPS3/DDX11/PCNA	5	NA	NA
GO:0032075	positive regulation of nuclease activity	0.002911208151382824	7/16075	0.0015063789693061341	0.04005423054283234	0.03787292874247406	AKT1/RPS3/DDX11/PCNA	4	1	1.6298967732588305
GO:0032077	positive regulation of deoxyribonuclease activity	0.002911208151382824	5/16075	2.4768571302493086e-4	0.0094546043339946	0.008939718760712551	AKT1/RPS3/DDX11/PCNA	4	1	1.6298967732588305
GO:0032091	negative regulation of protein binding	0.013828238719068414	91/16075	2.0941896499184867e-4	0.008246865823919508	0.0077977521341735	AKT1/KDM1A/PIN1/RACK1/PARK7/PPP1CA/STUB1/DDX11/ACTB/AURKA/CTNNBIP1/AURKB/ADRB2/CAMK1/ADAM15/ACE/SORL1/SLPI/NES	19	53	-0.7822505222467415
GO:0032200	telomere organization	0.021834061135371178	187/16075	5.74958354626091e-4	0.019548584057287093	0.018483993350619628	EXOSC10/RAD51C/MAD2L2/ERCC1/XRCC5/NABP2/XRCC3/ACTL6A/RPA1/NHP2/NSMCE1/CCT8/RUVBL2/PCNA/PARP1/STN1/RUVBL1/PRKDC/APEX1/BLM/DNA2/CCNE1/FEN1/RAD51/FBXO4/AURKB/RECQL4/CCNE2/EXO1/NEK2	30	27	0.3489629277967661
GO:0032392	DNA geometric change	0.022561863173216887	81/16075	1.913058392998509e-13	3.839693329431201e-11	3.6305885767295985e-11	HMGB1/XRCC5/DDX11/MCM8/DTD1/RUVBL2/CHD1L/RFC2/MCM5/GINS4/MCM6/POLQ/RUVBL1/RFC5/BLM/DNA2/MCM7/RFC3/RFC4/RAD51/MCM3/MCM2/RAD54B/RECQL4/GINS1/MCM4/DSCC1/TOP2A/CDC45/GINS2/CHTF18	31	1	3.6775896166240862
GO:0032465	regulation of cytokinesis	0.018195050946142648	87/16075	3.812874300108804e-8	3.392554713613306e-6	3.207800553957057e-6	PIN1/BCL2L1/RAB11A/CETN2/GIPC1/CALM3/CALM2/INCENP/PKP4/ECT2/AURKA/PDXP/RACGAP1/KIF14/PLK1/AURKB/CIT/CDC6/CENPV/CDCA8/KIF23/PRC1/BIRC5/KIF20A/E2F8	25	38	-0.17510792271924527
