ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0030071	regulation of mitotic metaphase/anaphase transition	0.048600883652430045	90/16075	9.070789450819315e-23	1.2783765932688021e-20	1.1753833488377451e-20	SMARCA2/ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/FBXO5/HASPIN/CCNB1/ZWINT/MAD2L1/CENPE/TTK/TRIP13/BUB1/AURKB/ESPL1/SPC24/NUF2/NDC80/CDCA8/CDT1/CDC6/BIRC5/UBE2C/DLGAP5/PLK1/CENPF/CDC20/BUB1B/SPC25	33	48	0.6410493614044045	1.3972864886291674
GO:0030174	regulation of DNA-templated DNA replication initiation	0.013254786450662739	15/16075	1.6185491931689052e-9	7.957239521765268e-8	7.31615932726165e-8	MCM5/GMNN/MCM6/MCM3/MCM4/MCM2/MCM7/CDT1/TICRR	9	7	1.2670572391267212	1.9794721066226442
GO:0030261	chromosome condensation	0.016200294550810016	41/16075	6.983123567239703e-7	2.3432259081182115e-5	2.1544423837774626e-5	NCAPD3/NCAPD2/SMC4/SMC2/NCAPG2/CDCA5/NUSAP1/CDK1/NCAPG/PLK1/TOP2A	11	17	0.5804247395879696	1.3440108644025661
GO:0031023	microtubule organizing center organization	0.044182621502209134	149/16075	7.024569896143631e-13	4.9499802534825457e-11	4.5511818642909525e-11	CEP85/PCM1/HAUS6/GEN1/ALMS1/RTTN/RANBP1/SSX2IP/AURKA/ODF2/HAUS8/XRCC3/CHEK1/SAC3D1/STIL/WDR62/BRCA1/XRCC2/SASS6/CEP131/FES/CCNF/SGO1/PLK4/PCLAF/KIF11/NDC80/CDK1/NEK2/PLK1	30	79	0.04749234004094909	0.9153512183262055
GO:0031055	chromatin remodeling at centromere	0.007363770250368188	8/16075	6.673230361069488e-6	1.9593345810140137e-4	1.8014795119466098e-4	NASP/CENPW/OIP5/HJURP/CENPA	5	3	1.5265684346118056	2.2313146272043807
GO:0031109	microtubule polymerization or depolymerization	0.020618556701030927	124/16075	7.484081690092688e-4	0.014383044266232676	0.013224264919383876	CCSAP/PAK1/SKA2/FBXO5/FES/KIF24/CKAP2/KIF18A/PSRC1/TPX2/KIF2C/KIF18B/SKA3/STMN1	14	31	0.2208129359759274	1.0457739359670668
GO:0031297	replication fork processing	0.020618556701030927	45/16075	2.493272104684444e-9	1.1979039157506624e-7	1.1013940050956521e-7	RFWD3/GEN1/NUCKS1/BARD1/PRIMPOL/MMS22L/BRCA1/TONSL/PCNA/DNA2/RAD51/TRAIP/EME1/BLM	14	40	-0.03407931365286273	0.8574823226322186
GO:0031570	DNA integrity checkpoint signaling	0.041237113402061855	130/16075	7.214903679927805e-13	5.0007561899565176e-11	4.597867004309471e-11	RFWD3/CHEK2/TOPBP1/PRKDC/CASP2/CHEK1/BARD1/DONSON/TIMELESS/ORC1/H2AX/BRCA1/FANCD2/DNA2/RAD51/E2F1/EME1/CLSPN/BLM/WDR76/CDT1/CDK1/CDC45/GTSE1/CDC6/PLK1/TICRR/DTL	28	78	-0.008761505668572832	0.8751918567377676
GO:0031577	spindle checkpoint signaling	0.03829160530191458	47/16075	6.325810694350921e-24	1.1143969839881539e-21	1.0246148637823664e-21	ANAPC15/MAD1L1/GEN1/INCENP/XRCC3/KNTC1/SPDL1/HASPIN/CCNB1/ZWINT/MAD2L1/TTK/TRIP13/BUB1/AURKB/SPC24/NUF2/NDC80/CDCA8/CDT1/BIRC5/PLK1/CENPF/CDC20/BUB1B/SPC25	26	21	1.2293169111438742	1.943196750916449
GO:0032200	telomere organization	0.025036818851251842	187/16075	0.0024654105167456874	0.04024616086795662	0.03700370265532137	INO80E/CCNE1/PRKDC/RPA1/EZH2/SLF1/XRCC3/FEN1/PCNA/DNA2/RAD51/RECQL4/BLM/CCNE2/AURKB/NEK2/EXO1	17	69	-0.38515034969522827	0.6364929966799507
GO:0032201	telomere maintenance via semi-conservative replication	0.005891016200294551	9/16075	3.3539671603165965e-4	0.006951261349911064	0.006391228443265837	FEN1/PCNA/DNA2/BLM	4	5	0.7925992595316054	1.5334324756305255
GO:0032392	DNA geometric change	0.036818851251840944	81/16075	1.6054465020160178e-15	1.444218683090154e-13	1.327864262473719e-13	MCM5/ERCC2/RFC2/MCM6/RFC5/RFC4/MCM3/DNA2/MCM8/GINS4/CHTF18/RFC3/RAD54B/HMGB2/MCM4/MCM2/RAD51/DSCC1/RECQL4/BLM/POLQ/MCM7/GINS2/CDC45/TOP2A	25	4	2.848324274594125	3.5423097000120474
GO:0032465	regulation of cytokinesis	0.027982326951399118	87/16075	2.837130870428365e-9	1.3477965528282167e-7	1.2392104440558194e-7	CALM2/AURKA/INCENP/CDC25B/RACGAP1/PKP4/KIF20B/E2F7/KIF23/AURKB/CDCA8/KIF14/CDC6/BIRC5/PRC1/CIT/PLK1/KIF20A/E2F8	19	79	-0.409266062454766	0.6230395008943469
GO:0032466	negative regulation of cytokinesis	0.004418262150220913	7/16075	0.0023114373171163514	0.038026291738396625	0.03496267873074211	E2F7/AURKB/E2F8	3	3	1.0157428108458149	1.7401710553764507
