GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0005991	trehalose metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0005993	trehalose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0005996	monosaccharide metabolic process	252	0	0	1	1	1		0		0	0	0	0	0
GO:0005997	xylulose metabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0005998	xylulose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0006000	fructose metabolic process	14	0.0014847809948032665	14/16075	0.3302634294551253	0.9999990727778187	0.9999990727778187	PFKFB3/ALDOB	2		10	1	1.195769602547336	-0.17878999696038134	0.7607493420961396
GO:0006001	fructose catabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006002	fructose 6-phosphate metabolic process	11	0	0	1	1	1		0		0	0	0	0	0
GO:0006003	fructose 2,6-bisphosphate metabolic process	5	7.423904974016332e-4	5/16075	0.35443607181388026	0.9999990727778187	0.9999990727778187	PFKFB3	1		1	0	0.11957696025473362	-Inf	0
GO:0006004	fucose metabolic process	16	0.0014847809948032665	16/16075	0.3927403283711576	0.9999990727778187	0.9999990727778187	POFUT2/FUT7	2		4	0	0.4783078410189345	-Inf	0
GO:0006006	glucose metabolic process	183	0.014105419450631032	183/16075	0.19477636832709544	0.9999990727778187	0.9999990727778187	DGAT2/PHKG2/KAT2A/SLC35B4/BRAT1/EPM2AIP1/SLC37A4/PER2/ZNF692/GAA/GPD1/PPP1R3E/GPT/GNMT/MST1/STK11/PCK1/BRS3/GAPDHS	19		44	5	5.261386251208279	-0.0509566254504964	0.8458045981049379
GO:0006007	glucose catabolic process	24	0	0	1	1	1		0		0	0	0	0	0
GO:0006011	UDP-glucose metabolic process	6	0.0014847809948032665	6/16075	0.08387769867551527	0.9999990727778187	0.9999990727778187	GALT/UGGT1	2		2	1	0.23915392050946724	1.430647915473719	2.1377964616686715
GO:0006012	galactose metabolic process	9	7.423904974016332e-4	9/16075	0.5451730821247531	0.9999990727778187	0.9999990727778187	GALT	1		7	1	0.8370387217831352	0.17788494697835106	1.0125679382611783
GO:0006013	mannose metabolic process	9	0.0022271714922048997	9/16075	0.03359112458867827	0.9999990727778187	0.9999990727778187	MAN2C1/MAN2B1/MAN2A1	3		3	0	0.35873088076420084	-Inf	0
GO:0006014	D-ribose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	5	0	0	1	1	1		0		0	0	0	0	0
GO:0006020	inositol metabolic process	11	0.0022271714922048997	11/16075	0.058197294513162516	0.9999990727778187	0.9999990727778187	MECP2/SLC5A3/ISYNA1	3		3	1	0.35873088076420084	1.0251828073655547	1.7490518107406903
GO:0006021	inositol biosynthetic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006022	aminoglycan metabolic process	125	0.011135857461024499	122/16075	0.08542523180845575	0.9999990727778187	0.9999990727778187	SGSH/IDUA/GUSB/ST3GAL2/ABCC5/CHST12/DCN/CHPF2/LYG2/PDGFRB/B3GALT6/HAS3/OVGP1/XYLT1/ITIH2	15		53	8	6.337578893500881	0.2329447241613786	1.0552610396845374
GO:0006023	aminoglycan biosynthetic process	73	0.005939123979213066	72/16075	0.25419473512253615	0.9999990727778187	0.9999990727778187	ST3GAL2/ABCC5/CHST12/CHPF2/PDGFRB/B3GALT6/HAS3/XYLT1	8		36	5	4.30477056917041	0.14971407001165482	0.9910921367202008
GO:0006024	glycosaminoglycan biosynthetic process	71	0.005939123979213066	70/16075	0.23047299232097712	0.9999990727778187	0.9999990727778187	ST3GAL2/ABCC5/CHST12/CHPF2/PDGFRB/B3GALT6/HAS3/XYLT1	8		31	5	3.7068857678967415	0.2992458039826187	1.1078824611587288
GO:0006026	aminoglycan catabolic process	34	0.003711952487008166	33/16075	0.13820564598010632	0.9999990727778187	0.9999990727778187	SGSH/IDUA/GUSB/LYG2/OVGP1	5		15	3	1.793654403821004	0.5143571835995641	1.2868253637672782
GO:0006027	glycosaminoglycan catabolic process	28	0.002969561989606533	28/16075	0.20380261238274827	0.9999990727778187	0.9999990727778187	SGSH/IDUA/GUSB/LYG2	4		13	3	1.5545004833115368	0.6574580272402374	1.4118299599012272
GO:0006029	proteoglycan metabolic process	93	0.008166295471417966	90/16075	0.13124310801633254	0.9999990727778187	0.9999990727778187	SGSH/IDUA/EXTL3/GUSB/CHST12/SULF2/DCN/CHPF2/HS6ST1/B3GALT6/XYLT1	11		61	10	7.29419457553875	0.31550632485439895	1.1209822188457104
GO:0006030	chitin metabolic process	6	7.423904974016332e-4	5/16075	0.35443607181388026	0.9999990727778187	0.9999990727778187	OVGP1	1		2	0	0.23915392050946724	-Inf	0
GO:0006032	chitin catabolic process	6	7.423904974016332e-4	5/16075	0.35443607181388026	0.9999990727778187	0.9999990727778187	OVGP1	1		2	0	0.23915392050946724	-Inf	0
GO:0006040	amino sugar metabolic process	42	7.423904974016332e-4	40/16075	0.9699543822846886	0.9999990727778187	0.9999990727778187	OVGP1	1		28	0	3.348154887132541	-Inf	0
GO:0006041	glucosamine metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0006043	glucosamine catabolic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0006044	N-acetylglucosamine metabolic process	18	0	0	1	1	1		0		0	0	0	0	0
GO:0006045	N-acetylglucosamine biosynthetic process	2	0	0	1	1	1		0		0	0	0	0	0
