ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0006754	ATP biosynthetic process	0.030405405405405407	104/16075	8.295106280167349e-16	4.796230451192761e-13	4.43744527534847e-13	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	36	7	2.1698256031481047
GO:0006839	mitochondrial transport	0.02364864864864865	182/16075	1.5833249515076432e-4	0.012894063196643933	0.011929514312174712	BAK1/BAP1/RHOT1/OXA1L/SLC25A16/NDUFA13/PARL/MUL1/MFN2/TIMM10B/CPT2/TMEM14C/MTX1/SREBF1/COX18/SH3GLB1/RAC2/ALKBH7/TOMM40/CHCHD10/PINK1/MIPEP/BCAP31/FZD5/TSPO/MICALL2/GCLC/BOK	28	6	2.072661854694457
GO:0006885	regulation of pH	0.016047297297297296	100/16075	1.1088424644419923e-4	0.010977180592045867	0.010156025372531284	SNAPIN/ATP5F1B/TMEM106B/GPR89A/SLC9A6/TCIRG1/ATP6V0B/ATP6V1F/ATP6AP1/PDK2/TPCN2/ATP6AP2/SLC9A7/RAB20/ATP6V0A1/PPT1/CA2/SLAMF8/HVCN1	19	7	1.5307456438584353
GO:0007006	mitochondrial membrane organization	0.017736486486486486	114/16075	7.888002721829202e-5	0.00912168634752329	0.008439332596281263	BAK1/RHOT1/GHITM/OXA1L/NDUFA13/MUL1/MFN2/TIMM10B/MTX1/MICOS10/COX18/MICOS13/ALKBH7/CLN8/TOMM40/CHCHD10/ADCK1/PINK1/CIBAR1/GCLC/BOK	21	2	2.883592070910786
GO:0007007	inner mitochondrial membrane organization	0.008445945945945946	40/16075	4.980325617258557e-4	0.026663187702767575	0.02466863039659648	GHITM/NDUFA13/TIMM10B/MTX1/MICOS10/MICOS13/CHCHD10/ADCK1/PINK1/CIBAR1	10	18	-0.055569851154810654
GO:0007035	vacuolar acidification	0.007601351351351352	33/16075	4.732638748042295e-4	0.026311651193442837	0.0243433908072378	SNAPIN/TMEM106B/TCIRG1/ATP6V0B/ATP6V1F/ATP6AP1/ATP6AP2/ATP6V0A1/PPT1	9	1	2.729441391083528
GO:0007039	protein catabolic process in the vacuole	0.006756756756756757	22/16075	1.0622452132965461e-4	0.010775266356632684	0.009969215464400827	TMEM106B/DPP7/TCIRG1/GBA1/CD81/LRP1/MARCHF2/RNF128	8	1	2.6116583554271444
GO:0007040	lysosome organization	0.021114864864864864	100/16075	4.208724049649034e-8	1.158802021670034e-5	1.0721170737000699e-5	SNAPIN/TMEM106B/VPS18/LAMTOR1/HPS1/TCIRG1/GBA1/ATP6V0B/ATP6V1F/ATP6AP1/ACP2/CLN8/CHMP3/TPCN2/HEXA/ATP6AP2/NAGLU/RAB20/ATP6V0A1/HEXB/LYSET/PPT1/GAA/NAGPA/SCARB2	25	27	0.45525577261117983
GO:0007042	lysosomal lumen acidification	0.007601351351351352	21/16075	8.078246559624154e-6	0.0016681579145623878	0.0015433702637597726	SNAPIN/TMEM106B/TCIRG1/ATP6V0B/ATP6V1F/ATP6AP1/ATP6AP2/ATP6V0A1/PPT1	9	12	0.24453474129552727
GO:0008064	regulation of actin polymerization or depolymerization	0.018581081081081082	144/16075	8.444600779868811e-4	0.03736961611522343	0.03457415738454468	VASP/ARPC3/BIN1/BRK1/RHOA/SPTAN1/CYRIB/TRIOBP/TMSB10/ARPC5/CAPZA2/NCK1/TWF2/RASA1/NCKAP1L/CAPG/EVL/CYFIP1/GSN/BAIAP2/ARHGAP18/PYCARD	22	4	2.2369649059857335
GO:0008154	actin polymerization or depolymerization	0.02195945945945946	187/16075	0.0012748718809094093	0.04786564425596237	0.044285023231590004	VASP/ARPC3/BIN1/BRK1/RHOA/SPTAN1/CYRIB/TRIOBP/TMSB10/PSTPIP1/ARPC4/ARPC5/CAPZA2/NCK1/TWF2/RASA1/NCKAP1L/CAPG/EVL/MICALL2/CYFIP1/GSN/BAIAP2/ARHGAP18/PYCARD/GAS7	26	6	1.9985538825407354
GO:0008611	ether lipid biosynthetic process	0.004222972972972973	11/16075	6.817610307753954e-4	0.0322348060441526	0.02982346016064074	AGPS/CHPT1/FAR1/PLA2G4A/LPCAT2	5	8	0.06221318450157275
GO:0008643	carbohydrate transport	0.018581081081081082	142/16075	6.96878373489982e-4	0.0322348060441526	0.02982346016064074	AKT1/SLC35A5/SLC35C1/ASPSCR1/SLC2A8/ZDHHC7/SLC17A5/SLC35A1/RSC1A1/MFSD12/RTN2/SLC45A4/TMEM144/SLC23A2/SLC27A1/FABP5/SLC2A9/ACE/SORT1/SLC2A5/SLC37A2/FFAR4	22	NA	NA
GO:0009060	aerobic respiration	0.05827702702702703	191/16075	1.9140689733909096e-30	1.1067146804146239e-26	1.0239261602918529e-26	ATP5PO/COX4I1/GHITM/ATP5MG/ATP5F1C/COX6C/PDHA1/OXA1L/MTFR1L/UQCRH/NDUFC2/RHOA/NDUFA10/NDUFA13/UQCRC2/IDH3G/SURF1/COX7C/COX6A1/CYCS/ATP5F1B/COX15/NDUFA11/COQ9/COX7B/ANTKMT/FH/PDHB/NDUFA3/UQCRB/NDUFS1/UQCRFS1/NDUFA8/COX8A/NIPSNAP2/ATP5PD/NDUFS4/NDUFV3/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/UQCR10/SDHC/NDUFB7/NDUFB2/NNT/BLOC1S1/ATP5PB/UQCRQ/UQCRC1/ACO2/SDHB/NDUFB5/ABCD1/UQCR11/NDUFS3/SDHD/CHCHD10/AFG1L/PINK1/NDUFB6/CAT/MDH1/COX5B/IDH1/MLXIPL	69	14	2.127265988729309
GO:0009062	fatty acid catabolic process	0.018581081081081082	101/16075	3.312900982134412e-6	7.367382107192757e-4	6.816260239355095e-4	AKT1/ECHDC1/CPT2/IVD/ACAD10/ACADS/CROT/ILVBL/CRAT/PHYH/DECR1/ECHS1/HADHB/MCEE/ABCD1/MTLN/PCCB/ACADM/ABHD2/PLA2G15/NUDT7/ACOX2	22	5	2.013821354671524
GO:0009142	nucleoside triphosphate biosynthetic process	0.03125	131/16075	4.608805571662214e-13	1.7765409210233947e-10	1.6436456080833243e-10	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/IMPDH1/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	37	2	3.449987545831587
GO:0009145	purine nucleoside triphosphate biosynthetic process	0.03125	115/16075	4.848678011986948e-15	2.336254688775711e-12	2.1614896190278655e-12	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/IMPDH1/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	37	NA	NA
GO:0009201	ribonucleoside triphosphate biosynthetic process	0.03125	120/16075	2.2184768125537358e-14	9.867102253989001e-12	9.128987175221122e-12	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/IMPDH1/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	37	NA	NA
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	0.03125	114/16075	3.5348165015689287e-15	1.8580280920065042e-12	1.7190370776051002e-12	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/IMPDH1/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	37	NA	NA
