ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000022	mitotic spindle elongation	0.004286589099816289	12/16323	0.5833333333333334	5.830832823025107	5.581375206635816	4.983001926547213e-5	0.005830112254060239	0.005485187500821075	KIF4A/RACGAP1/BIRC5/CDCA8/PRC1/AURKB/KIF23	7	8	-0.0580683770987815	0.8409146791179897
GO:0000070	mitotic sister chromatid segregation	0.034292712798530314	192/16323	0.2916666666666667	2.9154164115125534	8.90127163127511	7.10317432133618e-14	4.487785536220199e-10	4.222276357114254e-10	NDC80/SMC2/SPAG5/CENPE/CENPF/KIF2C/UBE2C/ZWINT/CHEK2/CDCA5/PRAP1/CCSAP/KIF18B/SPC24/SKA3/TPX2/NCAPH/KIF4A/CENPI/RACGAP1/UHRF1/BIRC5/KIF11/KIFC1/KIF22/MAD2L1/MYBL2/ATM/NEK2/NUSAP1/PLK1/NCAPG2/PPP1CC/CDCA8/KIF15/KNL1/SPC25/CENPK/NCAPG/BUB1/BUB1B/TTK/CHMP6/CDT1/KIF18A/NUF2/USP44/PSRC1/PRC1/AURKB/KIF23/KNTC1/DLGAP5/CDK1/CDC20/KIF14	56	110	-0.5996656595315258	0.5245998015436106
GO:0000727	double-strand break repair via break-induced replication	0.003674219228413962	12/16323	0.5	4.997856705450092	4.618983747301147	5.389768916319704e-4	0.041527512211351085	0.03907063552048443	MCM2/MCM3/MCM4/MCM7/GINS2/CDC45	6	NA	NA	NA
GO:0006261	DNA-templated DNA replication	0.023882424984690752	161/16323	0.2422360248447205	2.421321882143523	6.042639848788961	1.2526302003454335e-7	3.440920698166282e-5	3.2373467923801665e-5	TRAIP/POLQ/EME1/PRIMPOL/FGFR1/MMS22L/SAMHD1/LIG1/MCM2/MCM3/MCM4/MCM7/MRE11/GINS2/POLA1/POLD1/POLE2/MCM10/PRIM1/NYNRIN/RAD51/RFC4/RPA1/CHTF18/BLM/BRCA1/TK1/DSCC1/E2F8/CDT1/CDC45/CCNE1/TICRR/CCNE2/EXO1/SLFN11/RECQL4/GINS1/CDC6	39	94	-0.8042701206146164	0.4336906338831575
GO:0006268	DNA unwinding involved in DNA replication	0.00612369871402327	21/16323	0.47619047619047616	4.7598635290000875	5.748177440613259	1.2232769888982052e-5	0.00171748089241308	0.0016158702120019097	MCM2/MCM3/MCM4/MCM7/GINS2/RAD51/BLM/CDC45/RECQL4/GINS1	10	NA	NA	NA
GO:0006270	DNA replication initiation	0.007960808328230252	36/16323	0.3611111111111111	3.6095631761584	5.225975854000114	2.4355622609048566e-5	0.0030172318361562514	0.0028387244762290453	MCM2/MCM3/MCM4/MCM7/POLA1/MCM10/PRIM1/CDT1/CDC45/CCNE1/TICRR/CCNE2/CDC6	13	17	-0.19280097106893818	0.7517981414214581
GO:0006271	DNA strand elongation involved in DNA replication	0.004286589099816289	15/16323	0.4666666666666667	4.664666258420086	4.73422166894153	3.087323100705217e-4	0.029112996045157557	0.027390594736343064	LIG1/MCM3/MCM4/MCM7/POLA1/RFC4/GINS1	7	4	0.6350788034611639	1.3920073899626715
GO:0006658	phosphatidylserine metabolic process	0.004898958971218616	19/16323	0.42105263157894735	4.208721436168498	4.665848294362593	2.7112002860330806e-4	0.025953580919934854	0.024418098907860935	OSBPL5/MBOAT2/ABHD12B/MBOAT1/PLA2G15/LPCAT4/ABHD12/SLC27A1	8	15	-0.5531456438966332	0.5473891577441898
GO:0007052	mitotic spindle organization	0.017146356399265157	132/16323	0.21212121212121213	2.1203028447364027	4.308781279738853	9.497506440469915e-5	0.009836925523096543	0.009254947173310372	NDC80/TACC3/CENPE/CHEK2/CCSAP/TPX2/KIF4A/RACGAP1/UHRF1/BIRC5/KIF11/KIFC1/STMN1/MYBL2/NEK2/PLK1/CDCA8/KIF15/SPC25/TTK/CHMP6/NUF2/PSRC1/PRC1/AURKB/KIF23/DLGAP5/CDC20	28	70	-0.8408277163484139	0.4189864633548662
GO:0007080	mitotic metaphase chromosome alignment	0.011022657685241886	62/16323	0.2903225806451613	2.901981312841989	5.002618060996019	2.3029555264842463e-5	0.0029428325833567035	0.0027687268786283645	NDC80/CENPE/KIF2C/CDCA5/SKA3/BIRC5/KIFC1/KIF22/CDCA8/TTK/CHMP6/CDT1/KIF18A/NUF2/PSRC1/AURKB/CDK1/KIF14	18	53	-1.0044571401302163	0.35851380016044904
