ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051495	positive regulation of cytoskeleton organization	24/951	179/16218	1.273498319001003e-4	0.0028133141812036197	0.0020813407429656284	SORBS3/CDKN1B/WASF3/EDN1/CTTN/PTK2B/NUP62/ABL1/HSPA1A/RHOA/SMAD3/NCK1/PAK1/EVL/CARMIL1/PXN/TESK1/TGFB3/TPM1/NCK2/PSRC1/CDK5R1/ITGB1BP1/CDC42	24
GO:0014912	negative regulation of smooth muscle cell migration	7/951	21/16218	1.3107745673694726e-4	0.0028855372993560136	0.002134772712775089	TRIB1/IGFBP3/MEF2C/NFE2L2/SERPINE1/BMP4/TPM1	7
GO:0010812	negative regulation of cell-substrate adhesion	12/951	59/16218	1.334123781229963e-4	0.0029165428217443915	0.002157711159335741	CDKN2A/COL1A1/RHOA/NOTCH1/SERPINE1/DUSP22/RASA1/SRC/FZD7/CASK/ITGB1BP1/MAP4K4	12
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	12/951	59/16218	1.334123781229963e-4	0.0029165428217443915	0.002157711159335741	DNM1L/MYC/NCK1/FIS1/PMAIP1/BAD/BAX/RAD9A/BID/TP53/NCK2/BECN1	12
GO:0090307	mitotic spindle assembly	13/951	68/16218	1.3789721075102316e-4	0.0029874494002876417	0.0022101691293173304	CHEK2/EML3/CHMP4A/HSPA1A/BIRC5/RHOA/MYBL2/PLK1/CHMP6/SMC1A/SMC3/AURKB/CDC20	13
GO:1902750	negative regulation of cell cycle G2/M phase transition	13/951	68/16218	1.3789721075102316e-4	0.0029874494002876417	0.0022101691293173304	CDKN1A/TOPBP1/CHEK1/ATF5/FOXO4/ORC1/PLK1/INTS3/BRCA1/MBTPS1/IER3/AURKB/CDK1	13
GO:0009746	response to hexose	24/951	180/16218	0.00013896529153721604	0.0029874494002876417	0.0022101691293173304	CDKN1B/EGR1/PTK2B/RAB11FIP2/MPC2/GPER1/HIF1A/ICAM1/IGF1R/PCK2/PFKL/PIK3CA/PIH1D1/PRKACA/BAD/PTGS2/SGCB/SMARCA4/SOX4/STX4/TIAM1/XBP1/CASP3/C2CD2L	24
GO:0031099	regeneration	24/951	180/16218	0.00013896529153721604	0.0029874494002876417	0.0022101691293173304	CDKN1A/CDKN1B/CSNK2A2/DAG1/EZH2/FPGS/GRN/IGF1R/IGF2R/MMP2/NOTCH1/PCNA/PPARD/PTPN12/PTPRF/CCND1/BCL2/SOX2/SPP1/AURKA/FZD7/CFLAR/CCNA2/CDK1	24
GO:0009267	cellular response to starvation	23/951	169/16218	1.3926729925008868e-4	0.0029874494002876417	0.0022101691293173304	CDKN1A/NPRL2/RRAGA/FOXO3/RRP8/FOS/RNF167/SESN1/DNAJC15/PIK3R4/HSPA8/IGF1R/FAS/NFE2L2/PIK3C2B/PIK3C3/PMAIP1/RALB/BCL2/SUV39H1/TP53/XBP1/BECN1	23
GO:0043537	negative regulation of blood vessel endothelial cell migration	9/951	35/16218	1.3950287860301248e-4	0.0029874494002876417	0.0022101691293173304	GADD45A/APOE/RHOA/MEF2C/NOTCH1/PPARG/MAP2K5/TBXA2R/ITGB1BP1	9
GO:0035270	endocrine system development	20/951	137/16218	1.425296469785294e-4	0.0030419208724638	0.0022504681101873066	CDK6/CREB1/CRKL/EDN1/AKT1/GATA2/GATA3/GLI2/NR3C1/HOXA5/HES1/SMAD3/BAD/RAP1GAP/RHEB/BMP4/SOX2/SOX4/PAX8/ARID5B	20
GO:0097300	programmed necrotic cell death	11/951	51/16218	1.4529118947336834e-4	0.0030903828679875915	0.0022863211714781472	DNM1L/PARP1/SLC25A4/BIRC2/FAS/ASAH1/BAX/PYGL/TP53/CFLAR/ARHGEF2	11
GO:0035886	vascular associated smooth muscle cell differentiation	8/951	28/16218	1.471300783188712e-4	0.0030987559451311777	0.0022925157254740625	DNMT1/GPER1/HES1/KIT/NFATC3/NFATC4/NOTCH1/SGCB	8
GO:0034644	cellular response to UV	15/951	87/16218	1.4779371068588068e-4	0.0030987559451311777	0.0022925157254740625	CDKN1A/PARP1/DDB2/MMP1/MMP2/MYC/NFATC4/PCNA/PRKCD/MAPK13/PTPRK/BAX/TP53/AURKB/CDC25A	15
GO:0043406	positive regulation of MAP kinase activity	15/951	87/16218	1.4779371068588068e-4	0.0030987559451311777	0.0022925157254740625	EDN1/EGF/EGFR/ERBB2/EZH2/GHR/IL1B/KIT/MAP3K4/PAK1/PDGFA/MAP2K5/PTPN1/TLR4/CD40	15
GO:0097581	lamellipodium organization	15/951	87/16218	1.4779371068588068e-4	0.0030987559451311777	0.0022925157254740625	VAV3/WASF3/TWF2/CTTN/ARFIP2/KIT/NCK1/PIK3CA/CARMIL1/RAC2/SRC/NUP85/NCK2/CD44/CDC42	15
GO:0010508	positive regulation of autophagy	21/951	148/16218	1.4814573371735776e-4	0.0030987559451311777	0.0022925157254740625	TRIM13/NPRL2/TICAM1/ADRB2/ATF6/FOXO3/FBXO7/SESN1/SLC25A4/HIF1A/HMOX1/SNX7/BAD/RALB/BNIP3L/VDAC1/PIP4K2B/BECN1/SQSTM1/SPTLC2/BAG3	21
GO:1903573	negative regulation of response to endoplasmic reticulum stress	10/951	43/16218	1.4918869140956168e-4	0.0031102384142867564	0.0023010106639501935	HYOU1/HSPA1A/NCK1/PTPN1/NR1H2/WFS1/XBP1/NCK2/USP14/HERPUD1	10
GO:0001889	liver development	20/951	138/16218	1.576954398729169e-4	0.00326132564936004	0.0024127877346382296	CEBPA/CSNK2A2/EZH2/FPGS/HES1/IGF2R/LIPA/SMAD3/NOTCH1/NPC1/PCK2/PCNA/LSR/PIK3CA/CCND1/RPS6KA1/AURKA/XBP1/ARID5B/CFLAR	20
GO:0016126	sterol biosynthetic process	12/951	60/16218	1.5798988612687615e-4	0.00326132564936004	0.0024127877346382296	EBP/FDFT1/HMGCR/HMGCS1/APOE/INSIG1/LBR/LIPA/ACLY/NSDHL/PRKAG2/MBTPS1	12
GO:0032092	positive regulation of protein binding	12/951	60/16218	1.5798988612687615e-4	0.00326132564936004	0.0024127877346382296	ABL1/BAMBI/IDE/APOE/APP/NVL/PIN1/TRIB3/RALB/BMP4/TERT/TIAM1	12
GO:1905446	regulation of mitochondrial ATP synthesis coupled electron transport	4/951	6/16218	1.6022127408363602e-4	0.003296578894217557	0.0024388687231513225	DNAJC15/SNCA/CCNB1/CDK1	4
GO:0097696	receptor signaling pathway via STAT	23/951	171/16218	1.6646084199076617e-4	0.003413802805126592	0.0025255930938081275	STAMBP/PWP1/GADD45A/EGF/EPHB2/PTK2B/FYN/GHR/HDAC2/HES1/IFNAR1/KIT/LYN/NOTCH1/PPARG/PTPRC/CCL2/STAT1/STAT3/STAT5B/USP1/SOCS2/CD40	23
GO:0051492	regulation of stress fiber assembly	15/951	88/16218	1.68671304906388e-4	0.0034479043366578534	0.0025508220239602425	SORBS3/ABL1/RHOA/STMN1/SMAD3/PAK1/EVL/CARMIL1/PXN/TESK1/TGFB3/TJP1/TPM1/ITGB1BP1/CDC42	15
GO:0002065	columnar/cuboidal epithelial cell differentiation	18/951	118/16218	1.7205416420976475e-4	0.003505673196973071	0.002593560472247348	CDK6/CDKN1A/AKT1/EXT1/FGFR2/ABL1/SPDEF/GATA2/HIF1A/HOXA5/HES1/NOTCH1/SERPINE1/BAD/RHEB/BMP4/SOX4/SRC	18
GO:0010717	regulation of epithelial to mesenchymal transition	16/951	98/16218	1.7449767376532998e-4	0.0035127233584667907	0.0025987763093050812	COL1A1/DAG1/SPRED2/EPHA3/EZH2/BAMBI/GATA3/HDAC2/IL1B/SMAD3/NOTCH1/PTK2/BMP4/TGFB3/TGFBR2/TIAM1	16
GO:0043500	muscle adaptation	16/951	98/16218	1.7449767376532998e-4	0.0035127233584667907	0.0025987763093050812	PARP2/PARP1/DAG1/EDN1/EZH2/FOXO3/HMOX1/IL1B/SMAD3/NOS3/NOTCH1/PPARG/RGS2/BECN1/CFLAR/TOMM70	16
GO:0110020	regulation of actomyosin structure organization	16/951	98/16218	1.7449767376532998e-4	0.0035127233584667907	0.0025987763093050812	SORBS3/EDN1/ABL1/RHOA/STMN1/SMAD3/PAK1/EVL/CARMIL1/PXN/TESK1/TGFB3/TJP1/TPM1/ITGB1BP1/CDC42	16
