GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0021879	forebrain neuron differentiation	5	0.0027247956403269754	41/16323	0.07317073170731707	1.0848009570013954	0.1462120930032507	0.5289395194873474	0.9742070666186309	0.9729611549741605	ZSWIM6/CSF1R/DISC1	3	8	-0.021691330755116672	0.8661189724225603
GO:0021884	forebrain neuron development	7	9.082652134423251e-4	24/16323	0.041666666666666664	0.6177338782924614	-0.5040056892827683	0.8131082981781874	0.9853199485430485	0.98405982465411	DISC1	1	6	-0.8326215469714455	0.4222479923076923
GO:0021889	olfactory bulb interneuron differentiation	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021895	cerebral cortex neuron differentiation	14	0.0018165304268846503	27/16323	0.07407407407407407	1.0981935614088203	0.13733109199457041	0.5520803297970427	0.9742070666186309	0.9729611549741605	OPHN1/C21orf91	2	1	1.6522851028165548	2.354487173534278
GO:0021902	commitment of neuronal cell to specific neuron type in forebrain	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021904	dorsal/ventral neural tube patterning	11	0.0018165304268846503	16/16323	0.125	1.853201634877384	0.9182673063459397	0.29424910680641503	0.9742070666186309	0.9729611549741605	TCTN1/PTCH1	2	0	0	0
GO:0021915	neural tube development	30	0.013623978201634877	147/16323	0.10204081632653061	1.5128176611243953	1.6796955022433346	0.07108481303035609	0.9147125962460221	0.9135427719714329	IFT122/INTU/WDPCP/APAF1/FUZ/TCTN1/TRIM71/IFT172/PTCH1/KAT2A/CITED2/DZIP1L/PLXNA2/KIF20B/PRKACB	15	9	1.4699635460226004	2.176073512690121
GO:0021930	cerebellar granule cell precursor proliferation	8	0.0018165304268846503	13/16323	0.15384615384615385	2.2808635506183195	1.2424875629797607	0.21726695507330668	0.9742070666186309	0.9729611549741605	RERE/RORA	2	0	0	0
GO:0021952	central nervous system projection neuron axonogenesis	9	9.082652134423251e-4	29/16323	0.034482758620689655	0.5112280372075543	-0.708493574882931	0.8682659286847376	0.9921251669202816	0.9908563398499459	MYCBP2	1	4	-0.4271564388632811	0.6132032212055952
GO:0021953	central nervous system neuron differentiation	12	0.009990917347865577	192/16323	0.057291666666666664	0.8493840826521344	-0.5645927895843171	0.7545163681841096	0.9809629574204098	0.9797084056794886	ZSWIM6/OPHN1/MYCBP2/C21orf91/LHX4/RORA/TCTN1/IFT172/PTCH1/CSF1R/DISC1	11	24	0.17897936470703463	1.0134073510531878
GO:0021954	central nervous system neuron development	20	0.0027247956403269754	93/16323	0.03225806451612903	0.4782455831941636	-1.3570405840521536	0.9549113595282265	0.9995296940753772	0.9982513973687388	MYCBP2/TCTN1/DISC1	3	12	-0.4271564388632811	0.6132032212055952
GO:0021955	central nervous system neuron axonogenesis	6	0.0018165304268846503	37/16323	0.05405405405405406	0.8013844907577878	-0.3252754545084973	0.7228482106808916	0.978443454724002	0.9771921251704937	MYCBP2/TCTN1	2	4	0.2659907416966642	1.0813274272877187
GO:0021957	corticospinal tract morphogenesis	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021960	anterior commissure morphogenesis	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021978	telencephalon regionalization	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021979	hypothalamus cell differentiation	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021983	pituitary gland development	24	9.082652134423251e-4	40/16323	0.025	0.3706403269754769	-1.0717813192898087	0.938994931732644	0.9970317530497284	0.9957566509553217	TBX19	1	2	0.2659907416966642	1.0813274272877187
GO:0021984	adenohypophysis development	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0021987	cerebral cortex development	77	0.006357856494096276	129/16323	0.05426356589147287	0.8044906321948334	-0.5995561284120079	0.7751312801187759	0.9831560807575749	0.9818987242352091	NCOA1/BBS2/EFHC1/NOTCH2NLA/DISC1/NOTCH2NLC/NOTCH2NLB	7	18	0.014676313415758315	0.8917892904416246
GO:0022008	neurogenesis	79	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022009	central nervous system vasculogenesis	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022010	central nervous system myelination	15	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022011	myelination in peripheral nervous system	17	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022027	interkinetic nuclear migration	5	9.082652134423251e-4	5/16323	0.2	2.965122615803815	1.1819134612362656	0.29475593986480797	0.9742070666186309	0.9729611549741605	PCM1	1	0	0	0
GO:0022038	corpus callosum development	20	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022400	regulation of opsin-mediated signaling pathway	10	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022405	hair cycle process	5	0.0036330608537693005	93/16323	0.043010752688172046	0.6376607775922183	-0.9424146958093544	0.880960671010709	0.992975543957451	0.9917056293414702	INTU/PUM2/FUZ/EDA	4	11	-0.052462989421870374	0.8447673179127949
GO:0022407	regulation of cell-cell adhesion	13	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022408	negative regulation of cell-cell adhesion	15	0.013623978201634877	191/16323	0.078534031413612565	1.1643151632737492	0.6143200742800269	0.3082104536645855	0.9742070666186309	0.9729611549741605	LAPTM5/BTN2A2/MAP2K5/HMGB1/VSIR/MBP/HFE/CR1/CLEC4G/CRTAM/CEACAM1/ASCL2/KLF4/CD300A/TSPAN32	15	100	-0.9379820626292716	0.3820543623381703
GO:0022409	positive regulation of cell-cell adhesion	20	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022414	reproductive process	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022417	protein maturation by protein folding	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022604	regulation of cell morphogenesis	25	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022612	gland morphogenesis	7	0.007266121707538601	124/16323	0.06451612903225806	0.9564911663883272	-0.1307942549052628	0.6036010658572344	0.9742070666186309	0.9729611549741605	ESRP2/PTCH1/CSF1R/ESR1/CEACAM1/EDA/LRP5/LIMS2	8	5	1.4291415515023451	2.13633147140233
GO:0022614	membrane to membrane docking	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022615	protein to membrane docking	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0022617	extracellular matrix disassembly	46	0.0036330608537693005	61/16323	0.06557377049180328	0.9721713494438737	-0.058561821159621295	0.5963598835301331	0.9742070666186309	0.9729611549741605	CTSS/ADAM10/KIF9/MMP15	4	43	-1.4157678323170622	0.24041644204269502
GO:0022898	regulation of transmembrane transporter activity	7	0.009990917347865577	175/16323	0.06285714285714286	0.9318956792526276	-0.24360085439016319	0.63978270961241	0.9742070666186309	0.9729611549741605	CTSS/GSTM2/STAC3/AKAP9/TREM2/UTRN/KCNAB1/EHD3/CFTR/CCR2/JPH4	11	70	-0.8914620469943787	0.39935562353204185
GO:0022900	electron transport chain	11	0.0027247956403269754	131/16323	0.022900763358778626	0.3395178567714292	-2.041225420637056	0.9942800999180407	0.99999245493221	0.998713566401554	PUM2/ETFRF1/DHRS2	3	30	-1.3434471707374362	0.2580704443530389
GO:0022904	respiratory electron transport chain	21	0.0018165304268846503	121/16323	0.01652892561983471	0.24505145585155497	-2.241662417018093	0.9979657175114842	0.99999245493221	0.998713566401554	PUM2/ETFRF1	2	25	-1.566590722051646	0.20726843656201652
GO:0023019	signal transduction involved in regulation of gene expression	23	0.0018165304268846503	23/16323	0.08695652173913043	1.2891837460016584	0.3732402592357869	0.46565640287673593	0.9742070666186309	0.9729611549741605	P2RY1/SMAD3	2	8	-0.4271564388632811	0.6132032212055952
GO:0023035	CD40 signaling pathway	10	9.082652134423251e-4	15/16323	0.06666666666666667	0.9883742052679383	-0.01211469308805462	0.6493499812265491	0.9742070666186309	0.9729611549741605	TREM2	1	7	-0.9867722267987038	0.3646433162201353
GO:0023041	neuronal signal transduction	7	9.082652134423251e-4	8/16323	0.125	1.853201634877384	0.6491538256138004	0.4281001337725667	0.9742070666186309	0.9729611549741605	P2RY11	1	4	-0.4271564388632811	0.6132032212055952
GO:0023052	signaling	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030001	metal ion transport	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030003	intracellular monoatomic cation homeostasis	15	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030007	intracellular potassium ion homeostasis	15	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030010	establishment of cell polarity	42	0.010899182561307902	162/16323	0.07407407407407407	1.0981935614088203	0.3377931912501037	0.41157766520113204	0.9742070666186309	0.9729611549741605	WDPCP/OPHN1/DOCK2/RAB11FIP2/TTC8/SPAG5/PLEKHG3/CRTAM/FRMD4B/AMOTL1/KIF20B/RHOBTB1	12	58	-0.6163984385018095	0.5165989584025966
GO:0030011	maintenance of cell polarity	7	9.082652134423251e-4	14/16323	0.07142857142857142	1.0589723627870766	0.059366762730061653	0.6239642848384923	0.9742070666186309	0.9729611549741605	DST	1	8	-1.1203036194232263	0.32065736546833185
GO:0030030	cell projection organization	42	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030031	cell projection assembly	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030032	lamellipodium assembly	35	0.0018165304268846503	68/16323	0.029411764705882353	0.43604744350056096	-1.2532797616767264	0.9490576162498707	0.9987148859525944	0.9974376313025811	PIK3R1/ARHGEF6	2	15	-1.0557650982856552	0.34126348140525803
GO:0030033	microvillus assembly	10	9.082652134423251e-4	16/16323	0.0625	0.926600817438692	-0.07899664851000011	0.673023372854558	0.9758241787775961	0.9745761990113287	PLD1	1	14	-1.6799194073586492	0.18532630905869235
GO:0030041	actin filament polymerization	38	0.010899182561307902	162/16323	0.07407407407407407	1.0981935614088203	0.3377931912501037	0.41157766520113204	0.9742070666186309	0.9729611549741605	MEGF9/WASHC2C/ANG/KANK2/DIAPH2/MSRB2/GAS7/BIN1/ESAM/ADD3/AIF1/CCL26	12	12	0.9591379222566095	1.6871286899431237
GO:0030042	actin filament depolymerization	12	0.0018165304268846503	57/16323	0.03508771929824561	0.5201969501410201	-0.9758982416987243	0.9047193125039583	0.9941171511065101	0.992845776491224	WASHC2C/ADD3	2	8	-0.4271564388632811	0.6132032212055952
GO:0030048	actin filament-based movement	20	0.009082652134423252	134/16323	0.07462686567164178	1.106389035747692	0.3325705187020233	0.41776209965780176	0.9742070666186309	0.9729611549741605	QKI/AKAP9/ZEB2/MYO5B/JUP/FRMD6/BIN1/MYO7A/SCN9A/CACNA1C	10	48	-0.6094779956572357	0.5198954740290019
GO:0030049	muscle filament sliding	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030050	vesicle transport along actin filament	8	9.082652134423251e-4	8/16323	0.125	1.853201634877384	0.6491538256138004	0.4281001337725667	0.9742070666186309	0.9729611549741605	MYO5B	1	3	-0.13947436641150024	0.7862618399346607
GO:0030070	insulin processing	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0030071	regulation of mitotic metaphase/anaphase transition	34	0.005449591280653951	92/16323	0.06521739130434782	0.9668878095012439	-0.08565518830804764	0.5937941088918169	0.9742070666186309	0.9729611549741605	PHF10/SMARCA2/CENPF/SMARCD3/ATM/CENPE	6	48	-1.1203036194232263	0.32065736546833185
