GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:1902957	negative regulation of mitochondrial electron transport, NADH to ubiquinone	2	0	0	1	1	1		0	0	0	0
GO:1902958	positive regulation of mitochondrial electron transport, NADH to ubiquinone	3	0	0	1	1	1		0	0	0	0
GO:1902959	regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	10	5.803830528148578e-4	10/16075	0.6660933783765004	0.9999999999999434	0.9999999999999434	EFNA3/BIN1	2	0	0	0
GO:1902960	negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	3	0	0	1	1	1		0	0	0	0
GO:1902961	positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	7	2.901915264074289e-4	7/16075	0.815340772607466	0.9999999999999434	0.9999999999999434	EFNA3	1	0	0	0
GO:1902962	regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process	2	0	0	1	1	1		0	0	0	0
GO:1902963	negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process	2	0	0	1	1	1		0	0	0	0
GO:1902965	regulation of protein localization to early endosome	9	2.901915264074289e-4	8/16075	0.8549434423606818	0.9999999999999434	0.9999999999999434	NF2	1	8	-0.4494956870313468	0.6010931017461038
GO:1902966	positive regulation of protein localization to early endosome	9	2.901915264074289e-4	8/16075	0.8549434423606818	0.9999999999999434	0.9999999999999434	NF2	1	8	-0.4494956870313468	0.6010931017461038
GO:1902969	mitotic DNA replication	14	0.0014509576320371445	14/16075	0.1625362561833159	0.9999999999999434	0.9999999999999434	MCM6/RTF2/MCM3/LIG1/BCL6	5	3	2.14077147841448	2.8373562162770654
GO:1902975	mitotic DNA replication initiation	5	2.901915264074289e-4	5/16075	0.7007623926176185	0.9999999999999434	0.9999999999999434	MCM3	1	0	0	0
GO:1902977	mitotic DNA replication preinitiation complex assembly	1	0	0	1	1	1		0	0	0	0
GO:1902979	mitotic DNA replication termination	1	0	0	1	1	1		0	0	0	0
GO:1902983	DNA strand elongation involved in mitotic DNA replication	1	0	0	1	1	1		0	0	0	0
GO:1902988	neurofibrillary tangle assembly	3	0	0	1	1	1		0	0	0	0
GO:1902990	mitotic telomere maintenance via semi-conservative replication	3	0	0	1	1	1		0	0	0	0
GO:1902991	regulation of amyloid precursor protein catabolic process	41	0.002901915264074289	41/16075	0.38054877469219167	0.9999999999999434	0.9999999999999434	GGA3/PIN1/RTN3/IFNGR1/FKBP1A/ABCG1/EFNA3/RTN1/ABCA2/BIN1	10	36	0.34901200918642494	1.1482076039554778
GO:1902992	negative regulation of amyloid precursor protein catabolic process	21	0.0014509576320371445	21/16075	0.4796038137534462	0.9999999999999434	0.9999999999999434	GGA3/PIN1/RTN3/RTN1/BIN1	5	15	0.5313335659803797	1.3014284169990304
GO:1902993	positive regulation of amyloid precursor protein catabolic process	23	0.0011607661056297156	23/16075	0.7586144380692775	0.9999999999999434	0.9999999999999434	IFNGR1/ABCG1/EFNA3/ABCA2	4	18	0.12586845787221493	0.9731135146472345
GO:1902994	regulation of phospholipid efflux	4	0	0	1	1	1		0	0	0	0
GO:1902995	positive regulation of phospholipid efflux	4	0	0	1	1	1		0	0	0	0
GO:1902996	regulation of neurofibrillary tangle assembly	2	0	0	1	1	1		0	0	0	0
GO:1902997	negative regulation of neurofibrillary tangle assembly	1	0	0	1	1	1		0	0	0	0
GO:1902998	positive regulation of neurofibrillary tangle assembly	1	0	0	1	1	1		0	0	0	0
GO:1903000	regulation of lipid transport across blood-brain barrier	1	0	0	1	1	1		0	0	0	0
GO:1903002	positive regulation of lipid transport across blood-brain barrier	1	0	0	1	1	1		0	0	0	0
GO:1903003	positive regulation of protein deubiquitination	6	0	0	1	1	1		0	0	0	0
GO:1903004	regulation of protein K63-linked deubiquitination	2	0	0	1	1	1		0	0	0	0
GO:1903006	positive regulation of protein K63-linked deubiquitination	2	0	0	1	1	1		0	0	0	0
GO:1903007	positive regulation of Lys63-specific deubiquitinase activity	1	0	0	1	1	1		0	0	0	0
GO:1903008	organelle disassembly	138	0.010156703424260012	138/16075	0.15291379762109628	0.9999999999999434	0.9999999999999434	TP53/PHB2/TSC2/MCTS1/RETREG2/MFN2/FUNDC2/PARK7/EIF2D/FUNDC1/MTIF2/HTT/UFC1/GABARAP/TAFAZZIN/MTIF3/FKBP8/USP30/DDRGK1/ASCC2/PARL/TOMM7/ULK3/ATP13A2/TSPO/KIF9/ATG9A/SLC25A5/FIS1/ATP5IF1/PINK1/TEX264/SPATA18/SNX30/ATG9B	35	63	1.04215918974637	1.7650464484450188
GO:1903010	regulation of bone development	9	5.803830528148578e-4	9/16075	0.6060532213486249	0.9999999999999434	0.9999999999999434	TAPT1/KAT2A	2	0	0	0
GO:1903011	negative regulation of bone development	1	0	0	1	1	1		0	0	0	0
GO:1903012	positive regulation of bone development	3	0	0	1	1	1		0	0	0	0
GO:1903015	regulation of exo-alpha-sialidase activity	2	0	0	1	1	1		0	0	0	0
GO:1903016	negative regulation of exo-alpha-sialidase activity	2	0	0	1	1	1		0	0	0	0
GO:1903017	positive regulation of exo-alpha-sialidase activity	0	0	0	1	1	1		0	0	0	0
GO:1903018	regulation of glycoprotein metabolic process	47	0.00261172373766686	47/16075	0.7040951631093124	0.9999999999999434	0.9999999999999434	POMT1/TM9SF2/RAB1B/ACOT8/PLCB1/NECAB3/ABCA2/MUSTN1/CST3	9	22	0.7361279786263927	1.4822406133577275
GO:1903019	negative regulation of glycoprotein metabolic process	14	5.803830528148578e-4	14/16075	0.8356420406431136	0.9999999999999434	0.9999999999999434	ACOT8/CST3	2	7	0.37718288615312123	1.171334416115973
