GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	62	0.015384615384615385	62/16323	0.016129032258064516	4.050372208436724	1.521545208682475	0.219521517873002	0.33589686970569993	0.28921510731390604	CASP8AP2	1	0	0	1	0	0	0
GO:0006921	cellular component disassembly involved in execution phase of apoptosis	33	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006924	activation-induced cell death of T cells	10	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006925	inflammatory cell apoptotic process	23	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006929	substrate-dependent cell migration	27	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006930	substrate-dependent cell migration, cell extension	9	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006931	substrate-dependent cell migration, cell attachment to substrate	4	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006933	negative regulation of cell adhesion involved in substrate-bound cell migration	4	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006935	chemotaxis	450	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006936	muscle contraction	344	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006937	regulation of muscle contraction	163	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006939	smooth muscle contraction	104	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006940	regulation of smooth muscle contraction	57	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006941	striated muscle contraction	185	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006942	regulation of striated muscle contraction	95	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006949	syncytium formation	64	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006950	response to stress	3847	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006952	defense response	1761	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006953	acute-phase response	46	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006954	inflammatory response	846	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006955	immune response	1771	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0006956	complement activation	64	0.015384615384615385	64/16323	0.015625	3.923798076923077	1.4818363809392012	0.22574884233428028	0.3366838404573115	0.2898927076457569	CFH	1	c(""10584"", ""629"", ""730"", ""714"", ""713"", ""718"", ""732"", ""731"", ""1380"", ""720"", ""721"", ""2220"", ""4153"", ""5648"", ""1378"", ""3075"", ""3078"", ""3848"", ""717"", ""10747"", ""729"", ""2219"", ""715"", ""78989"", ""1675"", ""712"", ""1191"", ""8547"")	28	1	1.549300560684148	-0.43780357791518854	0.6074075743362752
GO:0006957	complement activation, alternative pathway	15	0.015384615384615385	15/16323	0.06666666666666667	16.74153846153846	3.856579234024732	0.05811928872164729	0.2619527733942721	0.2255475007396715	CFH	1	c(""629"", ""1675"", ""1380"", ""1378"")	4	0	0.22132865152630685	-Inf	0
GO:0006958	complement activation, classical pathway	42	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
