names	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	1	0.04	0.04878048780487805	0.02	0	0.0425531914893617	0.009174311926605505	0.01818181818181818	0.02040816326530612	0	0.008264462809917356	0.06521739130434782	0.10810810810810811	0.10810810810810811	0	0.025830258302583026	0	0
GSE132283_MTB_control_blood_macrophage_dn.tsv	0.04	1	0	0.01818181818181818	0	0.017241379310344827	0.05263157894736842	0.025210084033613446	0.06796116504854369	0	0.047619047619047616	0	0.022222222222222223	0.022222222222222223	0.05555555555555555	0.054945054945054944	0.06521739130434782	0
GSE141656_MTB_control_blood_blood_dn.tsv	0.04878048780487805	0	1	0.03	0.038461538461538464	0.041666666666666664	0.0673076923076923	0.008928571428571428	0.07446808510638298	0	0.01652892561983471	0.041666666666666664	0.05063291139240506	0.05063291139240506	0.06060606060606061	0.060836501901140684	0.08536585365853659	0
GSE143627_MTB_control_PBMC_macrophage_dn.tsv	0.02	0.01818181818181818	0.03	1	0	0.018691588785046728	0.20567375886524822	0.03614457831325301	0.05263157894736842	0.012195121951219513	0.07058823529411765	0.009259259259259259	0.06766917293233082	0.06766917293233082	0.18840579710144928	0.08681672025723473	0.13846153846153847	0
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0	0	0.038461538461538464	0	1	0	0.021739130434782608	0.02127659574468085	0.024390243902439025	0	0	0	0.015384615384615385	0.015384615384615385	0	0.015503875968992248	0.014084507042253521	0
GSE148171_MTB_control_blood_PBMC_dn.tsv	0.0425531914893617	0.017241379310344827	0.041666666666666664	0.018691588785046728	0	1	0.06363636363636363	0.00847457627118644	0	0	0.05737704918032787	0.16666666666666666	0.03488372093023256	0.03488372093023256	0.037383177570093455	0.05947955390334572	0.03260869565217391	0.030303030303030304
GSE148731_MTB_control_blood_monocytes_dn.tsv	0.009174311926605505	0.05263157894736842	0.0673076923076923	0.20567375886524822	0.021739130434782608	0.06363636363636363	1	0.0650887573964497	0.1506849315068493	0.011111111111111112	0.09195402298850575	0.008620689655172414	0.10294117647058823	0.10294117647058823	0.3333333333333333	0.15719063545150502	0.17293233082706766	0
GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.01818181818181818	0.025210084033613446	0.008928571428571428	0.03614457831325301	0.02127659574468085	0.00847457627118644	0.0650887573964497	1	0.1564625850340136	0	0.026737967914438502	0.017094017094017096	0.04827586206896552	0.04827586206896552	0.06748466257668712	0.15614617940199335	0.07482993197278912	0
GSE174566_MTB_control_blood_PBMC_dn.tsv	0.02040816326530612	0.06796116504854369	0.07446808510638298	0.05263157894736842	0.024390243902439025	0	0.1506849315068493	0.1564625850340136	1	0	0.07142857142857142	0.038834951456310676	0.06060606060606061	0.06060606060606061	0.1095890410958904	0.13513513513513514	0.2066115702479339	0
GSE183912_MTB_control_blood_marcophages_dn.tsv	0	0	0	0.012195121951219513	0	0	0.011111111111111112	0	0	1	0.00980392156862745	0	0.016129032258064516	0.016129032258064516	0.011904761904761904	0	0	0
GSE193777_MTB_control_blood_dn.tsv	0.008264462809917356	0.047619047619047616	0.01652892561983471	0.07058823529411765	0	0.05737704918032787	0.09195402298850575	0.026737967914438502	0.07142857142857142	0.00980392156862745	1	0.04878048780487805	0.04516129032258064	0.04516129032258064	0.05142857142857143	0.08814589665653495	0.05660377358490566	0.028846153846153848
GSE198557_MTB_control_blood_PBMC_dn.tsv	0.06521739130434782	0	0.041666666666666664	0.009259259259259259	0	0.16666666666666666	0.008620689655172414	0.017094017094017096	0.038834951456310676	0	0.04878048780487805	1	0.047058823529411764	0.047058823529411764	0	0.021505376344086023	0.03260869565217391	0
