aggregated_GeneScores	GeneID
-0.3013214316221516	10007
-0.47917578089782414	10057
-0.20761626597572114	10150
-0.18735732858317544	10174
-0.20992180935507412	10491
-0.4692773081013405	1050
-0.29554577553539374	1062
-0.20489413718225677	10695
-0.19905595349584418	11000
-0.45169275627342215	11041
-0.3236223341877915	11151
-0.19623943650096193	11188
-0.22968763230983968	11200
-0.222381788850053	11232
-0.7029550480678536	154
-0.675100914149499	1759
-0.2230248608053098	1829
-0.29824924262680325	1870
-0.242128869694606	1978
-0.37176209304322305	22905
-0.2407955693535423	23142
-0.21132939851665697	23149
-0.18537772962445376	23410
-0.36823563254532504	23659
-0.291291545890622	2542
-0.23635215474831323	25966
-0.2439611455554596	26227
-0.22569084012292015	27242
-0.2517675238627382	27346
-0.300166102596006	2852
-0.24546973099360014	2946
-0.555547354016472	3033
-0.2531861749837567	3108
-0.2404998214011551	3122
-0.2091135285729636	3385
-0.5028034644983604	348
-0.6160195575080254	3693
-0.38085718898935317	3925
-0.39932813453699967	3988
-0.30940735142941467	4088
-0.5361548418741181	4208
-0.23465280595369378	427
-0.21434712160589486	4313
-0.20838239175459813	4775
-0.3970659049159157	4846
-0.2838712424573377	501
-0.3123428086864779	5058
-0.2879137942999951	5108
-0.24926222927844385	51203
-0.2555990627995885	51385
-0.37983085561250307	51466
-0.18830724256955172	5287
-0.28305887418405484	54438
-0.21798943459595388	5480
-0.22824188139383625	5498
-0.33942423444814934	55893
-0.2639099105783738	5627
-0.2314514445922897	5641
-0.23384201153894704	56654
-0.18879873818345722	56924
-0.28805075874070724	56997
-0.2534383339297041	57406
-0.19752688574229993	5777
-0.20779974143090826	5867
-0.2476683761049598	5909
-0.45086793532598557	6275
-0.27964227322294805	6461
-0.33066575400307996	64781
-0.44921092215546576	64943
-0.29099841177668617	670
-0.3418228479119778	6850
-0.2223066230830001	6894
-0.21939023021443235	7048
-0.6693865333019069	7099
-0.24957136522217319	7106
-0.21567360977383498	7168
-0.4343797012484016	727
-0.19486681716733767	7466
-0.20171986486248827	7852
-0.242841807967245	79006
-0.2439075458154331	79600
-0.21003735630826212	81544
-0.3015987502528716	8318
-0.2674056307446828	835
-0.28579546197021943	847
-0.7300829009954702	84722
-0.2018263376729215	8569
-0.3711604760890238	8727
-0.3024614807250296	8800
-0.24570674226775863	890
-0.21442997192819868	9053
-0.31879291915235364	9455
-0.45546126551896365	949
-0.3511837790674322	9653
-0.5394064898074743	9697
-0.27940878770677	9918
-0.1917066048396498	9924
-0.21255194587059215	994
