gse_id	gsm_id	classification	sample_type	cell_SOURCE	tissue_SOURCE	CONTEXT
GSE112482	GSM3070992	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3070993	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3070994	Disease without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3070995	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3070996	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3070997	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3070998	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3070999	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071000	Disease without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071001	Healthy Control without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071002	Disease without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071003	Healthy Control without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071004	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071005	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071006	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071007	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071008	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071009	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071010	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071011	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071012	Disease without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071013	Healthy Control without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071014	Disease without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071015	Healthy Control without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071016	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071017	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071018	Disease without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071019	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071020	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071021	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071022	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071023	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071024	Disease without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071025	Healthy Control without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071026	Disease without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071027	Healthy Control without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071028	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071029	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071030	Disease without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071031	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071032	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071033	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071034	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071035	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071036	Disease without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071037	Healthy Control without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071038	Disease without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071039	Healthy Control without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071040	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071041	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071042	Disease without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071043	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071044	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071045	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071046	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071047	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071048	Disease without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071049	Healthy Control without treatment	primary_sample	ILC1	LUNG_TISSUE_GENERAL
GSE112482	GSM3071050	Disease without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071051	Healthy Control without treatment	primary_sample	ILC2	LUNG_TISSUE_GENERAL
GSE112482	GSM3071052	Disease without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071053	Healthy Control without treatment	primary_sample	ILC3neg	LUNG_TISSUE_GENERAL
GSE112482	GSM3071054	Disease without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071055	Healthy Control without treatment	primary_sample	ILC3pos	LUNG_TISSUE_GENERAL
GSE112482	GSM3071056	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071057	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112482	GSM3071058	Disease without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112482	GSM3071059	Healthy Control without treatment	primary_sample	susp	LUNG_TISSUE_GENERAL
GSE112483	GSM3071060	Disease without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071061	Healthy Control without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071062	Disease without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071063	Healthy Control without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071064	Disease without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
GSE112483	GSM3071065	Healthy Control without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
GSE112483	GSM3071066	Disease without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071067	Healthy Control without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071068	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112483	GSM3071069	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112483	GSM3071070	Disease without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071071	Healthy Control without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071072	Disease without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071073	Healthy Control without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071074	Disease without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071075	Healthy Control without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071076	Disease without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071077	Healthy Control without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071078	Disease without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
GSE112483	GSM3071079	Healthy Control without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
GSE112483	GSM3071080	Disease without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071081	Healthy Control without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071082	Disease without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071083	Healthy Control without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071084	Disease without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071085	Healthy Control without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071086	Disease without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071087	Healthy Control without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071088	Disease without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071089	Healthy Control without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071090	Disease without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071091	Healthy Control without treatment	primary_sample	mait	LUNG_TISSUE_GENERAL
GSE112483	GSM3071092	Disease without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112483	GSM3071093	Healthy Control without treatment	primary_sample	NK	LUNG_TISSUE_GENERAL
GSE112483	GSM3071094	Disease without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071095	Healthy Control without treatment	primary_sample	NKT	LUNG_TISSUE_GENERAL
GSE112483	GSM3071096	Disease without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071097	Healthy Control without treatment	primary_sample	AM	LUNG_TISSUE_GENERAL
GSE112483	GSM3071098	Disease without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071099	Healthy Control without treatment	primary_sample	endo	LUNG_TISSUE_GENERAL
GSE112483	GSM3071100	Disease without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071101	Healthy Control without treatment	primary_sample	epi	LUNG_TISSUE_GENERAL
GSE112483	GSM3071102	Disease without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
GSE112483	GSM3071103	Healthy Control without treatment	primary_sample	gd	LUNG_TISSUE_GENERAL
