title	organism_ch1	series_id	geo_accession	CLASSIFICATION_STANDARDIZED	SAMPLE_TYPE	source_name_ch1	CELL_SOURCE_CLEAN	cell type:ch1	CL:CODE	tissue:ch1	TISSUE_SOURCE_CLEAN	UBERON:CODE	CONTEXT	time point:ch1	time:ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	molecule_ch1	platform_id	library_source	library_strategy
Ctrl_Unvac_3	Homo sapiens	GSE84076	GSM2226808	Healthy Control without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Control - BCG - Unvaccinated	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_5	Homo sapiens	GSE84076	GSM2226809	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_4	Homo sapiens	GSE84076	GSM2226817	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
Ctrl_Unvac_2	Homo sapiens	GSE84076	GSM2226825	Healthy Control without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Control - BCG - Unvaccinated	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
Ctrl_Unvac_1	Homo sapiens	GSE84076	GSM2226829	Healthy Control without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Control - BCG - Unvaccinated	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
Ctrl_Unvac_0	Homo sapiens	GSE84076	GSM2226832	Healthy Control without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Control - BCG - Unvaccinated	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_3	Homo sapiens	GSE84076	GSM2226840	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_2	Homo sapiens	GSE84076	GSM2226841	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_1	Homo sapiens	GSE84076	GSM2226842	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
ATB_0	Homo sapiens	GSE84076	GSM2226843	Disease without treatment	blood_sample	Whole blood	Blood Cell		CL:0000081	whole blood	Blood	UBERON:0000178				clinical information: Active Tuberculosis	tissue: whole blood			polyA RNA	GPL16791	transcriptomic	RNA-Seq
